Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years only—Estimate,MoE
"Abbeville County, South Carolina",20%,± 6.2%
"Acadia Parish, Louisiana",23.30%,± 4.4%
"Accomack County, Virginia",19.10%,± 5.5%
"Ada County, Idaho",21.60%,± 1.8%
"Adair County, Iowa",25.80%,± 6.5%
"Adair County, Kentucky",16.80%,± 6.3%
"Adair County, Missouri",21.90%,± 6.1%
"Adair County, Oklahoma",18.30%,± 4.1%
"Adams County, Colorado",19.70%,± 1.4%
"Adams County, Idaho",25.50%,± 13.9%
"Adams County, Illinois",21.70%,± 3.5%
"Adams County, Indiana",27.30%,± 5.2%
"Adams County, Iowa",22%,± 9.7%
"Adams County, Mississippi",20.50%,± 6.6%
"Adams County, Nebraska",23.90%,± 5.3%
"Adams County, North Dakota",15.80%,± 9.2%
"Adams County, Ohio",21.60%,± 5.4%
"Adams County, Pennsylvania",20.50%,± 2.4%
"Adams County, Washington",14.90%,± 5.7%
"Adams County, Wisconsin",16.70%,± 4.4%
"Addison County, Vermont",23.40%,± 3%
"Adjuntas Municipio, Puerto Rico",11.90%,± 5.4%
"Aguada Municipio, Puerto Rico",17.70%,± 6.4%
"Aguadilla Municipio, Puerto Rico",17.40%,± 3.8%
"Aguas Buenas Municipio, Puerto Rico",18.40%,± 7.4%
"Aibonito Municipio, Puerto Rico",8.90%,± 5.4%
"Aiken County, South Carolina",20.70%,± 2.4%
"Aitkin County, Minnesota",19.40%,± 4.1%
"Alachua County, Florida",20.50%,± 2.3%
"Alamance County, North Carolina",18.70%,± 2.2%
"Alameda County, California",23.80%,± 0.6%
"Alamosa County, Colorado",17.50%,± 7.6%
"Albany County, New York",25.50%,± 2.3%
"Albany County, Wyoming",27.20%,± 7.4%
"Albemarle County, Virginia",21.90%,± 2.5%
"Alcona County, Michigan",21.60%,± 6.7%
"Alcorn County, Mississippi",21%,± 5.5%
"Aleutians East Borough, Alaska",21.80%,± 9.1%
"Aleutians West Census Area, Alaska",16.60%,± 6.5%
"Alexander County, Illinois",17.50%,± 10.4%
"Alexander County, North Carolina",24%,± 6.5%
"Alexandria city, Virginia",35.50%,± 2.9%
"Alfalfa County, Oklahoma",23.40%,± 7.3%
"Alger County, Michigan",21%,± 6.9%
"Allamakee County, Iowa",22%,± 6.7%
"Allegan County, Michigan",19.10%,± 2.2%
"Allegany County, Maryland",26.60%,± 4.2%
"Allegany County, New York",21.50%,± 3.3%
"Alleghany County, North Carolina",30.10%,± 9.7%
"Alleghany County, Virginia",27.60%,± 9%
"Allegheny County, Pennsylvania",25.10%,± 1%
"Allen County, Indiana",22.10%,± 1.4%
"Allen County, Kansas",30.80%,± 7.5%
"Allen County, Kentucky",20.30%,± 5.5%
"Allen County, Ohio",19.90%,± 2.6%
"Allen Parish, Louisiana",30.40%,± 6.9%
"Allendale County, South Carolina",9.60%,± 8.3%
"Alpena County, Michigan",17.70%,± 4%
"Alpine County, California",21%,± 25.6%
"Amador County, California",21.40%,± 8.3%
"Amelia County, Virginia",14.30%,± 9.2%
"Amherst County, Virginia",21.90%,± 6.5%
"Amite County, Mississippi",12.30%,± 8.6%
"Añasco Municipio, Puerto Rico",14%,± 6.9%
"Anchorage Municipality, Alaska",25%,± 2.3%
"Anderson County, Kansas",15.70%,± 8.5%
"Anderson County, Kentucky",23.90%,± 6.3%
"Anderson County, South Carolina",20.40%,± 2.3%
"Anderson County, Tennessee",22.20%,± 4.1%
"Anderson County, Texas",15.20%,± 5.7%
"Andrew County, Missouri",25.70%,± 5.8%
"Andrews County, Texas",18.90%,± 6.3%
"Androscoggin County, Maine",20.60%,± 2.9%
"Angelina County, Texas",18.60%,± 2.9%
"Anne Arundel County, Maryland",23.20%,± 1.5%
"Anoka County, Minnesota",22.10%,± 1.4%
"Anson County, North Carolina",23.20%,± 7.2%
"Antelope County, Nebraska",16.70%,± 5.2%
"Antrim County, Michigan",25.90%,± 4.8%
"Apache County, Arizona",11.40%,± 2.8%
"Appanoose County, Iowa",21.60%,± 6.1%
"Appling County, Georgia",30.60%,± 7.2%
"Appomattox County, Virginia",17.80%,± 6%
"Aransas County, Texas",15.90%,± 8.4%
"Arapahoe County, Colorado",20.50%,± 1.2%
"Archer County, Texas",18.90%,± 6.7%
"Archuleta County, Colorado",24.10%,± 9.6%
"Arecibo Municipio, Puerto Rico",17%,± 3.2%
"Arenac County, Michigan",21.50%,± 4.4%
"Arkansas County, Arkansas",14.50%,± 5.6%
"Arlington County, Virginia",29%,± 2.3%
"Armstrong County, Pennsylvania",23%,± 3.2%
"Armstrong County, Texas",15.10%,± 10.5%
"Aroostook County, Maine",19.60%,± 3.1%
"Arroyo Municipio, Puerto Rico",16.30%,± 8.5%
"Arthur County, Nebraska",29.50%,± 15%
"Ascension Parish, Louisiana",19.20%,± 3%
"Ashe County, North Carolina",24.60%,± 6.7%
"Ashland County, Ohio",22.70%,± 4.1%
"Ashland County, Wisconsin",19.80%,± 5.3%
"Ashley County, Arkansas",14.90%,± 7.7%
"Ashtabula County, Ohio",21.80%,± 3.5%
"Asotin County, Washington",18.70%,± 5.7%
"Assumption Parish, Louisiana",20.70%,± 8.1%
"Atascosa County, Texas",15.60%,± 5.2%
"Atchison County, Kansas",21.80%,± 6.6%
"Atchison County, Missouri",17.60%,± 6.6%
"Athens County, Ohio",23.30%,± 4.1%
"Atkinson County, Georgia",26.50%,± 10.8%
"Atlantic County, New Jersey",21%,± 2.4%
"Atoka County, Oklahoma",18.80%,± 3.6%
"Attala County, Mississippi",18.30%,± 7.6%
"Audrain County, Missouri",25.90%,± 5.1%
"Audubon County, Iowa",30.50%,± 7.9%
"Auglaize County, Ohio",21.50%,± 3.6%
"Augusta County, Virginia",22.70%,± 3.9%
"Aurora County, South Dakota",22.30%,± 7.3%
"Austin County, Texas",24.90%,± 5.7%
"Autauga County, Alabama",16.20%,± 4%
"Avery County, North Carolina",13.70%,± 5.8%
"Avoyelles Parish, Louisiana",23.10%,± 6.1%
"Baca County, Colorado",18.70%,± 6.4%
"Bacon County, Georgia",23.10%,± 11%
"Bailey County, Texas",13.20%,± 11.8%
"Baker County, Florida",19.50%,± 8.6%
"Baker County, Georgia",12.90%,± 11.1%
"Baker County, Oregon",15.60%,± 6.3%
"Baldwin County, Alabama",19.10%,± 2.6%
"Baldwin County, Georgia",12.20%,± 6.6%
"Ballard County, Kentucky",15.50%,± 10.4%
