Geography,Percent with a disability—Total civilian noninstitutionalized population—Estimate,MoE
"Abbeville County, South Carolina",12.40%,± 1.7%
"Acadia Parish, Louisiana",19.70%,± 1.7%
"Accomack County, Virginia",16.80%,± 1.6%
"Ada County, Idaho",11.10%,± 0.4%
"Adair County, Iowa",14.60%,± 1.7%
"Adair County, Kentucky",22%,± 2.3%
"Adair County, Missouri",11.50%,± 1.5%
"Adair County, Oklahoma",21.10%,± 1.3%
"Adams County, Colorado",11.10%,± 0.4%
"Adams County, Idaho",18.40%,± 3.8%
"Adams County, Illinois",17%,± 1.2%
"Adams County, Indiana",11.30%,± 1.3%
"Adams County, Iowa",14.70%,± 2.3%
"Adams County, Mississippi",15.10%,± 1.6%
"Adams County, Nebraska",14.40%,± 1.2%
"Adams County, North Dakota",13.10%,± 3.2%
"Adams County, Ohio",23%,± 1.8%
"Adams County, Pennsylvania",14.50%,± 0.7%
"Adams County, Washington",10.90%,± 1.5%
"Adams County, Wisconsin",21.10%,± 1.5%
"Addison County, Vermont",15.60%,± 1.2%
"Adjuntas Municipio, Puerto Rico",14.90%,± 2%
"Aguada Municipio, Puerto Rico",28%,± 1.7%
"Aguadilla Municipio, Puerto Rico",24.70%,± 1.6%
"Aguas Buenas Municipio, Puerto Rico",29.60%,± 2.1%
"Aibonito Municipio, Puerto Rico",31.50%,± 2.7%
"Aiken County, South Carolina",15.70%,± 0.9%
"Aitkin County, Minnesota",20.60%,± 1%
"Alachua County, Florida",11.50%,± 0.6%
"Alamance County, North Carolina",12.80%,± 0.7%
"Alameda County, California",9.50%,± 0.2%
"Alamosa County, Colorado",15.80%,± 2.6%
"Albany County, New York",11.80%,± 0.4%
"Albany County, Wyoming",10.30%,± 1.2%
"Albemarle County, Virginia",9.30%,± 0.5%
"Alcona County, Michigan",23%,± 1.6%
"Alcorn County, Mississippi",22.70%,± 2.3%
"Aleutians East Borough, Alaska",10.40%,± 2.1%
"Aleutians West Census Area, Alaska",7.50%,± 2.1%
"Alexander County, Illinois",23.90%,± 2.9%
"Alexander County, North Carolina",17.10%,± 2%
"Alexandria city, Virginia",7.30%,± 0.6%
"Alfalfa County, Oklahoma",17.10%,± 2.6%
"Alger County, Michigan",18.30%,± 1.9%
"Allamakee County, Iowa",11.70%,± 1.5%
"Allegan County, Michigan",10.60%,± 0.6%
"Allegany County, Maryland",18.90%,± 1%
"Allegany County, New York",16.40%,± 0.9%
"Alleghany County, North Carolina",17.40%,± 2.5%
"Alleghany County, Virginia",17.50%,± 2.2%
"Allegheny County, Pennsylvania",13.70%,± 0.2%
"Allen County, Indiana",12.30%,± 0.4%
"Allen County, Kansas",17.40%,± 1.9%
"Allen County, Kentucky",18.50%,± 2%
"Allen County, Ohio",16.10%,± 0.9%
"Allen Parish, Louisiana",19.70%,± 2.6%
"Allendale County, South Carolina",26.20%,± 3.5%
"Alpena County, Michigan",19.90%,± 1.4%
"Alpine County, California",13.50%,± 4.8%
"Amador County, California",18.10%,± 1.9%
"Amelia County, Virginia",16.70%,± 3%
"Amherst County, Virginia",15.80%,± 1.4%
"Amite County, Mississippi",27.60%,± 2.9%
"Añasco Municipio, Puerto Rico",25.30%,± 1.6%
"Anchorage Municipality, Alaska",11.20%,± 0.5%
"Anderson County, Kansas",16.90%,± 3%
"Anderson County, Kentucky",18.30%,± 2.4%
"Anderson County, South Carolina",15.20%,± 0.8%
"Anderson County, Tennessee",20.60%,± 1.2%
"Anderson County, Texas",16.80%,± 1.7%
"Andrew County, Missouri",12.10%,± 1.4%
"Andrews County, Texas",11.90%,± 2.4%
"Androscoggin County, Maine",17.50%,± 1.1%
"Angelina County, Texas",19.10%,± 1.2%
"Anne Arundel County, Maryland",10.70%,± 0.4%
"Anoka County, Minnesota",9.80%,± 0.4%
"Anson County, North Carolina",20.60%,± 2.1%
"Antelope County, Nebraska",14.40%,± 1.7%
"Antrim County, Michigan",15.50%,± 0.9%
"Apache County, Arizona",14%,± 0.9%
"Appanoose County, Iowa",17.70%,± 2%
"Appling County, Georgia",13.50%,± 1.8%
"Appomattox County, Virginia",14.20%,± 1.9%
"Aransas County, Texas",16.90%,± 2.8%
"Arapahoe County, Colorado",10.50%,± 0.3%
"Archer County, Texas",17.60%,± 1.6%
"Archuleta County, Colorado",15.60%,± 2.1%
"Arecibo Municipio, Puerto Rico",20.10%,± 1.2%
"Arenac County, Michigan",19.50%,± 1.2%
"Arkansas County, Arkansas",20.90%,± 2.2%
"Arlington County, Virginia",6.50%,± 0.4%
"Armstrong County, Pennsylvania",16.80%,± 0.8%
"Armstrong County, Texas",11.70%,± 3.3%
"Aroostook County, Maine",21.50%,± 1%
"Arroyo Municipio, Puerto Rico",22%,± 3.1%
"Arthur County, Nebraska",16.50%,± 6%
"Ascension Parish, Louisiana",12.30%,± 1.1%
"Ashe County, North Carolina",17.90%,± 2%
"Ashland County, Ohio",14.60%,± 1.1%
"Ashland County, Wisconsin",16.90%,± 1.8%
"Ashley County, Arkansas",22.90%,± 2.7%
"Ashtabula County, Ohio",17.20%,± 1.1%
"Asotin County, Washington",18.50%,± 1.9%
"Assumption Parish, Louisiana",17%,± 2.3%
"Atascosa County, Texas",11.80%,± 1.5%
"Atchison County, Kansas",14.20%,± 1.8%
"Atchison County, Missouri",17.30%,± 1.8%
"Athens County, Ohio",17.30%,± 1.4%
"Atkinson County, Georgia",12.90%,± 2.1%
"Atlantic County, New Jersey",14.20%,± 0.7%
"Atoka County, Oklahoma",23.40%,± 1.8%
"Attala County, Mississippi",18.80%,± 2.3%
"Audrain County, Missouri",19.40%,± 2.1%
"Audubon County, Iowa",13.60%,± 2.2%
"Auglaize County, Ohio",12.20%,± 1.1%
"Augusta County, Virginia",14.20%,± 1.3%
"Aurora County, South Dakota",12.70%,± 2.4%
"Austin County, Texas",13%,± 1.9%
"Autauga County, Alabama",16.40%,± 1.1%
"Avery County, North Carolina",19%,± 2.2%
"Avoyelles Parish, Louisiana",23.60%,± 2.4%
"Baca County, Colorado",17.40%,± 2.3%
"Bacon County, Georgia",22.30%,± 3.5%
"Bailey County, Texas",13%,± 3.4%
"Baker County, Florida",15.40%,± 1.6%
"Baker County, Georgia",15.80%,± 4.3%
"Baker County, Oregon",22.60%,± 2.4%
"Baldwin County, Alabama",13.90%,± 0.7%
"Baldwin County, Georgia",15.60%,± 1.6%
"Ballard County, Kentucky",17.10%,± 2.4%
"Baltimore city, Maryland",16.40%,± 0.5%
"Baltimore County, Maryland",11.90%,± 0.3%
"Bamberg County, South Carolina",19.70%,± 2.7%
"Bandera County, Texas",18.80%,± 2.3%
"Banks County, Georgia",18.90%,± 2.6%
"Banner County, Nebraska",14.80%,± 5.2%
"Bannock County, Idaho",15.10%,± 0.9%
"Baraga County, Michigan",19.70%,± 1.7%
"Barber County, Kansas",19.70%,± 3.2%
"Barbour County, Alabama",18.10%,± 1.8%
"Barbour County, West Virginia",15.20%,± 2%
"Barceloneta Municipio, Puerto Rico",17.30%,± 2.3%
"Barnes County, North Dakota",13.10%,± 2.1%
"Barnstable County, Massachusetts",13.80%,± 0.5%
"Barnwell County, South Carolina",20%,± 1.9%
"Barranquitas Municipio, Puerto Rico",18%,± 2.1%
"Barren County, Kentucky",21.20%,± 1.6%
"Barron County, Wisconsin",14%,± 0.9%
"Barrow County, Georgia",13.10%,± 1%
"Barry County, Michigan",13.60%,± 1%
"Barry County, Missouri",16.10%,± 1.6%
"Bartholomew County, Indiana",14.30%,± 1.2%
"Barton County, Kansas",17.30%,± 1.8%
"Barton County, Missouri",21.30%,± 2.3%
