Geography,Percent below poverty level—Population for whom poverty status is determined—Estimate,MoE
"Abbeville County, South Carolina",15.90%,± 2.3%
"Acadia Parish, Louisiana",23.70%,± 2.6%
"Accomack County, Virginia",15.90%,± 2.1%
"Ada County, Idaho",8.80%,± 0.6%
"Adair County, Iowa",10.10%,± 2.4%
"Adair County, Kentucky",19.80%,± 2.8%
"Adair County, Missouri",23.60%,± 2.7%
"Adair County, Oklahoma",22.30%,± 2.7%
"Adams County, Colorado",9.60%,± 0.7%
"Adams County, Idaho",14.60%,± 3.8%
"Adams County, Illinois",12.10%,± 1.5%
"Adams County, Indiana",11.50%,± 1.9%
"Adams County, Iowa",9.50%,± 1.8%
"Adams County, Mississippi",27.20%,± 2.9%
"Adams County, Nebraska",12%,± 2%
"Adams County, North Dakota",13.40%,± 4.9%
"Adams County, Ohio",19.60%,± 2.9%
"Adams County, Pennsylvania",7.90%,± 0.9%
"Adams County, Washington",20.90%,± 3.9%
"Adams County, Wisconsin",14.60%,± 1.6%
"Addison County, Vermont",7.50%,± 0.9%
"Adjuntas Municipio, Puerto Rico",63.40%,± 5%
"Aguada Municipio, Puerto Rico",47.20%,± 3.4%
"Aguadilla Municipio, Puerto Rico",48.70%,± 2.8%
"Aguas Buenas Municipio, Puerto Rico",42.90%,± 4.9%
"Aibonito Municipio, Puerto Rico",42.50%,± 3.7%
"Aiken County, South Carolina",14.20%,± 1.1%
"Aitkin County, Minnesota",12.40%,± 1.3%
"Alachua County, Florida",20.20%,± 1.2%
"Alamance County, North Carolina",14.20%,± 1.1%
"Alameda County, California",9.20%,± 0.3%
"Alamosa County, Colorado",15.50%,± 3.7%
"Albany County, New York",12.50%,± 0.7%
"Albany County, Wyoming",23%,± 2.6%
"Albemarle County, Virginia",7.10%,± 0.9%
"Alcona County, Michigan",15.80%,± 1.9%
"Alcorn County, Mississippi",17.10%,± 2.4%
"Aleutians East Borough, Alaska",12.60%,± 2.5%
"Aleutians West Census Area, Alaska",9.60%,± 2.5%
"Alexander County, Illinois",21.40%,± 6.1%
"Alexander County, North Carolina",12.20%,± 2.5%
"Alexandria city, Virginia",8.80%,± 1.1%
"Alfalfa County, Oklahoma",11.80%,± 3.6%
"Alger County, Michigan",10.30%,± 2%
"Allamakee County, Iowa",11.60%,± 2.2%
"Allegan County, Michigan",9.50%,± 1%
"Allegany County, Maryland",15.90%,± 1.6%
"Allegany County, New York",17.10%,± 1.3%
"Alleghany County, North Carolina",19.50%,± 3.3%
"Alleghany County, Virginia",13.70%,± 2.9%
"Allegheny County, Pennsylvania",11.10%,± 0.3%
"Allen County, Indiana",12%,± 0.7%
"Allen County, Kansas",15.20%,± 2.8%
"Allen County, Kentucky",16.50%,± 3.2%
"Allen County, Ohio",12.30%,± 1.3%
"Allen Parish, Louisiana",19.60%,± 3.7%
"Allendale County, South Carolina",27.20%,± 7.7%
"Alpena County, Michigan",16.50%,± 1.8%
"Alpine County, California",13.70%,± 5.2%
"Amador County, California",7.80%,± 1.4%
"Amelia County, Virginia",11.10%,± 3.5%
"Amherst County, Virginia",11.30%,± 1.6%
"Amite County, Mississippi",27.10%,± 4.4%
"Añasco Municipio, Puerto Rico",46.60%,± 5.2%
"Anchorage Municipality, Alaska",9.60%,± 0.9%
"Anderson County, Kansas",13.20%,± 4.7%
"Anderson County, Kentucky",13.40%,± 3.4%
"Anderson County, South Carolina",14.30%,± 1.1%
"Anderson County, Tennessee",15.40%,± 1.7%
"Anderson County, Texas",15.60%,± 2.4%
"Andrew County, Missouri",7.60%,± 1.7%
"Andrews County, Texas",11.90%,± 4.4%
"Androscoggin County, Maine",12.40%,± 1.3%
"Angelina County, Texas",16.10%,± 2%
"Anne Arundel County, Maryland",5.80%,± 0.5%
"Anoka County, Minnesota",6.30%,± 0.5%
"Anson County, North Carolina",19.30%,± 3.9%
"Antelope County, Nebraska",11.10%,± 2.3%
"Antrim County, Michigan",9.40%,± 1.4%
"Apache County, Arizona",32.50%,± 1.8%
"Appanoose County, Iowa",17.30%,± 3.5%
"Appling County, Georgia",25.30%,± 4.7%
"Appomattox County, Virginia",13.80%,± 2.6%
"Aransas County, Texas",17.90%,± 3.9%
"Arapahoe County, Colorado",8%,± 0.4%
"Archer County, Texas",12.30%,± 2.6%
"Archuleta County, Colorado",8.20%,± 1.9%
"Arecibo Municipio, Puerto Rico",44.90%,± 2.2%
"Arenac County, Michigan",13.60%,± 1.7%
"Arkansas County, Arkansas",16.80%,± 2.6%
"Arlington County, Virginia",6.70%,± 0.6%
"Armstrong County, Pennsylvania",10.40%,± 1.1%
"Armstrong County, Texas",5.90%,± 3.3%
"Aroostook County, Maine",14.90%,± 1.1%
"Arroyo Municipio, Puerto Rico",57.70%,± 6.3%
"Arthur County, Nebraska",7%,± 6.1%
"Ascension Parish, Louisiana",9.90%,± 1.3%
"Ashe County, North Carolina",14.10%,± 2.4%
"Ashland County, Ohio",11.70%,± 2.2%
"Ashland County, Wisconsin",16.60%,± 2.5%
"Ashley County, Arkansas",23.30%,± 3.8%
"Ashtabula County, Ohio",18%,± 1.5%
"Asotin County, Washington",16.10%,± 2.5%
"Assumption Parish, Louisiana",16%,± 3.2%
"Atascosa County, Texas",14.10%,± 2.1%
"Atchison County, Kansas",14.50%,± 3.1%
"Atchison County, Missouri",11.60%,± 2.6%
"Athens County, Ohio",24.40%,± 1.9%
"Atkinson County, Georgia",27.50%,± 4.7%
"Atlantic County, New Jersey",13%,± 0.9%
"Atoka County, Oklahoma",18.20%,± 2.2%
"Attala County, Mississippi",23.60%,± 3.8%
"Audrain County, Missouri",18.10%,± 2.8%
"Audubon County, Iowa",11.80%,± 3.5%
"Auglaize County, Ohio",6.60%,± 1.1%
"Augusta County, Virginia",8.10%,± 1.4%
"Aurora County, South Dakota",5.10%,± 1.8%
"Austin County, Texas",11.90%,± 2.5%
"Autauga County, Alabama",11.40%,± 1.9%
"Avery County, North Carolina",11.20%,± 2.5%
"Avoyelles Parish, Louisiana",27.90%,± 2.6%
"Baca County, Colorado",23%,± 4.2%
"Bacon County, Georgia",21.60%,± 4.8%
"Bailey County, Texas",12.70%,± 6%
"Baker County, Florida",13.70%,± 3.3%
"Baker County, Georgia",23.10%,± 7.2%
"Baker County, Oregon",13.70%,± 2.7%
"Baldwin County, Alabama",10.20%,± 0.9%
"Baldwin County, Georgia",22.70%,± 2.9%
"Ballard County, Kentucky",14.30%,± 3%
"Baltimore city, Maryland",19.60%,± 0.7%
"Baltimore County, Maryland",10.20%,± 0.4%
"Bamberg County, South Carolina",22.30%,± 4.2%
"Bandera County, Texas",14.30%,± 3.2%
"Banks County, Georgia",13.20%,± 3.1%
"Banner County, Nebraska",7.40%,± 4.6%
"Bannock County, Idaho",12.50%,± 1.4%
"Baraga County, Michigan",12.20%,± 2.3%
"Barber County, Kansas",20.30%,± 5.4%
"Barbour County, Alabama",24.20%,± 2.7%
"Barbour County, West Virginia",22%,± 4.5%
"Barceloneta Municipio, Puerto Rico",46.60%,± 5.1%
"Barnes County, North Dakota",13%,± 2.9%
"Barnstable County, Massachusetts",7%,± 0.7%
"Barnwell County, South Carolina",25.30%,± 3.5%
"Barranquitas Municipio, Puerto Rico",50%,± 4.7%
"Barren County, Kentucky",21.10%,± 2.8%
"Barron County, Wisconsin",11.80%,± 1.4%
"Barrow County, Georgia",9.60%,± 1.2%
"Barry County, Michigan",8.30%,± 1.1%
"Barry County, Missouri",18.50%,± 2.6%
"Bartholomew County, Indiana",11.50%,± 1.4%
"Barton County, Kansas",14.50%,± 2.4%
"Barton County, Missouri",22.20%,± 3.5%
"Bartow County, Georgia",10.80%,± 1.3%
"Bastrop County, Texas",11.90%,± 2.2%
"Bates County, Missouri",19.10%,± 3.5%
"Bath County, Kentucky",23.10%,± 3.8%
"Bath County, Virginia",23.70%,± 8.7%
"Baxter County, Arkansas",13.50%,± 1.9%
"Bay County, Florida",12.20%,± 1%
"Bay County, Michigan",15.30%,± 1.2%
"Bayamón Municipio, Puerto Rico",34.80%,± 1.4%
"Bayfield County, Wisconsin",10.40%,± 1.2%
"Baylor County, Texas",11.60%,± 3.4%
"Beadle County, South Dakota",9.70%,± 2.4%
"Bear Lake County, Idaho",10.60%,± 2.7%
"Beaufort County, North Carolina",17.10%,± 2.3%
"Beaufort County, South Carolina",10.40%,± 1.2%
"Beauregard Parish, Louisiana",13.30%,± 1.9%
"Beaver County, Oklahoma",7.10%,± 1.8%
"Beaver County, Pennsylvania",10.40%,± 0.7%
"Beaver County, Utah",7%,± 3.8%
"Beaverhead County, Montana",15.40%,± 3.2%
"Becker County, Minnesota",10.90%,± 1.2%
"Beckham County, Oklahoma",21.90%,± 4.2%
"Bedford County, Pennsylvania",10.80%,± 1.1%
"Bedford County, Tennessee",12.40%,± 2.2%
"Bedford County, Virginia",9.10%,± 1.6%
