Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Households with one or more people under 18 years—Estimate,MoE
"Abbeville County, South Carolina",23.40%,± 2.5%
"Acadia Parish, Louisiana",33.50%,± 2.3%
"Accomack County, Virginia",23.60%,± 2.3%
"Ada County, Idaho",30.80%,± 0.8%
"Adair County, Iowa",25%,± 3%
"Adair County, Kentucky",29.60%,± 3.2%
"Adair County, Missouri",22.40%,± 2.6%
"Adair County, Oklahoma",32.60%,± 2.3%
"Adams County, Colorado",37.30%,± 0.9%
"Adams County, Idaho",18.10%,± 3.8%
"Adams County, Illinois",27.10%,± 1.5%
"Adams County, Indiana",35.30%,± 2.3%
"Adams County, Iowa",27.40%,± 3.4%
"Adams County, Mississippi",26.70%,± 2.8%
"Adams County, Nebraska",28.80%,± 1.8%
"Adams County, North Dakota",22.20%,± 4.9%
"Adams County, Ohio",34.10%,± 2.5%
"Adams County, Pennsylvania",27.10%,± 1.2%
"Adams County, Washington",43.20%,± 4.4%
"Adams County, Wisconsin",14.90%,± 1%
"Addison County, Vermont",23%,± 1.2%
"Adjuntas Municipio, Puerto Rico",22.50%,± 2.7%
"Aguada Municipio, Puerto Rico",22.80%,± 2.3%
"Aguadilla Municipio, Puerto Rico",26%,± 1.7%
"Aguas Buenas Municipio, Puerto Rico",26.80%,± 3.5%
"Aibonito Municipio, Puerto Rico",21.60%,± 2.8%
"Aiken County, South Carolina",28.30%,± 1%
"Aitkin County, Minnesota",17.40%,± 1%
"Alachua County, Florida",22.30%,± 0.9%
"Alamance County, North Carolina",30.30%,± 1.3%
"Alameda County, California",32.30%,± 0.4%
"Alamosa County, Colorado",29.20%,± 3.9%
"Albany County, New York",24.40%,± 0.8%
"Albany County, Wyoming",21.30%,± 1.9%
"Albemarle County, Virginia",27.40%,± 1.3%
"Alcona County, Michigan",16.10%,± 1.6%
"Alcorn County, Mississippi",28.10%,± 2.9%
"Aleutians East Borough, Alaska",28.50%,± 4.7%
"Aleutians West Census Area, Alaska",32.40%,± 5.4%
"Alexander County, Illinois",20.40%,± 4.2%
"Alexander County, North Carolina",29.70%,± 2.5%
"Alexandria city, Virginia",20.90%,± 0.9%
"Alfalfa County, Oklahoma",34.60%,± 4.6%
"Alger County, Michigan",20.50%,± 2.5%
"Allamakee County, Iowa",23.60%,± 2%
"Allegan County, Michigan",33%,± 1.4%
"Allegany County, Maryland",24.60%,± 1.2%
"Allegany County, New York",25.60%,± 1.2%
"Alleghany County, North Carolina",21.10%,± 3.2%
"Alleghany County, Virginia",22.70%,± 3%
"Allegheny County, Pennsylvania",23.10%,± 0.4%
"Allen County, Indiana",31.70%,± 0.7%
"Allen County, Kansas",27.50%,± 2.7%
"Allen County, Kentucky",32.90%,± 3%
"Allen County, Ohio",29.50%,± 1.2%
"Allen Parish, Louisiana",35.40%,± 4.3%
"Allendale County, South Carolina",23.30%,± 5.1%
"Alpena County, Michigan",22.10%,± 1.6%
"Alpine County, California",20.70%,± 9.8%
"Amador County, California",23.80%,± 2.2%
"Amelia County, Virginia",29.40%,± 4.3%
"Amherst County, Virginia",25%,± 2.3%
"Amite County, Mississippi",22.30%,± 4.2%
"Añasco Municipio, Puerto Rico",24.30%,± 3.4%
"Anchorage Municipality, Alaska",32.10%,± 1.2%
"Anderson County, Kansas",28.60%,± 4.3%
"Anderson County, Kentucky",32.30%,± 3.1%
"Anderson County, South Carolina",29.30%,± 1.1%
"Anderson County, Tennessee",28.70%,± 1.6%
"Anderson County, Texas",34.90%,± 3.7%
"Andrew County, Missouri",29.20%,± 2.3%
"Andrews County, Texas",43.20%,± 4%
"Androscoggin County, Maine",26.40%,± 1.1%
"Angelina County, Texas",35.30%,± 1.7%
"Anne Arundel County, Maryland",32%,± 0.7%
"Anoka County, Minnesota",33.20%,± 0.8%
"Anson County, North Carolina",25%,± 2.7%
"Antelope County, Nebraska",23.90%,± 2.2%
"Antrim County, Michigan",21.80%,± 1.7%
"Apache County, Arizona",31.70%,± 1.4%
"Appanoose County, Iowa",23.40%,± 3%
"Appling County, Georgia",33.80%,± 3.4%
"Appomattox County, Virginia",30.70%,± 2.9%
"Aransas County, Texas",21.40%,± 4.1%
"Arapahoe County, Colorado",31.70%,± 0.5%
"Archer County, Texas",31.40%,± 3.1%
"Archuleta County, Colorado",20.90%,± 3.1%
"Arecibo Municipio, Puerto Rico",25.90%,± 1.6%
"Arenac County, Michigan",22.20%,± 1.6%
"Arkansas County, Arkansas",25%,± 3.3%
"Arlington County, Virginia",20.70%,± 0.7%
"Armstrong County, Pennsylvania",24.20%,± 1%
"Armstrong County, Texas",28.40%,± 4.9%
"Aroostook County, Maine",23%,± 1.2%
"Arroyo Municipio, Puerto Rico",30.50%,± 3.9%
"Arthur County, Nebraska",36.50%,± 11.1%
"Ascension Parish, Louisiana",39.70%,± 1.6%
"Ashe County, North Carolina",22.40%,± 2%
"Ashland County, Ohio",25.80%,± 1.4%
"Ashland County, Wisconsin",24.30%,± 2.1%
"Ashley County, Arkansas",23.40%,± 2.9%
"Ashtabula County, Ohio",26.90%,± 1.3%
"Asotin County, Washington",23.90%,± 2.7%
"Assumption Parish, Louisiana",31.20%,± 3.4%
"Atascosa County, Texas",37.60%,± 2.8%
"Atchison County, Kansas",31.60%,± 3.4%
"Atchison County, Missouri",23.40%,± 2.6%
"Athens County, Ohio",21.30%,± 1.2%
"Atkinson County, Georgia",41.20%,± 4.8%
"Atlantic County, New Jersey",28.10%,± 1.1%
"Atoka County, Oklahoma",30.30%,± 2.2%
"Attala County, Mississippi",29.90%,± 3.5%
"Audrain County, Missouri",29.80%,± 2%
"Audubon County, Iowa",24.80%,± 2.5%
"Auglaize County, Ohio",31.80%,± 1.8%
"Augusta County, Virginia",27.20%,± 1.6%
"Aurora County, South Dakota",28.50%,± 4.2%
"Austin County, Texas",35.80%,± 2.9%
"Autauga County, Alabama",32.50%,± 1.8%
"Avery County, North Carolina",23.90%,± 2.9%
"Avoyelles Parish, Louisiana",29.60%,± 2.8%
"Baca County, Colorado",26.50%,± 3.6%
"Bacon County, Georgia",33.10%,± 5.2%
"Bailey County, Texas",38.60%,± 7.7%
"Baker County, Florida",35.60%,± 4.5%
"Baker County, Georgia",23.50%,± 8.2%
"Baker County, Oregon",22.40%,± 2.1%
"Baldwin County, Alabama",27.60%,± 1.2%
"Baldwin County, Georgia",27.40%,± 2.6%
"Ballard County, Kentucky",29.50%,± 3.6%
"Baltimore city, Maryland",23%,± 0.6%
"Baltimore County, Maryland",29.70%,± 0.5%
"Bamberg County, South Carolina",26.20%,± 3.6%
"Bandera County, Texas",19.20%,± 3%
"Banks County, Georgia",33.10%,± 2.7%
"Banner County, Nebraska",22.10%,± 6%
"Bannock County, Idaho",30.50%,± 1.4%
"Baraga County, Michigan",19%,± 2.2%
"Barber County, Kansas",25%,± 3.9%
"Barbour County, Alabama",29.90%,± 2.9%
"Barbour County, West Virginia",26%,± 3.7%
"Barceloneta Municipio, Puerto Rico",31.80%,± 3.4%
"Barnes County, North Dakota",21.60%,± 2.7%
"Barnstable County, Massachusetts",19.10%,± 0.7%
"Barnwell County, South Carolina",24.60%,± 3%
"Barranquitas Municipio, Puerto Rico",32.70%,± 3%
"Barren County, Kentucky",33.40%,± 1.9%
"Barron County, Wisconsin",25.50%,± 1.2%
"Barrow County, Georgia",39.80%,± 1.8%
"Barry County, Michigan",27.50%,± 1.3%
"Barry County, Missouri",28.80%,± 2.4%
"Bartholomew County, Indiana",29.80%,± 1.5%
"Barton County, Kansas",27.60%,± 2%
"Barton County, Missouri",31.70%,± 3.8%
"Bartow County, Georgia",34.70%,± 2.2%
"Bastrop County, Texas",33.70%,± 2.2%
"Bates County, Missouri",30.30%,± 2.4%
"Bath County, Kentucky",33.80%,± 3.5%
"Bath County, Virginia",22.60%,± 7.4%
"Baxter County, Arkansas",20.40%,± 1.8%
"Bay County, Florida",28.90%,± 1.1%
"Bay County, Michigan",25.90%,± 1.3%
"Bayamón Municipio, Puerto Rico",24%,± 1%
"Bayfield County, Wisconsin",20.50%,± 1.2%
"Baylor County, Texas",27.30%,± 6.4%
"Beadle County, South Dakota",34%,± 3.1%
"Bear Lake County, Idaho",29.80%,± 4.1%
"Beaufort County, North Carolina",23.90%,± 1.8%
"Beaufort County, South Carolina",23.20%,± 0.9%
"Beauregard Parish, Louisiana",37.40%,± 2.5%
"Beaver County, Oklahoma",26.90%,± 3.9%
"Beaver County, Pennsylvania",24.70%,± 0.8%
"Beaver County, Utah",41.50%,± 4%
"Beaverhead County, Montana",24.50%,± 3.5%
"Becker County, Minnesota",28.40%,± 1.2%
"Beckham County, Oklahoma",31.30%,± 4.5%
"Bedford County, Pennsylvania",24.40%,± 1.5%
"Bedford County, Tennessee",33.70%,± 2.4%
"Bedford County, Virginia",26.10%,± 1.2%
"Bee County, Texas",34.30%,± 3.6%
"Belknap County, New Hampshire",24%,± 1.7%
"Bell County, Kentucky",28.70%,± 2.7%
"Bell County, Texas",36.50%,± 0.8%
"Belmont County, Ohio",25.30%,± 1.2%
"Beltrami County, Minnesota",30%,± 1.7%
"Ben Hill County, Georgia",30.50%,± 4.4%
"Benewah County, Idaho",28.30%,± 3.1%
"Bennett County, South Dakota",39.50%,± 8.9%
"Bennington County, Vermont",22.90%,± 1.6%
"Benson County, North Dakota",40.10%,± 3%
"Bent County, Colorado",29.30%,± 5.2%
"Benton County, Arkansas",38.50%,± 1%
"Benton County, Indiana",30.10%,± 3.6%
"Benton County, Iowa",30.30%,± 1.7%
"Benton County, Minnesota",30.90%,± 1.7%
"Benton County, Mississippi",22.60%,± 5%
"Benton County, Missouri",19.90%,± 2.1%
"Benton County, Oregon",22%,± 1.2%
"Benton County, Tennessee",25.10%,± 3%
"Benton County, Washington",33.70%,± 1.2%
"Benzie County, Michigan",21.40%,± 1.7%
"Bergen County, New Jersey",32.30%,± 0.5%
"Berkeley County, South Carolina",32.30%,± 1.2%
"Berkeley County, West Virginia",32.60%,± 1.8%
"Berks County, Pennsylvania",30.40%,± 0.8%
"Berkshire County, Massachusetts",22%,± 0.9%
"Bernalillo County, New Mexico",27%,± 0.6%
"Berrien County, Georgia",31.60%,± 3.7%
"Berrien County, Michigan",27.30%,± 0.9%
"Bertie County, North Carolina",24.10%,± 3.5%
"Bethel Census Area, Alaska",50%,± 3.2%
