Geography,"Production, transportation, and material moving occupations—Civilian employed population 16 years and over—Estimate",MoE
"Abbeville County, South Carolina",25.20%,± 3.7%
"Acadia Parish, Louisiana",16.80%,± 2.8%
"Accomack County, Virginia",22.30%,± 2.6%
"Ada County, Idaho",8.50%,± 0.6%
"Adair County, Iowa",17.70%,± 2.5%
"Adair County, Kentucky",23.10%,± 3.4%
"Adair County, Missouri",14.30%,± 2.5%
"Adair County, Oklahoma",22.90%,± 2%
"Adams County, Colorado",15.30%,± 0.7%
"Adams County, Idaho",9%,± 3.8%
"Adams County, Illinois",16.50%,± 1.3%
"Adams County, Indiana",24.40%,± 2.7%
"Adams County, Iowa",21.90%,± 4.5%
"Adams County, Mississippi",14%,± 3.2%
"Adams County, Nebraska",19.30%,± 1.6%
"Adams County, North Dakota",5.30%,± 2.3%
"Adams County, Ohio",21%,± 3.4%
"Adams County, Pennsylvania",20.10%,± 1.2%
"Adams County, Washington",17.80%,± 4.1%
"Adams County, Wisconsin",23.40%,± 2.1%
"Addison County, Vermont",11.80%,± 1.3%
"Adjuntas Municipio, Puerto Rico",12.10%,± 4.5%
"Aguada Municipio, Puerto Rico",14.70%,± 3.2%
"Aguadilla Municipio, Puerto Rico",14.30%,± 2.6%
"Aguas Buenas Municipio, Puerto Rico",16.60%,± 3.5%
"Aibonito Municipio, Puerto Rico",19.30%,± 3.4%
"Aiken County, South Carolina",15.60%,± 1.2%
"Aitkin County, Minnesota",15.40%,± 1.5%
"Alachua County, Florida",7.20%,± 0.8%
"Alamance County, North Carolina",16.90%,± 1.2%
"Alameda County, California",9.50%,± 0.3%
"Alamosa County, Colorado",9.30%,± 2.7%
"Albany County, New York",8.40%,± 0.6%
"Albany County, Wyoming",8.30%,± 1.3%
"Albemarle County, Virginia",4.80%,± 0.6%
"Alcona County, Michigan",17.90%,± 2.3%
"Alcorn County, Mississippi",23.50%,± 2.9%
"Aleutians East Borough, Alaska",44%,± 4.9%
"Aleutians West Census Area, Alaska",42.20%,± 5.5%
"Alexander County, Illinois",29.30%,± 6.1%
"Alexander County, North Carolina",30.50%,± 3.4%
"Alexandria city, Virginia",5.80%,± 0.6%
"Alfalfa County, Oklahoma",14.80%,± 2.6%
"Alger County, Michigan",20.50%,± 4.1%
"Allamakee County, Iowa",16.30%,± 2.5%
"Allegan County, Michigan",22.50%,± 1.3%
"Allegany County, Maryland",14.30%,± 1.2%
"Allegany County, New York",15.90%,± 1.2%
"Alleghany County, North Carolina",12.90%,± 3.4%
"Alleghany County, Virginia",22.80%,± 3.9%
"Allegheny County, Pennsylvania",8.90%,± 0.2%
"Allen County, Indiana",19.80%,± 0.8%
"Allen County, Kansas",22%,± 3.7%
"Allen County, Kentucky",23.70%,± 3.9%
"Allen County, Ohio",24.90%,± 1.5%
"Allen Parish, Louisiana",15.50%,± 3.3%
"Allendale County, South Carolina",23.80%,± 6.2%
"Alpena County, Michigan",16.30%,± 1.8%
"Alpine County, California",14.90%,± 8.6%
"Amador County, California",10.10%,± 2.1%
"Amelia County, Virginia",15.90%,± 5.7%
"Amherst County, Virginia",18.10%,± 1.9%
"Amite County, Mississippi",24.90%,± 6.7%
"Añasco Municipio, Puerto Rico",17.10%,± 3.3%
"Anchorage Municipality, Alaska",11.20%,± 0.7%
"Anderson County, Kansas",13.10%,± 5%
"Anderson County, Kentucky",20.10%,± 3.2%
"Anderson County, South Carolina",19.90%,± 1.2%
"Anderson County, Tennessee",17.20%,± 1.7%
"Anderson County, Texas",17.20%,± 2.6%
"Andrew County, Missouri",18.90%,± 2.6%
"Andrews County, Texas",15.10%,± 3.3%
"Androscoggin County, Maine",14.40%,± 1%
"Angelina County, Texas",16.10%,± 1.6%
"Anne Arundel County, Maryland",7.80%,± 0.5%
"Anoka County, Minnesota",16%,± 0.7%
"Anson County, North Carolina",34.10%,± 4.1%
"Antelope County, Nebraska",11.20%,± 1.9%
"Antrim County, Michigan",17.40%,± 1.8%
"Apache County, Arizona",12.30%,± 1.7%
"Appanoose County, Iowa",23.20%,± 3.2%
"Appling County, Georgia",22.20%,± 4.5%
"Appomattox County, Virginia",16.50%,± 2.7%
"Aransas County, Texas",12.40%,± 3%
"Arapahoe County, Colorado",10.80%,± 0.5%
"Archer County, Texas",13.60%,± 2.4%
"Archuleta County, Colorado",8.50%,± 2.9%
"Arecibo Municipio, Puerto Rico",16.50%,± 2.2%
"Arenac County, Michigan",23.50%,± 2.4%
"Arkansas County, Arkansas",22.80%,± 3.2%
"Arlington County, Virginia",3.30%,± 0.4%
"Armstrong County, Pennsylvania",21.60%,± 1.3%
"Armstrong County, Texas",9.90%,± 5.1%
"Aroostook County, Maine",15.10%,± 1.1%
"Arroyo Municipio, Puerto Rico",14.70%,± 4.6%
"Arthur County, Nebraska",6.70%,± 4.3%
"Ascension Parish, Louisiana",15.90%,± 1.5%
"Ashe County, North Carolina",15.30%,± 2.9%
"Ashland County, Ohio",24.80%,± 2.2%
"Ashland County, Wisconsin",16.30%,± 2.3%
"Ashley County, Arkansas",23.70%,± 3.5%
"Ashtabula County, Ohio",24.60%,± 1.7%
"Asotin County, Washington",13.90%,± 2.5%
"Assumption Parish, Louisiana",18.10%,± 3.3%
"Atascosa County, Texas",15.90%,± 2.6%
"Atchison County, Kansas",13.60%,± 2.6%
"Atchison County, Missouri",20%,± 3.2%
"Athens County, Ohio",12.30%,± 1.4%
