Geography,Unemployment rate—Population 16 years and over—Estimate,MoE
"Abbeville County, South Carolina",2.80%,± 1.1%
"Acadia Parish, Louisiana",8.80%,± 2%
"Accomack County, Virginia",3.70%,± 1%
"Ada County, Idaho",3.20%,± 0.4%
"Adair County, Iowa",3.90%,± 1.5%
"Adair County, Kentucky",6.60%,± 2.3%
"Adair County, Missouri",5.50%,± 2.2%
"Adair County, Oklahoma",6.40%,± 1.7%
"Adams County, Colorado",4.60%,± 0.4%
"Adams County, Idaho",8.70%,± 4.5%
"Adams County, Illinois",3.90%,± 0.9%
"Adams County, Indiana",3.20%,± 1.2%
"Adams County, Iowa",4.20%,± 2.5%
"Adams County, Mississippi",7.10%,± 2.5%
"Adams County, Nebraska",2.70%,± 0.8%
"Adams County, North Dakota",0.70%,± 1%
"Adams County, Ohio",5.80%,± 1.8%
"Adams County, Pennsylvania",3.40%,± 0.6%
"Adams County, Washington",6.30%,± 2.5%
"Adams County, Wisconsin",5%,± 1.3%
"Addison County, Vermont",4.10%,± 0.8%
"Adjuntas Municipio, Puerto Rico",21.90%,± 4.7%
"Aguada Municipio, Puerto Rico",7.60%,± 2.2%
"Aguadilla Municipio, Puerto Rico",15.50%,± 2.3%
"Aguas Buenas Municipio, Puerto Rico",5.20%,± 2.3%
"Aibonito Municipio, Puerto Rico",6.40%,± 2.4%
"Aiken County, South Carolina",6.20%,± 0.9%
"Aitkin County, Minnesota",5.80%,± 1.2%
"Alachua County, Florida",5.10%,± 0.7%
"Alamance County, North Carolina",5%,± 0.7%
"Alameda County, California",4.90%,± 0.2%
"Alamosa County, Colorado",3.40%,± 1.5%
"Albany County, New York",5.20%,± 0.5%
"Albany County, Wyoming",4.40%,± 1%
"Albemarle County, Virginia",3.10%,± 0.8%
"Alcona County, Michigan",6.30%,± 1.6%
"Alcorn County, Mississippi",6.40%,± 1.8%
"Aleutians East Borough, Alaska",4.40%,± 2.4%
"Aleutians West Census Area, Alaska",3%,± 1.6%
"Alexander County, Illinois",9.30%,± 5.1%
"Alexander County, North Carolina",5.60%,± 2.1%
"Alexandria city, Virginia",3.20%,± 0.4%
"Alfalfa County, Oklahoma",4%,± 2%
"Alger County, Michigan",5.10%,± 1.9%
"Allamakee County, Iowa",3.20%,± 1%
"Allegan County, Michigan",3.40%,± 0.6%
"Allegany County, Maryland",6.80%,± 1%
"Allegany County, New York",7.30%,± 1.1%
"Alleghany County, North Carolina",5.30%,± 2.9%
"Alleghany County, Virginia",3.70%,± 2.2%
"Allegheny County, Pennsylvania",4.90%,± 0.2%
"Allen County, Indiana",4.80%,± 0.4%
"Allen County, Kansas",7.30%,± 1.9%
"Allen County, Kentucky",7.30%,± 2.5%
"Allen County, Ohio",6.10%,± 1%
"Allen Parish, Louisiana",8.90%,± 2.9%
"Allendale County, South Carolina",13.50%,± 5.5%
"Alpena County, Michigan",7.40%,± 1.6%
"Alpine County, California",4.90%,± 3.9%
"Amador County, California",6%,± 1.6%
"Amelia County, Virginia",4.10%,± 1.9%
"Amherst County, Virginia",4.50%,± 1.1%
"Amite County, Mississippi",7.50%,± 3%
"Añasco Municipio, Puerto Rico",8.40%,± 2.9%
"Anchorage Municipality, Alaska",5.20%,± 0.5%
"Anderson County, Kansas",3.30%,± 2%
"Anderson County, Kentucky",5.40%,± 1.9%
"Anderson County, South Carolina",5.50%,± 0.7%
"Anderson County, Tennessee",5.40%,± 1%
"Anderson County, Texas",3.90%,± 1.1%
"Andrew County, Missouri",4.10%,± 1.1%
"Andrews County, Texas",2.70%,± 1.4%
"Androscoggin County, Maine",4.80%,± 0.8%
"Angelina County, Texas",6%,± 1.1%
"Anne Arundel County, Maryland",4.20%,± 0.4%
"Anoka County, Minnesota",4%,± 0.3%
"Anson County, North Carolina",6.40%,± 2.1%
"Antelope County, Nebraska",2.10%,± 0.9%
"Antrim County, Michigan",4.60%,± 0.8%
"Apache County, Arizona",9.50%,± 1.1%
"Appanoose County, Iowa",6.10%,± 2.5%
"Appling County, Georgia",3.30%,± 1.8%
"Appomattox County, Virginia",3.50%,± 1.5%
"Aransas County, Texas",4.40%,± 2.6%
"Arapahoe County, Colorado",4.60%,± 0.3%
"Archer County, Texas",3.10%,± 1.4%
"Archuleta County, Colorado",4.80%,± 2.6%
"Arecibo Municipio, Puerto Rico",17.60%,± 2.2%
"Arenac County, Michigan",7.20%,± 1.4%
"Arkansas County, Arkansas",6.50%,± 2.2%
"Arlington County, Virginia",2.80%,± 0.4%
"Armstrong County, Pennsylvania",5.10%,± 0.7%
"Armstrong County, Texas",0.20%,± 0.4%
"Aroostook County, Maine",5.80%,± 1.1%
"Arroyo Municipio, Puerto Rico",11.20%,± 5.1%
"Arthur County, Nebraska",0.40%,± 0.7%
"Ascension Parish, Louisiana",4.50%,± 1%
"Ashe County, North Carolina",5.10%,± 1.5%
"Ashland County, Ohio",3.70%,± 0.9%
"Ashland County, Wisconsin",4.40%,± 1.2%
"Ashley County, Arkansas",6%,± 2.1%
"Ashtabula County, Ohio",7.60%,± 0.9%
"Asotin County, Washington",5.90%,± 1.8%
"Assumption Parish, Louisiana",8%,± 2.6%
"Atascosa County, Texas",6.40%,± 1.6%
"Atchison County, Kansas",4.50%,± 1.7%
"Atchison County, Missouri",2.60%,± 1.2%
"Athens County, Ohio",5.70%,± 0.8%
"Atkinson County, Georgia",4.60%,± 2%
"Atlantic County, New Jersey",8.30%,± 0.7%
"Atoka County, Oklahoma",5.60%,± 1.7%
"Attala County, Mississippi",7.20%,± 2.2%
"Audrain County, Missouri",3.90%,± 1.5%
"Audubon County, Iowa",0.70%,± 0.6%
"Auglaize County, Ohio",2.90%,± 0.7%
"Augusta County, Virginia",3%,± 0.7%
"Aurora County, South Dakota",0.80%,± 0.7%
"Austin County, Texas",3.80%,± 1.2%
"Autauga County, Alabama",2.80%,± 0.8%
"Avery County, North Carolina",5%,± 1.5%
"Avoyelles Parish, Louisiana",7.50%,± 1.9%
"Baca County, Colorado",1.70%,± 1%
"Bacon County, Georgia",4.30%,± 2.6%
"Bailey County, Texas",2.10%,± 2.1%
"Baker County, Florida",4.90%,± 2.1%
"Baker County, Georgia",12.20%,± 5.7%
"Baker County, Oregon",5.50%,± 1.9%
"Baldwin County, Alabama",3.40%,± 0.6%
"Baldwin County, Georgia",7%,± 1.8%
"Ballard County, Kentucky",5.20%,± 2.8%
"Baltimore city, Maryland",6.90%,± 0.5%
"Baltimore County, Maryland",5.20%,± 0.3%
"Bamberg County, South Carolina",11%,± 4%
"Bandera County, Texas",6.70%,± 2.3%
"Banks County, Georgia",2.50%,± 1%
"Banner County, Nebraska",3.30%,± 3.8%
"Bannock County, Idaho",5.10%,± 1%
"Baraga County, Michigan",4.90%,± 1.5%
"Barber County, Kansas",2.40%,± 1.8%
"Barbour County, Alabama",5.80%,± 1.8%
"Barbour County, West Virginia",10.10%,± 3.7%
"Barceloneta Municipio, Puerto Rico",15.80%,± 4.7%
"Barnes County, North Dakota",3.30%,± 1.5%
"Barnstable County, Massachusetts",4.50%,± 0.5%
"Barnwell County, South Carolina",5.90%,± 2.1%
"Barranquitas Municipio, Puerto Rico",15.50%,± 3.8%
"Barren County, Kentucky",4.90%,± 1.3%
"Barron County, Wisconsin",3.20%,± 0.8%
"Barrow County, Georgia",4%,± 0.9%
"Barry County, Michigan",5.30%,± 1%
"Barry County, Missouri",3.60%,± 1.2%
"Bartholomew County, Indiana",3.60%,± 0.7%
"Barton County, Kansas",4.10%,± 1.1%
"Barton County, Missouri",6.10%,± 2.2%
"Bartow County, Georgia",5.50%,± 1.1%
"Bastrop County, Texas",4.40%,± 0.9%
"Bates County, Missouri",7.50%,± 1.8%
"Bath County, Kentucky",2.90%,± 1.7%
"Bath County, Virginia",2%,± 2.2%
"Baxter County, Arkansas",5.10%,± 1.7%
"Bay County, Florida",4%,± 0.6%
"Bay County, Michigan",4.80%,± 0.8%
"Bayamón Municipio, Puerto Rico",9.90%,± 0.9%
"Bayfield County, Wisconsin",3.60%,± 0.9%
"Baylor County, Texas",1.10%,± 1.3%
"Beadle County, South Dakota",2.30%,± 1.2%
"Bear Lake County, Idaho",4.30%,± 1.5%
"Beaufort County, North Carolina",5.60%,± 1.2%
"Beaufort County, South Carolina",3.10%,± 0.7%
"Beauregard Parish, Louisiana",8.10%,± 1.9%
"Beaver County, Oklahoma",1.90%,± 1.4%
"Beaver County, Pennsylvania",5.60%,± 0.6%
"Beaver County, Utah",3.60%,± 2%
"Beaverhead County, Montana",2.80%,± 1.4%
"Becker County, Minnesota",4.30%,± 0.9%
"Beckham County, Oklahoma",6.20%,± 2.4%
"Bedford County, Pennsylvania",4.30%,± 0.8%
"Bedford County, Tennessee",4.60%,± 1.3%
"Bedford County, Virginia",2.90%,± 0.7%
"Bee County, Texas",6.40%,± 2.4%
"Belknap County, New Hampshire",2.70%,± 0.8%
"Bell County, Kentucky",10%,± 3%
"Bell County, Texas",7.70%,± 0.7%
"Belmont County, Ohio",6%,± 1.3%
"Beltrami County, Minnesota",5.40%,± 0.9%
"Ben Hill County, Georgia",5%,± 2%
"Benewah County, Idaho",3.80%,± 1.2%
"Bennett County, South Dakota",7.90%,± 5.9%
"Bennington County, Vermont",4.20%,± 1.1%
"Benson County, North Dakota",2.20%,± 0.9%
"Bent County, Colorado",5.50%,± 3.1%
"Benton County, Arkansas",2.90%,± 0.3%
"Benton County, Indiana",3.70%,± 1.8%
"Benton County, Iowa",2.30%,± 0.7%
"Benton County, Minnesota",3.70%,± 0.9%
"Benton County, Mississippi",4.40%,± 2.5%
"Benton County, Missouri",5%,± 1.7%
"Benton County, Oregon",6.80%,± 0.9%
"Benton County, Tennessee",6.50%,± 2.5%
"Benton County, Washington",4.80%,± 0.6%
"Benzie County, Michigan",4.50%,± 1%
"Bergen County, New Jersey",5.50%,± 0.3%
"Berkeley County, South Carolina",3.80%,± 0.5%
"Berkeley County, West Virginia",4.60%,± 1%
"Berks County, Pennsylvania",5.40%,± 0.4%
"Berkshire County, Massachusetts",5.30%,± 0.8%
"Bernalillo County, New Mexico",5.40%,± 0.4%
"Berrien County, Georgia",4.60%,± 1.8%
"Berrien County, Michigan",6.60%,± 0.9%
"Bertie County, North Carolina",6.40%,± 2.3%
"Bethel Census Area, Alaska",16.20%,± 1.6%
"Bexar County, Texas",5.50%,± 0.2%
"Bibb County, Alabama",8.70%,± 3%
"Bibb County, Georgia",7.50%,± 1%
"Bienville Parish, Louisiana",5.60%,± 2.1%
"Big Horn County, Montana",15%,± 3%
"Big Horn County, Wyoming",6%,± 1.7%
"Big Stone County, Minnesota",2%,± 1%
"Billings County, North Dakota",2.10%,± 2.8%
"Bingham County, Idaho",6.10%,± 1.5%
"Black Hawk County, Iowa",5.20%,± 0.7%
"Blackford County, Indiana",5.50%,± 2.3%
"Bladen County, North Carolina",5.50%,± 1.8%
"Blaine County, Idaho",2.30%,± 1.3%
"Blaine County, Montana",13.20%,± 2.6%
"Blaine County, Nebraska",1.90%,± 1.8%
"Blaine County, Oklahoma",6.80%,± 2.5%
"Blair County, Pennsylvania",4.20%,± 0.6%
"Blanco County, Texas",3.90%,± 1.7%
"Bland County, Virginia",3.30%,± 2.3%
"Bleckley County, Georgia",6.10%,± 3%
"Bledsoe County, Tennessee",6.70%,± 3.2%
"Blount County, Alabama",6%,± 1.3%
"Blount County, Tennessee",4.10%,± 0.8%
"Blue Earth County, Minnesota",3.70%,± 0.7%
"Boise County, Idaho",3.40%,± 1.9%
"Bolivar County, Mississippi",7.40%,± 1.9%
"Bollinger County, Missouri",4.90%,± 1.9%
"Bon Homme County, South Dakota",2.20%,± 1.7%
"Bond County, Illinois",4.30%,± 1.7%
"Bonner County, Idaho",3.50%,± 1.1%
"Bonneville County, Idaho",4.60%,± 0.8%
"Boone County, Arkansas",4.40%,± 1.4%
"Boone County, Illinois",7.70%,± 1.7%
"Boone County, Indiana",3.10%,± 0.8%
"Boone County, Iowa",1.30%,± 0.5%
"Boone County, Kentucky",2.80%,± 0.6%
"Boone County, Missouri",3.90%,± 0.6%
"Boone County, Nebraska",1%,± 0.6%
"Boone County, West Virginia",9.80%,± 3%
"Borden County, Texas",1.80%,± 2.1%
"Bosque County, Texas",3.90%,± 1.1%
"Bossier Parish, Louisiana",5.60%,± 1%
"Botetourt County, Virginia",3.10%,± 1%
"Bottineau County, North Dakota",3.50%,± 1.8%
"Boulder County, Colorado",4.40%,± 0.4%
"Boundary County, Idaho",3.80%,± 2.2%
"Bourbon County, Kansas",3.80%,± 1.6%
"Bourbon County, Kentucky",5.50%,± 1.8%
"Bowie County, Texas",4%,± 0.8%
"Bowman County, North Dakota",4.10%,± 2.4%
"Box Butte County, Nebraska",4%,± 2%
"Box Elder County, Utah",2.60%,± 0.6%
"Boyd County, Kentucky",6.90%,± 1.7%
"Boyd County, Nebraska",1.80%,± 1.8%
"Boyle County, Kentucky",6.20%,± 1.7%
"Bracken County, Kentucky",6.20%,± 2.4%
"Bradford County, Florida",5.80%,± 2.4%
"Bradford County, Pennsylvania",4.80%,± 0.8%
"Bradley County, Arkansas",5.60%,± 2.1%
"Bradley County, Tennessee",5.40%,± 1%
"Branch County, Michigan",4.90%,± 1.3%
"Brantley County, Georgia",3.30%,± 1.9%
"Braxton County, West Virginia",14.40%,± 4.5%
"Brazoria County, Texas",4.60%,± 0.6%
"Brazos County, Texas",4.60%,± 0.5%
"Breathitt County, Kentucky",8.90%,± 2.5%
"Breckinridge County, Kentucky",7.70%,± 2.2%
"Bremer County, Iowa",3.20%,± 0.9%
"Brevard County, Florida",4.90%,± 0.4%
"Brewster County, Texas",3%,± 1.8%
"Briscoe County, Texas",3.30%,± 3.8%
"Bristol Bay Borough, Alaska",2.70%,± 2.4%
"Bristol city, Virginia",4.10%,± 2%
"Bristol County, Massachusetts",5.70%,± 0.3%
