fips_code,county,state,total22_customers,recovery_time_minutes,recovery_time_hours,recovery_time_days,max_date,max_percent_outage,sum_max_at_max_date,below_5_date,below_5_percent_outage,sum_max_at_below_5_date,RADII,STORMID
5001,Arkansas,Arkansas,9409,75.0,1.25,0.0520833333333333,2020-10-10 14:15:00,15.463917525773196,1455.0,10/10/2020 15:30,4.952704857051759,466.0,,
5003,Ashley,Arkansas,9203,300.0,5.0,0.2083333333333333,2020-10-10 20:45:00,25.296099098120177,2328.0,10/11/2020 01:45,4.998370096707595,460.0,34.0,AL262020
5007,Benton,Arkansas,123593,0.0,0.0,0.0,2020-10-08 17:00:00,2.3213288778490693,2869.0,10/08/2020 17:00,2.3213288778490693,2869.0,,
5011,Bradley,Arkansas,5463,60.0,1.0,0.0416666666666666,2020-10-10 13:45:00,37.52516932088596,2050.0,10/10/2020 14:45,0.3111843309536884,17.0,,
5017,Chicot,Arkansas,4703,15.0,0.25,0.0104166666666666,2020-10-10 09:15:00,20.029768233042734,942.0,10/10/2020 09:30,0.9993621092919412,47.0,34.0,AL262020
5019,Clark,Arkansas,11935,0.0,0.0,0.0,2020-10-12 15:00:00,0.2010892333472978,24.0,10/12/2020 15:00,0.2010892333472978,24.0,,
5021,Clay,Arkansas,6466,0.0,0.0,0.0,2020-10-07 14:30:00,0.9588617383235384,62.0,10/07/2020 14:30,0.9588617383235384,62.0,,
5027,Columbia,Arkansas,11454,0.0,0.0,0.0,2020-10-10 13:15:00,1.108782957918631,127.0,10/10/2020 13:15,1.108782957918631,127.0,,
5031,Craighead,Arkansas,75696,0.0,0.0,0.0,2020-10-08 16:45:00,0.235151130839146,178.0,10/08/2020 16:45,0.235151130839146,178.0,,
5033,Crawford,Arkansas,36251,0.0,0.0,0.0,2020-10-09 18:15:00,2.2702821991117483,823.0,10/09/2020 18:15,2.2702821991117483,823.0,,
5035,Crittenden,Arkansas,25574,0.0,0.0,0.0,2020-10-07 01:30:00,1.5093454289512789,386.0,10/07/2020 01:30,1.5093454289512789,386.0,,
5041,Desha,Arkansas,5462,60.0,1.0,0.0416666666666666,2020-10-10 12:15:00,7.909190772610765,432.0,10/10/2020 13:15,1.9040644452581472,104.0,,
5043,Drew,Arkansas,9073,225.0,3.75,0.15625,2020-10-10 16:00:00,8.949630772622065,812.0,10/10/2020 19:45,3.8465777581836216,349.0,,
5045,Faulkner,Arkansas,63679,0.0,0.0,0.0,2020-10-07 07:15:00,0.2025785580803718,129.0,10/07/2020 07:15,0.2025785580803718,129.0,,
5047,Franklin,Arkansas,10611,60.0,1.0,0.0416666666666666,2020-10-09 18:15:00,9.791725567806992,1039.0,10/09/2020 19:15,4.099519366694939,435.0,,
5053,Grant,Arkansas,8732,60.0,1.0,0.0416666666666666,2020-10-08 01:45:00,9.94044892349977,868.0,10/08/2020 02:45,0.0572606504809894,5.0,,
