fips_code,county,state,total22_customers,recovery_time_minutes,recovery_time_hours,recovery_time_days,max_date,max_percent_outage,sum_max_at_max_date,below_5_date,below_5_percent_outage,sum_max_at_below_5_date,RADII,STORMID
5005,Baxter,Arkansas,28471,0.0,0.0,0.0,2017-08-27 23:15:00,0.4917284254153348,140.0,08/27/2017 23:15,0.4917284254153348,140.0,,
5007,Benton,Arkansas,123593,0.0,0.0,0.0,2017-08-24 17:00:00,1.8366735980193052,2270.0,08/24/2017 17:00,1.8366735980193052,2270.0,,
5009,Boone,Arkansas,18659,105.0,1.75,0.0729166666666666,2017-08-28 14:00:00,8.10868749665041,1513.0,08/28/2017 15:45,0.0857495042606785,16.0,,
5011,Bradley,Arkansas,5463,0.0,0.0,0.0,2017-08-30 11:30:00,0.4759289767527,26.0,08/30/2017 11:30,0.4759289767527,26.0,,
5015,Carroll,Arkansas,17602,30.0,0.5,0.0208333333333333,2017-08-28 06:15:00,5.539143279172822,975.0,08/28/2017 06:45,0.1079422792864447,19.0,,
5017,Chicot,Arkansas,4703,0.0,0.0,0.0,2017-09-05 01:00:00,3.0193493514777803,142.0,09/05/2017 01:00,3.0193493514777803,142.0,,
5019,Clark,Arkansas,11935,0.0,0.0,0.0,2017-08-30 22:15:00,1.0557184750733135,126.0,08/30/2017 22:15,1.0557184750733135,126.0,,
5023,Cleburne,Arkansas,17946,0.0,0.0,0.0,2017-08-28 19:15:00,0.7522567703109327,135.0,08/28/2017 19:15,0.7522567703109327,135.0,,
5025,Cleveland,Arkansas,3401,75.0,1.25,0.0520833333333333,2017-08-31 16:15:00,12.055277859453104,410.0,08/31/2017 17:30,0.8526903851808291,29.0,,
5031,Craighead,Arkansas,75696,0.0,0.0,0.0,2017-08-31 15:00:00,0.0132107376875924,10.0,08/31/2017 15:00,0.0132107376875924,10.0,,
5037,Cross,Arkansas,7940,30.0,0.5,0.0208333333333333,2017-08-31 20:15:00,10.503778337531486,834.0,08/31/2017 20:45,3.740554156171284,297.0,,
5041,Desha,Arkansas,5462,210.0,3.5,0.1458333333333333,2017-08-31 22:30:00,11.058220432076164,604.0,09/01/2017 02:00,0.018308311973636,1.0,,
5043,Drew,Arkansas,9073,0.0,0.0,0.0,2017-09-02 12:15:00,0.8045850325140528,73.0,09/02/2017 12:15,0.8045850325140528,73.0,,
5053,Grant,Arkansas,8732,0.0,0.0,0.0,2017-09-02 03:00:00,4.718277599633532,412.0,09/02/2017 03:00,4.718277599633532,412.0,,
5059,Hot Spring,Arkansas,15029,30.0,0.5,0.0208333333333333,2017-09-04 16:45:00,10.792467895402222,1622.0,09/04/2017 17:15,3.9656663783352175,596.0,,
5067,Jackson,Arkansas,8374,135.0,2.25,0.09375,2017-08-30 19:15:00,11.51182230714115,964.0,08/30/2017 21:30,4.908048722235491,411.0,,
5069,Jefferson,Arkansas,33927,0.0,0.0,0.0,2017-09-02 12:30:00,4.533262593214844,1538.0,09/02/2017 12:30,4.533262593214844,1538.0,,
5073,Lafayette,Arkansas,2776,0.0,0.0,0.0,2017-09-05 23:30:00,2.3054755043227666,64.0,09/05/2017 23:30,2.3054755043227666,64.0,,
5075,Lawrence,Arkansas,7466,0.0,0.0,0.0,2017-09-04 20:15:00,1.2456469327618538,93.0,09/04/2017 20:15,1.2456469327618538,93.0,,
5077,Lee,Arkansas,4519,105.0,1.75,0.0729166666666666,2017-08-31 14:45:00,14.759902633325956,667.0,08/31/2017 16:30,1.99159105996902,90.0,,
5079,Lincoln,Arkansas,5681,0.0,0.0,0.0,2017-08-31 04:00:00,0.0352050695300123,2.0,08/31/2017 04:00,0.0352050695300123,2.0,,
5081,Little River,Arkansas,3623,0.0,0.0,0.0,2017-09-03 21:30:00,1.7388904223019597,63.0,09/03/2017 21:30,1.7388904223019597,63.0,,
5085,Lonoke,Arkansas,46850,0.0,0.0,0.0,2017-09-01 23:45:00,0.1963713980789754,92.0,09/01/2017 23:45,0.1963713980789754,92.0,,
5087,Madison,Arkansas,13452,0.0,0.0,0.0,2017-08-27 14:00:00,0.4980672019030627,67.0,08/27/2017 14:00,0.4980672019030627,67.0,,
5089,Marion,Arkansas,8270,0.0,0.0,0.0,2017-08-26 17:15:00,0.7376058041112455,61.0,08/26/2017 17:15,0.7376058041112455,61.0,,
5091,Miller,Arkansas,15516,120.0,2.0,0.0833333333333333,2017-09-05 21:30:00,28.402938901778807,4407.0,09/05/2017 23:30,0.1353441608662026,21.0,,
5095,Monroe,Arkansas,3733,75.0,1.25,0.0520833333333333,2017-09-05 13:15:00,9.858023037771227,368.0,09/05/2017 14:30,0.0267881060809,1.0,,
5097,Montgomery,Arkansas,4130,0.0,0.0,0.0,2017-08-25 13:45:00,1.9854721549636805,82.0,08/25/2017 13:45,1.9854721549636805,82.0,,
5099,Nevada,Arkansas,4020,0.0,0.0,0.0,2017-08-29 21:00:00,0.7462686567164178,30.0,08/29/2017 21:00,0.7462686567164178,30.0,,
5101,Newton,Arkansas,3813,0.0,0.0,0.0,2017-09-03 14:15:00,4.012588512981904,153.0,09/03/2017 14:15,4.012588512981904,153.0,,
5107,Phillips,Arkansas,9727,75.0,1.25,0.0520833333333333,2017-09-01 00:00:00,9.180631232651384,893.0,09/01/2017 01:15,4.965559782049964,483.0,,
5109,Pike,Arkansas,5133,2550.0,42.5,1.7708333333333333,2017-08-30 21:00:00,9.468147282291058,486.0,09/01/2017 15:30,0.019481784531463,1.0,,
