fips_code,county,state,total22_customers,recovery_time_minutes,recovery_time_hours,recovery_time_days,max_date,max_percent_outage,sum_max_at_max_date,below_5_date,below_5_percent_outage,sum_max_at_below_5_date,RADII,STORMID
9001,Fairfield,Connecticut,310526.0,8385.0,139.75,5.822916666666667,2020-08-06 00:15:00,61.4943676213908,190956.0,08/11/2020 20:00,4.89749650592865,15208.0,50.0,AL092020
9003,Hartford,Connecticut,572922.0,5340.0,89.0,3.7083333333333335,2020-08-05 14:30:00,31.307926733482045,179370.0,08/09/2020 07:30,4.99998254561703,28646.0,34.0,AL092020
9005,Litchfield,Connecticut,102535.0,8925.0,148.75,6.197916666666667,2020-08-05 14:30:00,64.81884234651582,66462.0,08/11/2020 19:15,4.16150582727849,4267.0,50.0,AL092020
9007,Middlesex,Connecticut,94735.0,6990.0,116.5,4.854166666666667,2020-08-05 13:15:00,53.75626748297884,50926.0,08/10/2020 09:45,4.988652557133055,4726.0,34.0,AL092020
9009,New Haven,Connecticut,383498.0,6120.0,102.0,4.25,2020-08-05 14:15:00,36.74725813433186,140925.0,08/09/2020 20:15,4.914236840870096,18846.0,34.0,AL092020
9011,New London,Connecticut,78303.0,6255.0,104.25,4.34375,2020-08-05 10:00:00,48.40427569824911,37902.0,08/09/2020 18:15,4.760992554563682,3728.0,34.0,AL092020
9013,Tolland,Connecticut,80653.0,4050.0,67.5,2.8125,2020-08-06 05:15:00,50.81522076054208,40984.0,08/09/2020 00:45,2.5256345083257905,2037.0,34.0,AL092020
9015,Windham,Connecticut,66275.0,7170.0,119.5,4.979166666666667,2020-08-05 16:45:00,57.75330064126744,38276.0,08/10/2020 16:15,4.829875518672199,3201.0,34.0,AL092020
10001,Kent,Delaware,98370.0,45.0,0.75,0.03125,2020-08-04 13:45:00,6.75612483480736,6646.0,08/04/2020 14:30,4.236047575480329,4167.0,50.0,AL092020
10003,New Castle,Delaware,191056.0,1140.0,19.0,0.7916666666666666,2020-08-04 18:00:00,15.143727493509756,28933.0,08/05/2020 13:00,4.927351143120342,9414.0,50.0,AL092020
10005,Sussex,Delaware,218986.0,390.0,6.5,0.2708333333333333,2020-08-04 16:00:00,15.915172659439415,34852.0,08/04/2020 22:30,4.935475327189866,10808.0,50.0,AL092020
23001,Androscoggin,Maine,77643.0,840.0,14.0,0.5833333333333334,2020-08-05 03:45:00,15.026467292608478,11667.0,08/05/2020 17:45,4.921242095230736,3821.0,34.0,AL092020
23003,Aroostook,Maine,42053.0,15.0,0.25,0.0104166666666666,2020-08-05 07:45:00,5.252895156112524,2209.0,08/05/2020 08:00,1.6455425296649464,692.0,34.0,AL092020
23005,Cumberland,Maine,227401.0,960.0,16.0,0.6666666666666666,2020-08-05 02:00:00,12.252804517130532,27863.0,08/05/2020 18:00,4.966556875299581,11294.0,34.0,AL092020
23007,Franklin,Maine,20532.0,705.0,11.75,0.4895833333333333,2020-08-05 03:45:00,14.932787843366452,3066.0,08/05/2020 15:30,4.899668809662965,1006.0,34.0,AL092020
23011,Kennebec,Maine,87760.0,615.0,10.25,0.4270833333333333,2020-08-05 03:45:00,14.022333637192345,12306.0,08/05/2020 14:00,4.912260711030083,4311.0,34.0,AL092020
23015,Lincoln,Maine,23436.0,165.0,2.75,0.1145833333333333,2020-08-07 07:00:00,18.096091483188257,4241.0,08/07/2020 09:45,3.1618023553507424,741.0,,
23017,Oxford,Maine,38205.0,840.0,14.0,0.5833333333333334,2020-08-05 14:15:00,22.088731841382018,8439.0,08/06/2020 04:15,4.939144091087553,1887.0,34.0,AL092020
23021,Piscataquis,Maine,10203.0,0.0,0.0,0.0,2020-08-06 20:15:00,2.881505439576595,294.0,08/06/2020 20:15,2.881505439576595,294.0,34.0,AL092020
23025,Somerset,Maine,19524.0,180.0,3.0,0.125,2020-08-05 04:30:00,8.502356074574882,1660.0,08/05/2020 07:30,3.8414259373079287,750.0,34.0,AL092020
23027,Waldo,Maine,22684.0,0.0,0.0,0.0,2020-08-10 16:00:00,2.8213718920825253,640.0,08/10/2020 16:00,2.8213718920825253,640.0,,
23029,Washington,Maine,15144.0,750.0,12.5,0.5208333333333334,2020-08-07 02:30:00,11.687797147385105,1770.0,08/07/2020 15:00,0.0132065504490227,2.0,,
23031,York,Maine,76996.0,2190.0,36.5,1.5208333333333333,2020-08-05 02:45:00,32.70429632708193,25181.0,08/06/2020 15:15,4.256065250142864,3277.0,34.0,AL092020
24003,Anne Arundel,Maryland,253751.0,300.0,5.0,0.2083333333333333,2020-08-04 15:45:00,7.847456758791098,19913.0,08/04/2020 20:45,4.714858266568408,11964.0,50.0,AL092020
