fips_code,county,state,total22_customers,recovery_time_minutes,recovery_time_hours,recovery_time_days,max_date,max_percent_outage,sum_max_at_max_date,below_5_date,below_5_percent_outage,sum_max_at_below_5_date,RADII,STORMID
5001,Arkansas,Arkansas,9409,15.0,0.25,0.0104166666666666,2020-09-03 14:15:00,26.559676905090875,2499.0,09/03/2020 14:30,0.0106281220108406,1.0,34.0,AL132020
5003,Ashley,Arkansas,9203,3855.0,64.25,2.677083333333333,2020-08-28 00:45:00,59.77398674345322,5501.0,08/30/2020 17:00,4.976638052808867,458.0,34.0,AL132020
5005,Baxter,Arkansas,28471,15.0,0.25,0.0104166666666666,2020-08-28 13:00:00,9.77134628218187,2782.0,08/28/2020 13:15,0.0175617294791191,5.0,,
5009,Boone,Arkansas,18659,0.0,0.0,0.0,2020-09-01 13:00:00,0.4984189935151937,93.0,09/01/2020 13:00,0.4984189935151937,93.0,,
5011,Bradley,Arkansas,5463,405.0,6.75,0.28125,2020-08-28 18:45:00,22.679846238330587,1239.0,08/29/2020 01:30,4.704374885593996,257.0,50.0,AL132020
5013,Calhoun,Arkansas,3555,0.0,0.0,0.0,2020-09-02 21:45:00,2.390998593530239,85.0,09/02/2020 21:45,2.390998593530239,85.0,50.0,AL132020
5015,Carroll,Arkansas,17602,90.0,1.5,0.0625,2020-08-25 20:30:00,5.95386887853653,1048.0,08/25/2020 22:00,0.2442904215430064,43.0,,
5023,Cleburne,Arkansas,17946,0.0,0.0,0.0,2020-08-28 02:30:00,4.552546528474312,817.0,08/28/2020 02:30,4.552546528474312,817.0,34.0,AL132020
5025,Cleveland,Arkansas,3401,90.0,1.5,0.0625,2020-08-28 13:45:00,13.025580711555426,443.0,08/28/2020 15:15,1.146721552484563,39.0,50.0,AL132020
5027,Columbia,Arkansas,11454,510.0,8.5,0.3541666666666667,2020-08-27 17:15:00,53.3787323205867,6114.0,08/28/2020 01:45,0.0087305744718002,1.0,34.0,AL132020
5029,Conway,Arkansas,12567,30.0,0.5,0.0208333333333333,2020-09-01 20:15:00,6.429537678045675,808.0,09/01/2020 20:45,0.5649717514124294,71.0,34.0,AL132020
5031,Craighead,Arkansas,75696,0.0,0.0,0.0,2020-08-28 03:00:00,1.9631156203762417,1486.0,08/28/2020 03:00,1.9631156203762417,1486.0,,
