fips_code,county,state,total22_customers,recovery_time_minutes,recovery_time_hours,recovery_time_days,max_date,max_percent_outage,sum_max_at_max_date,below_5_date,below_5_percent_outage,sum_max_at_below_5_date,RADII,STORMID
22005,Ascension,Louisiana,51706,1290.0,21.5,0.8958333333333334,2021-09-15 18:00:00,31.11437744168955,16088.0,09/16/2021 15:30,0.2533555099988396,131.0,,
22007,Assumption,Louisiana,6738,1335.0,22.25,0.9270833333333334,2021-09-12 00:00:00,11.605817750074204,782.0,09/12/2021 22:15,3.992282576432175,269.0,,
22015,Bossier,Louisiana,94184,0.0,0.0,0.0,2021-09-13 17:45:00,3.2574534952858234,3068.0,09/13/2021 17:45,3.2574534952858234,3068.0,,
22017,Caddo,Louisiana,145518,0.0,0.0,0.0,2021-09-15 15:00:00,2.311054302560508,3363.0,09/15/2021 15:00,2.311054302560508,3363.0,,
22019,Calcasieu,Louisiana,49912,0.0,0.0,0.0,2021-09-14 01:45:00,2.6626863279371693,1329.0,09/14/2021 01:45,2.6626863279371693,1329.0,34.0,AL142021
22021,Caldwell,Louisiana,4046,30.0,0.5,0.0208333333333333,2021-09-14 00:45:00,7.686604053386061,311.0,09/14/2021 01:15,0.0988630746416213,4.0,,
22025,Catahoula,Louisiana,3902,0.0,0.0,0.0,2021-09-15 05:00:00,0.6919528446950282,27.0,09/15/2021 05:00,0.6919528446950282,27.0,,
22029,Concordia,Louisiana,8638,0.0,0.0,0.0,2021-09-14 13:45:00,0.5093771706413521,44.0,09/14/2021 13:45,0.5093771706413521,44.0,,
22033,East Baton Rouge,Louisiana,214590,45.0,0.75,0.03125,2021-09-14 00:00:00,5.659163987138264,12144.0,09/14/2021 00:45,4.838063283470804,10382.0,,
22037,East Feliciana,Louisiana,7347,3210.0,53.5,2.2291666666666665,2021-09-14 10:00:00,28.664761126990605,2106.0,09/16/2021 15:30,0.4627739213284333,34.0,,
22039,Evangeline,Louisiana,22432,0.0,0.0,0.0,2021-09-17 03:45:00,3.593081312410842,806.0,09/17/2021 03:45,3.593081312410842,806.0,34.0,AL142021
22047,Iberville,Louisiana,11710,795.0,13.25,0.5520833333333334,2021-09-14 01:00:00,13.672075149444918,1601.0,09/14/2021 14:15,0.0341588385994876,4.0,,
22049,Jackson,Louisiana,4755,0.0,0.0,0.0,2021-09-21 15:45:00,2.77602523659306,132.0,09/21/2021 15:45,2.77602523659306,132.0,,
22051,Jefferson,Louisiana,230746,90.0,1.5,0.0625,2021-09-16 00:00:00,11.844625692319694,27331.0,09/16/2021 01:30,1.6862697511549496,3891.0,,
22057,Lafourche,Louisiana,35705,21510.0,358.5,14.9375,2021-09-12 00:45:00,99.85436213415488,35653.0,09/26/2021 23:15,3.72496849180787,1330.0,,
22061,Lincoln,Louisiana,26566,0.0,0.0,0.0,2021-09-19 05:30:00,1.991267033049763,529.0,09/19/2021 05:30,1.991267033049763,529.0,,
22063,Livingston,Louisiana,56101,5955.0,99.25,4.135416666666667,2021-09-12 16:00:00,41.24881909413379,23141.0,09/16/2021 19:15,4.916133402256644,2758.0,,
22067,Morehouse,Louisiana,11166,75.0,1.25,0.0520833333333333,2021-09-20 19:45:00,6.582482536270823,735.0,09/20/2021 21:00,0.0358230342109976,4.0,,
22071,Orleans,Louisiana,212936,0.0,0.0,0.0,2021-09-15 12:15:00,2.1250516587143555,4525.0,09/15/2021 12:15,2.1250516587143555,4525.0,,
22073,Ouachita,Louisiana,61793,0.0,0.0,0.0,2021-09-15 16:15:00,1.8205945657275096,1125.0,09/15/2021 16:15,1.8205945657275096,1125.0,,
22075,Plaquemines,Louisiana,14010,2805.0,46.75,1.9479166666666667,2021-09-12 00:30:00,20.042826552462525,2808.0,09/13/2021 23:15,4.168451106352605,584.0,,
22077,Pointe Coupee,Louisiana,7258,45.0,0.75,0.03125,2021-09-15 23:30:00,11.036098098649768,801.0,09/16/2021 00:15,0.0137779002480022,1.0,,
22079,Rapides,Louisiana,110551,0.0,0.0,0.0,2021-09-21 01:00:00,1.381262946513374,1527.0,09/21/2021 01:00,1.381262946513374,1527.0,,
22081,Red River,Louisiana,5806,45.0,0.75,0.03125,2021-09-13 16:15:00,8.818463658284534,512.0,09/13/2021 17:00,0.0688942473303479,4.0,,
22085,Sabine,Louisiana,17148,0.0,0.0,0.0,2021-09-14 21:00:00,2.956613016095172,507.0,09/14/2021 21:00,2.956613016095172,507.0,,
22087,St. Bernard,Louisiana,23169,0.0,0.0,0.0,2021-09-17 13:45:00,4.108938668047823,952.0,09/17/2021 13:45,4.108938668047823,952.0,,
22089,St. Charles,Louisiana,30265,7695.0,128.25,5.34375,2021-09-12 14:00:00,63.53874112010573,19230.0,09/17/2021 22:15,4.78110028085247,1447.0,,
22091,St. Helena,Louisiana,4162,6390.0,106.5,4.4375,2021-09-12 07:45:00,140.82172032676598,5861.0,09/16/2021 18:15,4.949543488707352,206.0,,
22093,St. James,Louisiana,11499,5025.0,83.75,3.489583333333333,2021-09-12 13:00:00,47.42151491434038,5453.0,09/16/2021 00:45,0.9913905557004956,114.0,,
22095,St. John the Baptist,Louisiana,22092,10590.0,176.5,7.354166666666667,2021-09-12 17:15:00,68.28263624841571,15085.0,09/20/2021 01:45,1.9916711931921056,440.0,,
22097,St. Landry,Louisiana,47280,0.0,0.0,0.0,2021-09-16 02:15:00,3.711928934010152,1755.0,09/16/2021 02:15,3.711928934010152,1755.0,,
