fips_code,county,state,total22_customers,recovery_time_minutes,recovery_time_hours,recovery_time_days,max_date,max_percent_outage,sum_max_at_max_date,below_5_date,below_5_percent_outage,sum_max_at_below_5_date,RADII,STORMID
12001,Alachua,Florida,218548,15.0,0.25,0.0104166666666666,2022-11-10 20:00:00,5.4857514138770425,11989,11/10/2022 20:15,4.968244962205099,10858,34.0,AL172022
12003,Baker,Florida,15917,0.0,0.0,0.0,2022-11-11 04:00:00,1.0868882327071685,173,11/11/2022 04:00,1.0868882327071685,173,34.0,AL172022
12005,Bay,Florida,88692,0.0,0.0,0.0,2022-11-15 17:15:00,2.5131917196590448,2229,11/15/2022 17:15,2.5131917196590448,2229,34.0,AL172022
12007,Bradford,Florida,17679,75.0,1.25,0.0520833333333333,2022-11-10 17:00:00,8.218790655580067,1453,11/10/2022 18:15,4.27060354092426,755,34.0,AL172022
12009,Brevard,Florida,338129,1455.0,24.25,1.0104166666666667,2022-11-10 10:45:00,26.68922216077296,90244,11/11/2022 11:00,4.575768419745127,15472,64.0,AL172022
12011,Broward,Florida,1298256,0.0,0.0,0.0,2022-11-10 05:45:00,0.3528579879469072,4581,11/10/2022 05:45,0.3528579879469072,4581,34.0,AL172022
12013,Calhoun,Florida,9002,15.0,0.25,0.0104166666666666,2022-11-09 12:30:00,6.776271939568984,610,11/09/2022 12:45,0.0222172850477671,2,34.0,AL172022
12015,Charlotte,Florida,129889,0.0,0.0,0.0,2022-11-10 03:00:00,2.204959619367306,2864,11/10/2022 03:00,2.204959619367306,2864,34.0,AL172022
12019,Clay,Florida,81941,90.0,1.5,0.0625,2022-11-10 15:00:00,12.905627219584822,10575,11/10/2022 16:30,4.450763354120648,3647,34.0,AL172022
12023,Columbia,Florida,38562,15.0,0.25,0.0104166666666666,2022-11-10 21:30:00,9.60531092785644,3704,11/10/2022 21:45,4.574451532596857,1764,34.0,AL172022
12027,DeSoto,Florida,21129,45.0,0.75,0.03125,2022-11-08 05:00:00,7.790240901131147,1646,11/08/2022 05:45,1.230536229826305,260,34.0,AL172022
12029,Dixie,Florida,14193,120.0,2.0,0.0833333333333333,2022-11-09 04:45:00,15.091946734305644,2142,11/09/2022 06:45,1.2823222715423097,182,34.0,AL172022
12031,Duval,Florida,483034,15.0,0.25,0.0104166666666666,2022-11-10 15:15:00,6.049884687206284,29223,11/10/2022 15:30,4.689110911447227,22650,34.0,AL172022
12035,Flagler,Florida,58764,420.0,7.0,0.2916666666666667,2022-11-10 19:00:00,11.221155809679397,6594,11/11/2022 02:00,3.3183581784766187,1950,50.0,AL172022
12037,Franklin,Florida,4460,1080.0,18.0,0.75,2022-11-13 19:45:00,10.605381165919283,473,11/14/2022 13:45,0.0224215246636771,1,34.0,AL172022
12039,Gadsden,Florida,36014,0.0,0.0,0.0,2022-11-10 18:30:00,2.4823679680124395,894,11/10/2022 18:30,2.4823679680124395,894,34.0,AL172022
12041,Gilchrist,Florida,12803,285.0,4.75,0.1979166666666666,2022-11-10 17:00:00,14.434117003827229,1848,11/10/2022 21:45,4.639537608373038,594,34.0,AL172022
12043,Glades,Florida,6357,0.0,0.0,0.0,2022-11-10 13:00:00,2.343872896020135,149,11/10/2022 13:00,2.343872896020135,149,34.0,AL172022
