fips_code,county,state,total22_customers,recovery_time_minutes,recovery_time_hours,recovery_time_days,max_date,max_percent_outage,sum_max_at_max_date,below_5_date,below_5_percent_outage,sum_max_at_below_5_date,RADII,STORMID
1001,Autauga,Alabama,24619,600.0,10.0,0.4166666666666667,2020-09-17 05:00:00,28.343961980584105,6978.0,09/17/2020 15:00,4.748365083878305,1169.0,,
1003,Baldwin,Alabama,195253,210.0,3.5,0.1458333333333333,2020-09-16 12:15:00,64.6781355472131,126286.0,09/16/2020 15:45,2.6729422851377445,5219.0,64.0,AL192020
1005,Barbour,Alabama,12400,120.0,2.0,0.0833333333333333,2020-09-17 01:45:00,10.733870967741936,1331.0,09/17/2020 03:45,4.903225806451613,608.0,34.0,AL192020
1007,Bibb,Alabama,11037,180.0,3.0,0.125,2020-09-22 12:30:00,15.819516172873064,1746.0,09/22/2020 15:30,0.0362417323548065,4.0,,
1009,Blount,Alabama,27074,60.0,1.0,0.0416666666666666,2020-09-16 21:00:00,5.222722907586615,1414.0,09/16/2020 22:00,0.0147743222279677,4.0,,
1011,Bullock,Alabama,8727,600.0,10.0,0.4166666666666667,2020-09-17 05:00:00,14.839005385584969,1295.0,09/17/2020 15:00,3.620946487911081,316.0,34.0,AL192020
1013,Butler,Alabama,12325,1635.0,27.25,1.1354166666666667,2020-09-16 18:45:00,48.835699797160245,6019.0,09/17/2020 22:00,4.67342799188641,576.0,50.0,AL192020
1015,Calhoun,Alabama,62182,0.0,0.0,0.0,2020-09-17 02:45:00,2.814319256376443,1750.0,09/17/2020 02:45,2.814319256376443,1750.0,,
1017,Chambers,Alabama,12749,0.0,0.0,0.0,2020-09-20 22:15:00,4.063063769707428,518.0,09/20/2020 22:15,4.063063769707428,518.0,,
1023,Choctaw,Alabama,7230,0.0,0.0,0.0,2020-09-16 13:00:00,4.896265560165976,354.0,09/16/2020 13:00,4.896265560165976,354.0,,
1025,Clarke,Alabama,21629,105.0,1.75,0.0729166666666666,2020-09-16 20:00:00,8.696657265708078,1881.0,09/16/2020 21:45,4.942438392898423,1069.0,50.0,AL192020
1029,Cleburne,Alabama,6993,0.0,0.0,0.0,2020-09-17 09:30:00,3.961103961103961,277.0,09/17/2020 09:30,3.961103961103961,277.0,,
1031,Coffee,Alabama,31347,30.0,0.5,0.0208333333333333,2020-09-16 18:45:00,6.973554088110505,2186.0,09/16/2020 19:15,1.7449835709956296,547.0,34.0,AL192020
1035,Conecuh,Alabama,5906,1500.0,25.0,1.0416666666666667,2020-09-17 16:00:00,10.95496105655266,647.0,09/18/2020 17:00,2.116491703352523,125.0,50.0,AL192020
1037,Coosa,Alabama,4170,915.0,15.25,0.6354166666666666,2020-09-17 05:15:00,22.062350119904075,920.0,09/17/2020 20:30,2.997601918465228,125.0,,
1039,Covington,Alabama,30321,990.0,16.5,0.6875,2020-09-16 21:15:00,12.103822433297056,3670.0,09/17/2020 13:45,4.966854655189472,1506.0,50.0,AL192020
1041,Crenshaw,Alabama,8129,1440.0,24.0,1.0,2020-09-16 20:30:00,24.3203346045024,1977.0,09/17/2020 20:30,4.785336449747817,389.0,34.0,AL192020
1045,Dale,Alabama,25013,0.0,0.0,0.0,2020-09-16 14:00:00,4.877463718866189,1220.0,09/16/2020 14:00,4.877463718866189,1220.0,34.0,AL192020
1047,Dallas,Alabama,19358,60.0,1.0,0.0416666666666666,2020-09-16 21:00:00,10.445293935323898,2022.0,09/16/2020 22:00,3.7865481971278014,733.0,34.0,AL192020
1051,Elmore,Alabama,38649,780.0,13.0,0.5416666666666666,2020-09-17 05:00:00,26.30857201997464,10168.0,09/17/2020 18:00,4.6547129291831615,1799.0,,
1053,Escambia,Alabama,18593,4125.0,68.75,2.864583333333333,2020-09-16 21:30:00,51.8636045823697,9643.0,09/19/2020 18:15,4.7329640187167215,880.0,64.0,AL192020
1057,Fayette,Alabama,7831,0.0,0.0,0.0,2020-09-23 15:45:00,2.5028731962712296,196.0,09/23/2020 15:45,2.5028731962712296,196.0,,
1059,Franklin,Alabama,21671,0.0,0.0,0.0,2020-09-21 12:30:00,1.4120252872502423,306.0,09/21/2020 12:30,1.4120252872502423,306.0,,
1067,Henry,Alabama,8040,15.0,0.25,0.0104166666666666,2020-09-16 20:45:00,5.597014925373134,450.0,09/16/2020 21:00,2.736318407960199,220.0,34.0,AL192020
1069,Houston,Alabama,72388,0.0,0.0,0.0,2020-09-16 14:45:00,1.1341658838481516,821.0,09/16/2020 14:45,1.1341658838481516,821.0,34.0,AL192020
1073,Jefferson,Alabama,372757,0.0,0.0,0.0,2020-09-22 22:15:00,1.3418929758529017,5002.0,09/22/2020 22:15,1.3418929758529017,5002.0,,
1079,Lawrence,Alabama,13082,0.0,0.0,0.0,2020-09-15 02:00:00,0.0076440911175661,1.0,09/15/2020 02:00,0.0076440911175661,1.0,,
1081,Lee,Alabama,63579,0.0,0.0,0.0,2020-09-17 05:45:00,4.820774154988283,3065.0,09/17/2020 05:45,4.820774154988283,3065.0,,
1085,Lowndes,Alabama,5496,1845.0,30.75,1.28125,2020-09-16 18:15:00,48.5080058224163,2666.0,09/18/2020 01:00,4.439592430858806,244.0,34.0,AL192020
1087,Macon,Alabama,15032,0.0,0.0,0.0,2020-09-16 22:45:00,2.38158594997339,358.0,09/16/2020 22:45,2.38158594997339,358.0,34.0,AL192020
1093,Marion,Alabama,14058,0.0,0.0,0.0,2020-09-17 10:15:00,3.442879499217528,484.0,09/17/2020 10:15,3.442879499217528,484.0,,
1097,Mobile,Alabama,110135,4935.0,82.25,3.427083333333333,2020-09-16 13:00:00,129.94415944068643,143114.0,09/19/2020 23:15,4.039587778635311,4449.0,64.0,AL192020
1099,Monroe,Alabama,10522,4395.0,73.25,3.052083333333333,2020-09-16 19:00:00,64.55996958753089,6793.0,09/19/2020 20:15,4.9420262307546095,520.0,50.0,AL192020
1101,Montgomery,Alabama,137566,780.0,13.0,0.5416666666666666,2020-09-17 02:00:00,10.32159109082186,14199.0,09/17/2020 15:00,4.544000697846852,6251.0,34.0,AL192020
1107,Pickens,Alabama,8654,0.0,0.0,0.0,2020-09-16 16:15:00,1.143979662583776,99.0,09/16/2020 16:15,1.143979662583776,99.0,,
1109,Pike,Alabama,27989,105.0,1.75,0.0729166666666666,2020-09-17 01:00:00,6.088106041659223,1704.0,09/17/2020 02:45,4.5803708599807065,1282.0,34.0,AL192020
1113,Russell,Alabama,21728,405.0,6.75,0.28125,2020-09-17 06:30:00,10.90758468335788,2370.0,09/17/2020 13:15,4.975147275405007,1081.0,,
1115,St. Clair,Alabama,41320,0.0,0.0,0.0,2020-09-14 13:30:00,1.2270087124878992,507.0,09/14/2020 13:30,1.2270087124878992,507.0,,
1121,Talladega,Alabama,39215,30.0,0.5,0.0208333333333333,2020-09-19 14:00:00,6.800969016957797,2667.0,09/19/2020 14:30,2.9606018105316845,1161.0,,
1123,Tallapoosa,Alabama,22039,450.0,7.5,0.3125,2020-09-17 08:00:00,13.358137846544762,2944.0,09/17/2020 15:30,4.868641952901674,1073.0,,
1125,Tuscaloosa,Alabama,126125,0.0,0.0,0.0,2020-09-15 16:45:00,0.4162537165510406,525.0,09/15/2020 16:45,0.4162537165510406,525.0,,
1129,Washington,Alabama,7878,0.0,0.0,0.0,2020-09-16 12:45:00,2.6783447575526784,211.0,09/16/2020 12:45,2.6783447575526784,211.0,50.0,AL192020
1131,Wilcox,Alabama,5917,1245.0,20.75,0.8645833333333334,2020-09-16 21:45:00,41.67652526618218,2466.0,09/17/2020 18:30,2.484367077911104,147.0,34.0,AL192020
12001,Alachua,Florida,218548,0.0,0.0,0.0,2020-09-20 21:00:00,1.4266888738400718,3118.0,09/20/2020 21:00,1.4266888738400718,3118.0,,
12003,Baker,Florida,15917,0.0,0.0,0.0,2020-09-18 21:45:00,1.0240623233021298,163.0,09/18/2020 21:45,1.0240623233021298,163.0,,
12005,Bay,Florida,88692,60.0,1.0,0.0416666666666666,2020-09-16 15:15:00,8.267938483741487,7333.0,09/16/2020 16:15,4.788481486492581,4247.0,34.0,AL192020
12009,Brevard,Florida,338129,0.0,0.0,0.0,2020-09-14 16:00:00,0.8118203407575216,2745.0,09/14/2020 16:00,0.8118203407575216,2745.0,,
12013,Calhoun,Florida,9002,60.0,1.0,0.0416666666666666,2020-09-14 15:00:00,20.01777382803821,1802.0,09/14/2020 16:00,0.0111086425238835,1.0,34.0,AL192020
12017,Citrus,Florida,81282,0.0,0.0,0.0,2020-09-23 19:00:00,3.4423365566792152,2798.0,09/23/2020 19:00,3.4423365566792152,2798.0,,
12021,Collier,Florida,288895,15.0,0.25,0.0104166666666666,2020-09-21 16:00:00,5.224389484068606,15093.0,09/21/2020 16:15,2.958860485643573,8548.0,34.0,AL192020
12029,Dixie,Florida,14193,75.0,1.25,0.0520833333333333,2020-09-16 20:30:00,5.6013527795392095,795.0,09/16/2020 21:45,0.4086521524695272,58.0,,
12031,Duval,Florida,483034,0.0,0.0,0.0,2020-09-16 12:30:00,1.1098597614246617,5361.0,09/16/2020 12:30,1.1098597614246617,5361.0,,
12033,Escambia,Florida,180891,6540.0,109.0,4.541666666666667,2020-09-16 13:00:00,86.72736620395708,156882.0,09/21/2020 02:00,4.96929089893914,8989.0,64.0,AL192020
12035,Flagler,Florida,58764,0.0,0.0,0.0,2020-09-22 07:00:00,3.8884350963174734,2285.0,09/22/2020 07:00,3.8884350963174734,2285.0,,
12037,Franklin,Florida,4460,30.0,0.5,0.0208333333333333,2020-09-14 02:15:00,21.659192825112108,966.0,09/14/2020 02:45,0.1345291479820627,6.0,34.0,AL192020
12039,Gadsden,Florida,36014,0.0,0.0,0.0,2020-09-16 17:00:00,4.409396345865497,1588.0,09/16/2020 17:00,4.409396345865497,1588.0,34.0,AL192020
12041,Gilchrist,Florida,12803,0.0,0.0,0.0,2020-09-14 18:30:00,2.444739514176365,313.0,09/14/2020 18:30,2.444739514176365,313.0,,
12043,Glades,Florida,6357,0.0,0.0,0.0,2020-09-21 00:15:00,1.7932987258140631,114.0,09/21/2020 00:15,1.7932987258140631,114.0,,
12045,Gulf,Florida,9722,15.0,0.25,0.0104166666666666,2020-09-16 04:30:00,26.383460193375846,2565.0,09/16/2020 04:45,0.9668792429541248,94.0,34.0,AL192020
12047,Hamilton,Florida,8888,990.0,16.5,0.6875,2020-09-23 08:15:00,17.16921692169217,1526.0,09/24/2020 00:45,0.0225022502250225,2.0,,
12051,Hendry,Florida,23912,0.0,0.0,0.0,2020-09-21 16:00:00,3.1699565071930413,758.0,09/21/2020 16:00,3.1699565071930413,758.0,,
12053,Hernando,Florida,108453,0.0,0.0,0.0,2020-09-16 20:00:00,2.297769540722709,2492.0,09/16/2020 20:00,2.297769540722709,2492.0,,
