fips_code,county,state,total22_customers,recovery_time_minutes,recovery_time_hours,recovery_time_days,max_date,max_percent_outage,sum_max_at_max_date,below_5_date,below_5_percent_outage,sum_max_at_below_5_date,RADII,STORMID
1001,Autauga,Alabama,24619.0,6510.0,108.5,4.520833333333333,2020-10-29 17:00:00,59.51500873309232,14652.0,11/03/2020 05:30,4.297493805597303,1058.0,50.0,AL282020
1003,Baldwin,Alabama,195253.0,855.0,14.25,0.59375,2020-10-29 05:30:00,25.86541564022064,50503.0,10/29/2020 19:45,4.762538859838261,9299.0,50.0,AL282020
1005,Barbour,Alabama,12400.0,0.0,0.0,0.0,2020-10-29 11:00:00,1.3951612903225807,173.0,10/29/2020 11:00,1.3951612903225807,173.0,34.0,AL282020
1007,Bibb,Alabama,11037.0,3720.0,62.0,2.583333333333333,2020-10-29 15:00:00,78.35462535109178,8648.0,11/01/2020 05:00,4.901694300987587,541.0,50.0,AL282020
1009,Blount,Alabama,27074.0,0.0,0.0,0.0,2020-10-29 13:15:00,3.7637585875747943,1019.0,10/29/2020 13:15,3.7637585875747943,1019.0,34.0,AL282020
1011,Bullock,Alabama,8727.0,30.0,0.5,0.0208333333333333,2020-10-29 11:15:00,12.54726710209694,1095.0,10/29/2020 11:45,4.079294144608685,356.0,34.0,AL282020
1013,Butler,Alabama,12325.0,2190.0,36.5,1.5208333333333333,2020-10-29 13:15:00,65.5578093306288,8080.0,10/31/2020 01:45,2.3042596348884383,284.0,34.0,AL282020
1015,Calhoun,Alabama,62182.0,7770.0,129.5,5.395833333333333,2020-10-29 13:15:00,48.98202052040784,30458.0,11/03/2020 22:45,4.966067350680261,3088.0,50.0,AL282020
1017,Chambers,Alabama,12749.0,1620.0,27.0,1.125,2020-10-29 14:00:00,19.374068554396423,2470.0,10/30/2020 17:00,4.470938897168406,570.0,34.0,AL282020
1019,Cherokee,Alabama,24534.0,0.0,0.0,0.0,2020-10-29 13:15:00,0.028531833374093,7.0,10/29/2020 13:15,0.028531833374093,7.0,50.0,AL282020
1021,Chilton,Alabama,19414.0,8310.0,138.5,5.770833333333333,2020-10-29 16:30:00,119.58895642319976,23217.0,11/04/2020 11:00,4.898526836303698,951.0,50.0,AL282020
1023,Choctaw,Alabama,7230.0,375.0,6.25,0.2604166666666667,2020-10-29 14:00:00,15.076071922544951,1090.0,10/29/2020 20:15,2.282157676348548,165.0,64.0,AL282020
1025,Clarke,Alabama,21629.0,8250.0,137.5,5.729166666666667,2020-10-29 05:00:00,36.0441999167784,7796.0,11/03/2020 22:30,4.517083545240187,977.0,64.0,AL282020
