Geographic Area,Rank,Reversed Rank,Normalized Reversed Rank,All_SVI
"Issaquena County, Mississippi",1,45,1,1
"Loudoun County, Virginia",1,45,1,1
"Kenedy County, Texas",1,45,1,1
"LaSalle County, Texas",1,45,1,1
"New York County, New York",1,45,1,1
"Glasscock County, Texas",1,45,1,1
"Arlington County, Virginia",1,45,1,1
"King County, Texas",1,45,1,1
"McDowell County, West Virginia",1,45,1,1
"Sumter County, Florida",1,45,1,1
"Edwards County, Texas",1,45,1,1
"East Carroll Parish, Louisiana",1,45,1,1
"Falls Church city, Virginia",1,45,1,1
"Wolfe County, Kentucky",1,45,1,1
"Presidio County, Texas",1,45,1,1
"Jeff Davis County, Texas",2,44,0.977272727,0.977272727
"Terrell County, Texas",2,44,0.977272727,0.977272727
"Quitman County, Georgia",2,44,0.977272727,0.977272727
"Culberson County, Texas",2,44,0.977272727,0.977272727
"Highland County, Virginia",2,44,0.977272727,0.977272727
"Borden County, Texas",2,44,0.977272727,0.977272727
"Mason County, Texas",2,44,0.977272727,0.977272727
"Brooks County, Texas",2,44,0.977272727,0.977272727
"Crockett County, Texas",2,44,0.977272727,0.977272727
"Pushmataha County, Oklahoma",2,44,0.977272727,0.977272727
"Bronx County, New York",2,44,0.977272727,0.977272727
"Howard County, Maryland",2,44,0.977272727,0.977272727
"Hudson County, New Jersey",2,44,0.977272727,0.977272727
"LaGrange County, Indiana",2,44,0.977272727,0.977272727
"Mills County, Texas",2,44,0.977272727,0.977272727
"McMullen County, Texas",2,44,0.977272727,0.977272727
"Stonewall County, Texas",2,44,0.977272727,0.977272727
"Alexandria city, Virginia",2,44,0.977272727,0.977272727
"Greene County, Alabama",2,44,0.977272727,0.977272727
"Dimmit County, Texas",2,44,0.977272727,0.977272727
"Wheeler County, Georgia",2,44,0.977272727,0.977272727
"Collin County, Texas",3,43,0.954545455,0.954545455
"Summers County, West Virginia",3,43,0.954545455,0.954545455
"Jenkins County, Georgia",3,43,0.954545455,0.954545455
"Kings County, New York",3,43,0.954545455,0.954545455
"Mingo County, West Virginia",3,43,0.954545455,0.954545455
"Scotland County, Missouri",3,43,0.954545455,0.954545455
"Fairfax County, Virginia",3,43,0.954545455,0.954545455
"Goliad County, Texas",3,43,0.954545455,0.954545455
"Kent County, Texas",3,43,0.954545455,0.954545455
"Knox County, Kentucky",3,43,0.954545455,0.954545455
"Dickenson County, Virginia",3,43,0.954545455,0.954545455
"Irion County, Texas",3,43,0.954545455,0.954545455
"Lexington city, Virginia",3,43,0.954545455,0.954545455
"Menard County, Texas",3,43,0.954545455,0.954545455
"Jim Hogg County, Texas",3,43,0.954545455,0.954545455
"Tensas Parish, Louisiana",3,43,0.954545455,0.954545455
"Suffolk County, Massachusetts",3,43,0.954545455,0.954545455
"Radford city, Virginia",3,43,0.954545455,0.954545455
"Real County, Texas",3,43,0.954545455,0.954545455
"Phillips County, Arkansas",3,43,0.954545455,0.954545455
"Wyoming County, West Virginia",3,43,0.954545455,0.954545455
"Chattahoochee County, Georgia",3,43,0.954545455,0.954545455
"Pendleton County, West Virginia",4,42,0.931818182,0.931818182
"Williamson County, Tennessee",4,42,0.931818182,0.931818182
"Dallam County, Texas",4,42,0.931818182,0.931818182
"Concho County, Texas",4,42,0.931818182,0.931818182
"Coahoma County, Mississippi",4,42,0.931818182,0.931818182
"Holmes County, Ohio",4,42,0.931818182,0.931818182
"Forsyth County, Georgia",4,42,0.931818182,0.931818182
"Letcher County, Kentucky",4,42,0.931818182,0.931818182
"Madison Parish, Louisiana",4,42,0.931818182,0.931818182
"Hunterdon County, New Jersey",4,42,0.931818182,0.931818182
"Zapata County, Texas",4,42,0.931818182,0.931818182
"Hickory County, Missouri",4,42,0.931818182,0.931818182
"Dickens County, Texas",4,42,0.931818182,0.931818182
"Hudspeth County, Texas",4,42,0.931818182,0.931818182
"Sabine County, Texas",4,42,0.931818182,0.931818182
"Logan County, West Virginia",4,42,0.931818182,0.931818182
"Holmes County, Mississippi",4,42,0.931818182,0.931818182
"Schleicher County, Texas",4,42,0.931818182,0.931818182
"Buchanan County, Virginia",4,42,0.931818182,0.931818182
"Briscoe County, Texas",4,42,0.931818182,0.931818182
"Reagan County, Texas",4,42,0.931818182,0.931818182
"Tunica County, Mississippi",4,42,0.931818182,0.931818182
"Fulton County, Arkansas",4,42,0.931818182,0.931818182
"Nantucket County, Massachusetts",4,42,0.931818182,0.931818182
"Tallahatchie County, Mississippi",4,42,0.931818182,0.931818182
"Motley County, Texas",4,42,0.931818182,0.931818182
"Clay County, West Virginia",4,42,0.931818182,0.931818182
"Monroe County, Arkansas",4,42,0.931818182,0.931818182
"Bell County, Kentucky",5,41,0.909090909,0.909090909
"Cottle County, Texas",5,41,0.909090909,0.909090909
"Clinch County, Georgia",5,41,0.909090909,0.909090909
"Morris County, New Jersey",5,41,0.909090909,0.909090909
"Wake County, North Carolina",5,41,0.909090909,0.909090909
"Galax city, Virginia",5,41,0.909090909,0.909090909
"Roger Mills County, Oklahoma",5,41,0.909090909,0.909090909
"Lancaster County, Virginia",5,41,0.909090909,0.909090909
"Lafayette County, Arkansas",5,41,0.909090909,0.909090909
"San Saba County, Texas",5,41,0.909090909,0.909090909
"Petersburg city, Virginia",5,41,0.909090909,0.909090909
"Starr County, Texas",5,41,0.909090909,0.909090909
"Dougherty County, Georgia",5,41,0.909090909,0.909090909
"Somerset County, New Jersey",5,41,0.909090909,0.909090909
"Middlesex County, Massachusetts",5,41,0.909090909,0.909090909
"Prince William County, Virginia",5,41,0.909090909,0.909090909
"Adair County, Oklahoma",5,41,0.909090909,0.909090909
"Perry County, Alabama",5,41,0.909090909,0.909090909
"Vinton County, Ohio",5,41,0.909090909,0.909090909
"Northampton County, North Carolina",5,41,0.909090909,0.909090909
"Wilcox County, Alabama",5,41,0.909090909,0.909090909
"Charlottesville city, Virginia",5,41,0.909090909,0.909090909
"Tompkins County, New York",5,41,0.909090909,0.909090909
"Hemphill County, Texas",5,41,0.909090909,0.909090909
"Lowndes County, Alabama",5,41,0.909090909,0.909090909
"Nassau County, New York",5,41,0.909090909,0.909090909
"Delaware County, Ohio",5,41,0.909090909,0.909090909
"Montgomery County, Mississippi",5,41,0.909090909,0.909090909
"Denton County, Texas",6,40,0.886363636,0.886363636
"Marion County, South Carolina",6,40,0.886363636,0.886363636
"Bertie County, North Carolina",6,40,0.886363636,0.886363636
"Leslie County, Kentucky",6,40,0.886363636,0.886363636
"Humphreys County, Mississippi",6,40,0.886363636,0.886363636
"Randolph County, Georgia",6,40,0.886363636,0.886363636
"Taylor County, Florida",6,40,0.886363636,0.886363636
"Franklin Parish, Louisiana",6,40,0.886363636,0.886363636
"Kimble County, Texas",6,40,0.886363636,0.886363636
"Conecuh County, Alabama",6,40,0.886363636,0.886363636
"Yoakum County, Texas",6,40,0.886363636,0.886363636
"Adams County, Mississippi",6,40,0.886363636,0.886363636
"Lee County, Virginia",6,40,0.886363636,0.886363636
"Hancock County, Tennessee",6,40,0.886363636,0.886363636
"Bergen County, New Jersey",6,40,0.886363636,0.886363636
"Caddo Parish, Louisiana",6,40,0.886363636,0.886363636
"Treutlen County, Georgia",6,40,0.886363636,0.886363636
"Worth County, Missouri",6,40,0.886363636,0.886363636
"Jasper County, Mississippi",6,40,0.886363636,0.886363636
"Rockwall County, Texas",6,40,0.886363636,0.886363636
"Washington County, Mississippi",6,40,0.886363636,0.886363636
"Hamilton County, Indiana",6,40,0.886363636,0.886363636
"Fort Bend County, Texas",6,40,0.886363636,0.886363636
"Searcy County, Arkansas",6,40,0.886363636,0.886363636
"Stafford County, Virginia",6,40,0.886363636,0.886363636
"Grant County, Indiana",6,40,0.886363636,0.886363636
"Sharkey County, Mississippi",6,40,0.886363636,0.886363636
"Willacy County, Texas",6,40,0.886363636,0.886363636
"Oktibbeha County, Mississippi",6,40,0.886363636,0.886363636
"Orange County, North Carolina",6,40,0.886363636,0.886363636
"Manassas Park city, Virginia",6,40,0.886363636,0.886363636
"Lake County, Tennessee",6,40,0.886363636,0.886363636
"Magoffin County, Kentucky",7,39,0.863636364,0.863636364
"Queens County, New York",7,39,0.863636364,0.863636364
"Oconee County, Georgia",7,39,0.863636364,0.863636364
"Martinsville city, Virginia",7,39,0.863636364,0.863636364
"Schuyler County, Missouri",7,39,0.863636364,0.863636364
"Manassas city, Virginia",7,39,0.863636364,0.863636364
"Calhoun County, West Virginia",7,39,0.863636364,0.863636364
"Haskell County, Oklahoma",7,39,0.863636364,0.863636364
"Norfolk County, Massachusetts",7,39,0.863636364,0.863636364
"Pemiscot County, Missouri",7,39,0.863636364,0.863636364
"Pulaski County, Illinois",7,39,0.863636364,0.863636364
"Quitman County, Mississippi",7,39,0.863636364,0.863636364
"Comanche County, Texas",7,39,0.863636364,0.863636364
"Fairfax city, Virginia",7,39,0.863636364,0.863636364
"Lincoln County, Oklahoma",7,39,0.863636364,0.863636364
"Claiborne Parish, Louisiana",7,39,0.863636364,0.863636364
"Ozark County, Missouri",7,39,0.863636364,0.863636364
"Owsley County, Kentucky",7,39,0.863636364,0.863636364
"Kendall County, Illinois",7,39,0.863636364,0.863636364
"Coal County, Oklahoma",7,39,0.863636364,0.863636364
"Crane County, Texas",7,39,0.863636364,0.863636364
"Kinney County, Texas",7,39,0.863636364,0.863636364
"Taliaferro County, Georgia",7,39,0.863636364,0.863636364
"Brazos County, Texas",7,39,0.863636364,0.863636364
"Pocahontas County, West Virginia",7,39,0.863636364,0.863636364
"Montgomery County, Maryland",7,39,0.863636364,0.863636364
"Lyon County, Kentucky",8,38,0.840909091,0.840909091
"Craig County, Oklahoma",8,38,0.840909091,0.840909091
"Ellis County, Oklahoma",8,38,0.840909091,0.840909091
"Ritchie County, West Virginia",8,38,0.840909091,0.840909091
"Charlotte County, Florida",8,38,0.840909091,0.840909091
"DuPage County, Illinois",8,38,0.840909091,0.840909091
"Travis County, Texas",8,38,0.840909091,0.840909091
"Pickett County, Tennessee",8,38,0.840909091,0.840909091
"Lincoln County, West Virginia",8,38,0.840909091,0.840909091
"Lavaca County, Texas",8,38,0.840909091,0.840909091
"Webb County, Texas",8,38,0.840909091,0.840909091
"Oldham County, Kentucky",8,38,0.840909091,0.840909091
"Williamson County, Texas",8,38,0.840909091,0.840909091
"Amite County, Mississippi",8,38,0.840909091,0.840909091
"Blaine County, Oklahoma",8,38,0.840909091,0.840909091
"Sterling County, Texas",8,38,0.840909091,0.840909091
"Stone County, Arkansas",8,38,0.840909091,0.840909091
"Knott County, Kentucky",8,38,0.840909091,0.840909091
"Highlands County, Florida",8,38,0.840909091,0.840909091
"Glades County, Florida",8,38,0.840909091,0.840909091
"Lee County, Kentucky",8,38,0.840909091,0.840909091
"Calvert County, Maryland",8,38,0.840909091,0.840909091
"Seminole County, Oklahoma",8,38,0.840909091,0.840909091
"Harlan County, Kentucky",8,38,0.840909091,0.840909091
"Foard County, Texas",8,38,0.840909091,0.840909091
"Harrisonburg city, Virginia",8,38,0.840909091,0.840909091
"Duval County, Texas",8,38,0.840909091,0.840909091
"Champaign County, Illinois",9,37,0.818181818,0.818181818
"Bailey County, Texas",9,37,0.818181818,0.818181818
"Latimer County, Oklahoma",9,37,0.818181818,0.818181818
"Franklin County, Mississippi",9,37,0.818181818,0.818181818
"McIntosh County, Oklahoma",9,37,0.818181818,0.818181818
"McIntosh County, Georgia",9,37,0.818181818,0.818181818
"McCreary County, Kentucky",9,37,0.818181818,0.818181818
"Jefferson County, Mississippi",9,37,0.818181818,0.818181818
"Chicot County, Arkansas",9,37,0.818181818,0.818181818
"Hamilton County, Texas",9,37,0.818181818,0.818181818
"Williamsburg city, Virginia",9,37,0.818181818,0.818181818
"Chittenden County, Vermont",9,37,0.818181818,0.818181818
"Cumberland County, Kentucky",9,37,0.818181818,0.818181818
"Dallas County, Arkansas",9,37,0.818181818,0.818181818
"San Augustine County, Texas",9,37,0.818181818,0.818181818
"Reeves County, Texas",9,37,0.818181818,0.818181818
"Maries County, Missouri",9,37,0.818181818,0.818181818
"Citrus County, Florida",9,37,0.818181818,0.818181818
"St. Johns County, Florida",9,37,0.818181818,0.818181818
"Maverick County, Texas",9,37,0.818181818,0.818181818
"Rappahannock County, Virginia",9,37,0.818181818,0.818181818
"Middlesex County, New Jersey",9,37,0.818181818,0.818181818
"Westchester County, New York",9,37,0.818181818,0.818181818
