Geographic Area,Rank,Reversed Rank,Normalized Reversed Rank,PrepEvac_SVI
"Issaquena County, Mississippi",1,135,1,1
"Falls Church city, Virginia",1,135,1,1
"East Carroll Parish, Louisiana",1,135,1,1
"Edwards County, Texas",1,135,1,1
"Glasscock County, Texas",1,135,1,1
"Mills County, Texas",2,134,0.992537313,0.992537313
"LaGrange County, Indiana",2,134,0.992537313,0.992537313
"Arlington County, Virginia",2,134,0.992537313,0.992537313
"Wheeler County, Georgia",2,134,0.992537313,0.992537313
"New York County, New York",2,134,0.992537313,0.992537313
"LaSalle County, Texas",2,134,0.992537313,0.992537313
"King County, Texas",2,134,0.992537313,0.992537313
"Bronx County, New York",3,133,0.985074627,0.985074627
"Mason County, Texas",3,133,0.985074627,0.985074627
"Loudoun County, Virginia",3,133,0.985074627,0.985074627
"Borden County, Texas",3,133,0.985074627,0.985074627
"Crockett County, Texas",3,133,0.985074627,0.985074627
"Presidio County, Texas",3,133,0.985074627,0.985074627
"Wolfe County, Kentucky",3,133,0.985074627,0.985074627
"McMullen County, Texas",3,133,0.985074627,0.985074627
"Stonewall County, Texas",3,133,0.985074627,0.985074627
"Goliad County, Texas",4,132,0.97761194,0.97761194
"Scotland County, Missouri",4,132,0.97761194,0.97761194
"Kenedy County, Texas",4,132,0.97761194,0.97761194
"Terrell County, Texas",4,132,0.97761194,0.97761194
"Jeff Davis County, Texas",4,132,0.97761194,0.97761194
"Brooks County, Texas",4,132,0.97761194,0.97761194
"Hudson County, New Jersey",4,132,0.97761194,0.97761194
"Alexandria city, Virginia",4,132,0.97761194,0.97761194
"Dimmit County, Texas",4,132,0.97761194,0.97761194
"Fairfax County, Virginia",5,131,0.970149254,0.970149254
"Kent County, Texas",5,131,0.970149254,0.970149254
"Kings County, New York",5,131,0.970149254,0.970149254
"Quitman County, Georgia",5,131,0.970149254,0.970149254
"Radford city, Virginia",5,131,0.970149254,0.970149254
"Howard County, Maryland",5,131,0.970149254,0.970149254
"Irion County, Texas",5,131,0.970149254,0.970149254
"Jim Hogg County, Texas",5,131,0.970149254,0.970149254
"Suffolk County, Massachusetts",5,131,0.970149254,0.970149254
"Forsyth County, Georgia",6,130,0.962686567,0.962686567
"Highland County, Virginia",6,130,0.962686567,0.962686567
"Hunterdon County, New Jersey",6,130,0.962686567,0.962686567
"Madison Parish, Louisiana",6,130,0.962686567,0.962686567
"Culberson County, Texas",6,130,0.962686567,0.962686567
"Lexington city, Virginia",6,130,0.962686567,0.962686567
"Dallam County, Texas",6,130,0.962686567,0.962686567
"Williamson County, Tennessee",6,130,0.962686567,0.962686567
"Hudspeth County, Texas",6,130,0.962686567,0.962686567
"Sumter County, Florida",6,130,0.962686567,0.962686567
"Tunica County, Mississippi",6,130,0.962686567,0.962686567
"Zapata County, Texas",7,129,0.955223881,0.955223881
"Dickens County, Texas",7,129,0.955223881,0.955223881
"Starr County, Texas",7,129,0.955223881,0.955223881
"Holmes County, Ohio",7,129,0.955223881,0.955223881
"Schleicher County, Texas",7,129,0.955223881,0.955223881
"Holmes County, Mississippi",7,129,0.955223881,0.955223881
"Nassau County, New York",7,129,0.955223881,0.955223881
"Charlottesville city, Virginia",7,129,0.955223881,0.955223881
"Clinch County, Georgia",7,129,0.955223881,0.955223881
"Middlesex County, Massachusetts",8,128,0.947761194,0.947761194
"Mingo County, West Virginia",8,128,0.947761194,0.947761194
"Yoakum County, Texas",8,128,0.947761194,0.947761194
"Pendleton County, West Virginia",8,128,0.947761194,0.947761194
"Morris County, New Jersey",8,128,0.947761194,0.947761194
"Somerset County, New Jersey",8,128,0.947761194,0.947761194
"Monroe County, Arkansas",8,128,0.947761194,0.947761194
"Nantucket County, Massachusetts",8,128,0.947761194,0.947761194
"Delaware County, Ohio",8,128,0.947761194,0.947761194
"Real County, Texas",8,128,0.947761194,0.947761194
"Motley County, Texas",8,128,0.947761194,0.947761194
"Tompkins County, New York",8,128,0.947761194,0.947761194
"Lake County, Tennessee",8,128,0.947761194,0.947761194
"Tensas Parish, Louisiana",8,128,0.947761194,0.947761194
"Lancaster County, Virginia",9,127,0.940298507,0.940298507
"Cottle County, Texas",9,127,0.940298507,0.940298507
"Concho County, Texas",9,127,0.940298507,0.940298507
"Oktibbeha County, Mississippi",9,127,0.940298507,0.940298507
"Treutlen County, Georgia",9,127,0.940298507,0.940298507
"Hemphill County, Texas",9,127,0.940298507,0.940298507
"Hamilton County, Indiana",9,127,0.940298507,0.940298507
"Greene County, Alabama",9,127,0.940298507,0.940298507
"Stafford County, Virginia",9,127,0.940298507,0.940298507
"San Saba County, Texas",10,126,0.932835821,0.932835821
"Schuyler County, Missouri",10,126,0.932835821,0.932835821
"Roger Mills County, Oklahoma",10,126,0.932835821,0.932835821
