Geographic Area,Rank,Reversed Rank,Normalized Reversed Rank,HealthEvac_SVI
"Edwards County, Texas",1,112,1,1
"Kenedy County, Texas",1,112,1,1
"Stonewall County, Texas",2,111,0.990990991,0.990990991
"McMullen County, Texas",2,111,0.990990991,0.990990991
"Wolfe County, Kentucky",2,111,0.990990991,0.990990991
"Mills County, Texas",2,111,0.990990991,0.990990991
"McDowell County, West Virginia",2,111,0.990990991,0.990990991
"Presidio County, Texas",2,111,0.990990991,0.990990991
"Glasscock County, Texas",2,111,0.990990991,0.990990991
"King County, Texas",3,110,0.981981982,0.981981982
"Jeff Davis County, Texas",3,110,0.981981982,0.981981982
"Pushmataha County, Oklahoma",3,110,0.981981982,0.981981982
"LaGrange County, Indiana",3,110,0.981981982,0.981981982
"Loudoun County, Virginia",3,110,0.981981982,0.981981982
"Falls Church city, Virginia",3,110,0.981981982,0.981981982
"Issaquena County, Mississippi",3,110,0.981981982,0.981981982
"Greene County, Alabama",3,110,0.981981982,0.981981982
"Sumter County, Florida",3,110,0.981981982,0.981981982
"Mason County, Texas",4,109,0.972972973,0.972972973
"Scotland County, Missouri",4,109,0.972972973,0.972972973
"Borden County, Texas",4,109,0.972972973,0.972972973
"Culberson County, Texas",4,109,0.972972973,0.972972973
"Irion County, Texas",4,109,0.972972973,0.972972973
"Dickenson County, Virginia",4,109,0.972972973,0.972972973
"Arlington County, Virginia",4,109,0.972972973,0.972972973
"Phillips County, Arkansas",4,109,0.972972973,0.972972973
"Real County, Texas",4,109,0.972972973,0.972972973
"Chattahoochee County, Georgia",4,109,0.972972973,0.972972973
"Wyoming County, West Virginia",4,109,0.972972973,0.972972973
"LaSalle County, Texas",5,108,0.963963964,0.963963964
"Mingo County, West Virginia",5,108,0.963963964,0.963963964
"Highland County, Virginia",5,108,0.963963964,0.963963964
"Goliad County, Texas",5,108,0.963963964,0.963963964
"Letcher County, Kentucky",5,108,0.963963964,0.963963964
"Kent County, Texas",5,108,0.963963964,0.963963964
"Fulton County, Arkansas",5,108,0.963963964,0.963963964
"Quitman County, Georgia",5,108,0.963963964,0.963963964
"Logan County, West Virginia",5,108,0.963963964,0.963963964
"Clay County, West Virginia",5,108,0.963963964,0.963963964
"Dimmit County, Texas",5,108,0.963963964,0.963963964
"Summers County, West Virginia",5,108,0.963963964,0.963963964
"Lafayette County, Arkansas",6,107,0.954954955,0.954954955
"Galax city, Virginia",6,107,0.954954955,0.954954955
"Dickens County, Texas",6,107,0.954954955,0.954954955
"Crockett County, Texas",6,107,0.954954955,0.954954955
"Pendleton County, West Virginia",6,107,0.954954955,0.954954955
"Collin County, Texas",6,107,0.954954955,0.954954955
"Knox County, Kentucky",6,107,0.954954955,0.954954955
"Concho County, Texas",6,107,0.954954955,0.954954955
"Lexington city, Virginia",6,107,0.954954955,0.954954955
"Wheeler County, Georgia",6,107,0.954954955,0.954954955
"Sabine County, Texas",6,107,0.954954955,0.954954955
"Briscoe County, Texas",6,107,0.954954955,0.954954955
"Vinton County, Ohio",6,107,0.954954955,0.954954955
"Schleicher County, Texas",6,107,0.954954955,0.954954955
"Tensas Parish, Louisiana",6,107,0.954954955,0.954954955
"Brooks County, Texas",6,107,0.954954955,0.954954955
"Grant County, Indiana",7,106,0.945945946,0.945945946
"Fairfax County, Virginia",7,106,0.945945946,0.945945946
"Taylor County, Florida",7,106,0.945945946,0.945945946
"Hickory County, Missouri",7,106,0.945945946,0.945945946
"Howard County, Maryland",7,106,0.945945946,0.945945946
"Jenkins County, Georgia",7,106,0.945945946,0.945945946
"East Carroll Parish, Louisiana",7,106,0.945945946,0.945945946
"Reagan County, Texas",7,106,0.945945946,0.945945946
"Lowndes County, Alabama",7,106,0.945945946,0.945945946
"Northampton County, North Carolina",7,106,0.945945946,0.945945946
"Menard County, Texas",7,106,0.945945946,0.945945946
"Forsyth County, Georgia",8,105,0.936936937,0.936936937
"Holmes County, Ohio",8,105,0.936936937,0.936936937
"Coahoma County, Mississippi",8,105,0.936936937,0.936936937
"Dallam County, Texas",8,105,0.936936937,0.936936937
"Bell County, Kentucky",8,105,0.936936937,0.936936937
"Motley County, Texas",8,105,0.936936937,0.936936937
"Tallahatchie County, Mississippi",8,105,0.936936937,0.936936937
"Buchanan County, Virginia",8,105,0.936936937,0.936936937
"Jim Hogg County, Texas",8,105,0.936936937,0.936936937
"Jasper County, Mississippi",8,105,0.936936937,0.936936937
"Monroe County, Arkansas",8,105,0.936936937,0.936936937
"Terrell County, Texas",9,104,0.927927928,0.927927928
"San Saba County, Texas",9,104,0.927927928,0.927927928
"Roger Mills County, Oklahoma",9,104,0.927927928,0.927927928
"Cottle County, Texas",9,104,0.927927928,0.927927928
"Williamson County, Tennessee",9,104,0.927927928,0.927927928
"Holmes County, Mississippi",9,104,0.927927928,0.927927928
"Perry County, Alabama",9,104,0.927927928,0.927927928
"Adair County, Oklahoma",9,104,0.927927928,0.927927928
"Lee County, Virginia",10,103,0.918918919,0.918918919
"Wake County, North Carolina",10,103,0.918918919,0.918918919
"Caddo Parish, Louisiana",10,103,0.918918919,0.918918919
"Morris County, New Jersey",10,103,0.918918919,0.918918919
"Hudspeth County, Texas",10,103,0.918918919,0.918918919
"Tompkins County, New York",10,103,0.918918919,0.918918919
"Alexandria city, Virginia",10,103,0.918918919,0.918918919
"Somerset County, New Jersey",10,103,0.918918919,0.918918919
"Denton County, Texas",11,102,0.90990991,0.90990991
"Conecuh County, Alabama",11,102,0.90990991,0.90990991
"Petersburg city, Virginia",11,102,0.90990991,0.90990991
"Kimble County, Texas",11,102,0.90990991,0.90990991
"Martinsville city, Virginia",11,102,0.90990991,0.90990991
"Bergen County, New Jersey",11,102,0.90990991,0.90990991
"Randolph County, Georgia",11,102,0.90990991,0.90990991
"Kinney County, Texas",11,102,0.90990991,0.90990991
"Orange County, North Carolina",11,102,0.90990991,0.90990991
"Nassau County, New York",11,102,0.90990991,0.90990991
"Hemphill County, Texas",11,102,0.90990991,0.90990991
"Searcy County, Arkansas",11,102,0.90990991,0.90990991
"Tunica County, Mississippi",11,102,0.90990991,0.90990991
"Hamilton County, Indiana",11,102,0.90990991,0.90990991
"Worth County, Missouri",11,102,0.90990991,0.90990991
"Franklin Parish, Louisiana",12,101,0.900900901,0.900900901
"Hunterdon County, New Jersey",12,101,0.900900901,0.900900901
"Madison Parish, Louisiana",12,101,0.900900901,0.900900901
"Pulaski County, Illinois",12,101,0.900900901,0.900900901
"Leslie County, Kentucky",12,101,0.900900901,0.900900901
"Marion County, South Carolina",12,101,0.900900901,0.900900901
"Hancock County, Tennessee",12,101,0.900900901,0.900900901
"Manassas Park city, Virginia",12,101,0.900900901,0.900900901
"Dougherty County, Georgia",12,101,0.900900901,0.900900901
"Fairfax city, Virginia",12,101,0.900900901,0.900900901
"Delaware County, Ohio",12,101,0.900900901,0.900900901
"Nantucket County, Massachusetts",12,101,0.900900901,0.900900901
"Crane County, Texas",12,101,0.900900901,0.900900901
"Washington County, Mississippi",12,101,0.900900901,0.900900901
"Craig County, Oklahoma",12,101,0.900900901,0.900900901
"Middlesex County, Massachusetts",13,100,0.891891892,0.891891892
"Pemiscot County, Missouri",13,100,0.891891892,0.891891892
"Adams County, Mississippi",13,100,0.891891892,0.891891892
"Oconee County, Georgia",13,100,0.891891892,0.891891892
"Humphreys County, Mississippi",13,100,0.891891892,0.891891892
"Sharkey County, Mississippi",13,100,0.891891892,0.891891892
"Wilcox County, Alabama",13,100,0.891891892,0.891891892
"Coal County, Oklahoma",13,100,0.891891892,0.891891892
"Montgomery County, Mississippi",13,100,0.891891892,0.891891892
"Owsley County, Kentucky",13,100,0.891891892,0.891891892
"Fort Bend County, Texas",13,100,0.891891892,0.891891892
"Charlottesville city, Virginia",13,100,0.891891892,0.891891892
"Taliaferro County, Georgia",13,100,0.891891892,0.891891892
"Haskell County, Oklahoma",14,99,0.882882883,0.882882883
"Lincoln County, West Virginia",14,99,0.882882883,0.882882883
