Geographic Area,Rank,Reversed Rank,Normalized Reversed Rank,HealthPrep_SVI
"Wolfe County, Kentucky",1,113,1,1
"Falls Church city, Virginia",1,113,1,1
"East Carroll Parish, Louisiana",1,113,1,1
"Sumter County, Florida",1,113,1,1
"McDowell County, West Virginia",1,113,1,1
"Arlington County, Virginia",1,113,1,1
"New York County, New York",1,113,1,1
"Kenedy County, Texas",1,113,1,1
"LaSalle County, Texas",2,112,0.991071429,0.991071429
"Jeff Davis County, Texas",2,112,0.991071429,0.991071429
"Loudoun County, Virginia",2,112,0.991071429,0.991071429
"Issaquena County, Mississippi",2,112,0.991071429,0.991071429
"Greene County, Alabama",2,112,0.991071429,0.991071429
"Presidio County, Texas",2,112,0.991071429,0.991071429
"Bronx County, New York",3,111,0.982142857,0.982142857
"Fairfax County, Virginia",3,111,0.982142857,0.982142857
"Terrell County, Texas",3,111,0.982142857,0.982142857
"Quitman County, Georgia",3,111,0.982142857,0.982142857
"Hudson County, New Jersey",3,111,0.982142857,0.982142857
"Chattahoochee County, Georgia",3,111,0.982142857,0.982142857
"Tensas Parish, Louisiana",3,111,0.982142857,0.982142857
"Phillips County, Arkansas",3,111,0.982142857,0.982142857
"Knox County, Kentucky",4,110,0.973214286,0.973214286
"Mingo County, West Virginia",4,110,0.973214286,0.973214286
"Forsyth County, Georgia",4,110,0.973214286,0.973214286
"Summers County, West Virginia",4,110,0.973214286,0.973214286
"Collin County, Texas",4,110,0.973214286,0.973214286
"Wyoming County, West Virginia",4,110,0.973214286,0.973214286
"Jenkins County, Georgia",4,110,0.973214286,0.973214286
"Clay County, West Virginia",4,110,0.973214286,0.973214286
"Sabine County, Texas",4,110,0.973214286,0.973214286
"Alexandria city, Virginia",4,110,0.973214286,0.973214286
"Wheeler County, Georgia",4,110,0.973214286,0.973214286
"Suffolk County, Massachusetts",4,110,0.973214286,0.973214286
"Menard County, Texas",4,110,0.973214286,0.973214286
"Letcher County, Kentucky",5,109,0.964285714,0.964285714
"Galax city, Virginia",5,109,0.964285714,0.964285714
"Kings County, New York",5,109,0.964285714,0.964285714
"Coahoma County, Mississippi",5,109,0.964285714,0.964285714
"Somerset County, New Jersey",5,109,0.964285714,0.964285714
"Hickory County, Missouri",5,109,0.964285714,0.964285714
"Logan County, West Virginia",5,109,0.964285714,0.964285714
"Radford city, Virginia",5,109,0.964285714,0.964285714
"Tallahatchie County, Mississippi",5,109,0.964285714,0.964285714
"Edwards County, Texas",5,109,0.964285714,0.964285714
"Briscoe County, Texas",5,109,0.964285714,0.964285714
"King County, Texas",6,108,0.955357143,0.955357143
"Petersburg city, Virginia",6,108,0.955357143,0.955357143
"Taylor County, Florida",6,108,0.955357143,0.955357143
"Humphreys County, Mississippi",6,108,0.955357143,0.955357143
"Leslie County, Kentucky",6,108,0.955357143,0.955357143
"Lexington city, Virginia",6,108,0.955357143,0.955357143
"Dimmit County, Texas",6,108,0.955357143,0.955357143
"Dougherty County, Georgia",6,108,0.955357143,0.955357143
"Northampton County, North Carolina",6,108,0.955357143,0.955357143
"Vinton County, Ohio",6,108,0.955357143,0.955357143
"Jim Hogg County, Texas",6,108,0.955357143,0.955357143
"Pushmataha County, Oklahoma",6,108,0.955357143,0.955357143
"Glasscock County, Texas",7,107,0.946428571,0.946428571
"Zapata County, Texas",7,107,0.946428571,0.946428571
"Madison Parish, Louisiana",7,107,0.946428571,0.946428571
"Morris County, New Jersey",7,107,0.946428571,0.946428571
"Dickenson County, Virginia",7,107,0.946428571,0.946428571
"Hancock County, Tennessee",7,107,0.946428571,0.946428571
"Bell County, Kentucky",7,107,0.946428571,0.946428571
"Prince William County, Virginia",7,107,0.946428571,0.946428571
"Howard County, Maryland",7,107,0.946428571,0.946428571
"Lowndes County, Alabama",7,107,0.946428571,0.946428571
"Willacy County, Texas",7,107,0.946428571,0.946428571
"Kendall County, Illinois",7,107,0.946428571,0.946428571
"Montgomery County, Mississippi",7,107,0.946428571,0.946428571
"Wilcox County, Alabama",7,107,0.946428571,0.946428571
"Reagan County, Texas",7,107,0.946428571,0.946428571
"Fort Bend County, Texas",7,107,0.946428571,0.946428571
"Perry County, Alabama",7,107,0.946428571,0.946428571
"Adair County, Oklahoma",7,107,0.946428571,0.946428571
"Lee County, Virginia",8,106,0.9375,0.9375
"Starr County, Texas",8,106,0.9375,0.9375
"Bergen County, New Jersey",8,106,0.9375,0.9375
"Denton County, Texas",8,106,0.9375,0.9375
