Geography,Total— 
"Abbeville County, South Carolina","24,295"
"Acadia Parish, Louisiana","57,576"
"Accomack County, Virginia","33,413"
"Ada County, Idaho","494,967"
"Adair County, Iowa","7,496"
"Adair County, Kentucky","18,903"
"Adair County, Missouri","25,314"
"Adair County, Oklahoma","19,495"
"Adams County, Colorado","519,572"
"Adams County, Idaho","4,379"
"Adams County, Illinois","65,737"
"Adams County, Indiana","35,809"
"Adams County, Iowa","3,704"
"Adams County, Mississippi","29,538"
"Adams County, Nebraska","31,205"
"Adams County, North Dakota","2,200"
"Adams County, Ohio","27,477"
"Adams County, Pennsylvania","103,852"
"Adams County, Washington","20,613"
"Adams County, Wisconsin","20,654"
"Addison County, Vermont","37,363"
"Adjuntas Municipio, Puerto Rico","18,020"
"Aguada Municipio, Puerto Rico","38,136"
"Aguadilla Municipio, Puerto Rico","55,101"
"Aguas Buenas Municipio, Puerto Rico","24,223"
"Aibonito Municipio, Puerto Rico","24,637"
"Aiken County, South Carolina","168,808"
"Aitkin County, Minnesota","15,697"
"Alachua County, Florida","278,468"
"Alamance County, North Carolina","171,415"
"Alameda County, California","1,682,353"
"Alamosa County, Colorado","16,376"
"Albany County, New York","314,848"
"Albany County, Wyoming","37,066"
"Albemarle County, Virginia","112,395"
"Alcona County, Michigan","10,167"
"Alcorn County, Mississippi","34,740"
"Aleutians East Borough, Alaska","3,420"
"Aleutians West Census Area, Alaska","5,232"
"Alexander County, Illinois","5,240"
"Alexander County, North Carolina","36,444"
"Alexandria city, Virginia","159,467"
"Alfalfa County, Oklahoma","5,699"
"Alger County, Michigan","8,842"
"Allamakee County, Iowa","14,061"
"Allegan County, Michigan","120,502"
"Allegany County, Maryland","68,106"
"Allegany County, New York","46,456"
"Alleghany County, North Carolina","10,888"
"Alleghany County, Virginia","15,223"
"Allegheny County, Pennsylvania","1,250,578"
"Allen County, Indiana","385,410"
"Allen County, Kansas","12,526"
"Allen County, Kentucky","20,588"
"Allen County, Ohio","102,206"
"Allen Parish, Louisiana","22,750"
"Allendale County, South Carolina","8,039"
"Alpena County, Michigan","28,907"
"Alpine County, California","1,204"
"Amador County, California","40,474"
"Amelia County, Virginia","13,265"
"Amherst County, Virginia","31,307"
"Amite County, Mississippi","12,720"
"Añasco Municipio, Puerto Rico","25,596"
"Anchorage Municipality, Alaska","291,247"
"Anderson County, Kansas","7,836"
"Anderson County, Kentucky","23,852"
"Anderson County, South Carolina","203,718"
"Anderson County, Tennessee","77,123"
"Anderson County, Texas","57,922"
"Andrew County, Missouri","18,135"
"Andrews County, Texas","18,610"
"Androscoggin County, Maine","111,139"
"Angelina County, Texas","86,395"
"Anne Arundel County, Maryland","588,261"
"Anoka County, Minnesota","363,887"
"Anson County, North Carolina","22,055"
"Antelope County, Nebraska","6,295"
"Antrim County, Michigan","23,431"
"Apache County, Arizona","66,021"
"Appanoose County, Iowa","12,317"
"Appling County, Georgia","18,444"
"Appomattox County, Virginia","16,119"
"Aransas County, Texas","23,830"
"Arapahoe County, Colorado","655,070"
"Archer County, Texas","8,560"
"Archuleta County, Colorado","13,359"
"Arecibo Municipio, Puerto Rico","87,754"
"Arenac County, Michigan","15,002"
"Arkansas County, Arkansas","17,149"
"Arlington County, Virginia","238,643"
"Armstrong County, Pennsylvania","65,558"
"Armstrong County, Texas","1,848"
"Aroostook County, Maine","67,105"
"Arroyo Municipio, Puerto Rico","15,843"
"Arthur County, Nebraska",434
"Ascension Parish, Louisiana","126,500"
"Ashe County, North Carolina","26,577"
"Ashland County, Ohio","52,447"
"Ashland County, Wisconsin","16,027"
"Ashley County, Arkansas","19,062"
"Ashtabula County, Ohio","97,574"
"Asotin County, Washington","22,285"
"Assumption Parish, Louisiana","21,039"
"Atascosa County, Texas","48,981"
"Atchison County, Kansas","16,348"
"Atchison County, Missouri","5,305"
"Athens County, Ohio","62,431"
"Atkinson County, Georgia","8,286"
"Atlantic County, New Jersey","274,534"
"Atoka County, Oklahoma","14,143"
"Attala County, Mississippi","17,889"
"Audrain County, Missouri","24,962"
"Audubon County, Iowa","5,674"
"Auglaize County, Ohio","46,422"
"Augusta County, Virginia","77,487"
"Aurora County, South Dakota","2,747"
"Austin County, Texas","30,167"
"Autauga County, Alabama","58,805"
"Avery County, North Carolina","17,806"
"Avoyelles Parish, Louisiana","39,693"
"Baca County, Colorado","3,506"
"Bacon County, Georgia","11,140"
"Bailey County, Texas","6,904"
"Baker County, Florida","28,259"
"Baker County, Georgia","2,876"
"Baker County, Oregon","16,668"
"Baldwin County, Alabama","231,767"
"Baldwin County, Georgia","43,799"
"Ballard County, Kentucky","7,728"
"Baltimore city, Maryland","585,708"
"Baltimore County, Maryland","854,535"
"Bamberg County, South Carolina","13,311"
"Bandera County, Texas","20,851"
"Banks County, Georgia","18,035"
"Banner County, Nebraska",674
"Bannock County, Idaho","87,018"
"Baraga County, Michigan","8,158"
"Barber County, Kansas","4,228"
"Barbour County, Alabama","25,223"
"Barbour County, West Virginia","15,465"
"Barceloneta Municipio, Puerto Rico","22,657"
"Barnes County, North Dakota","10,853"
"Barnstable County, Massachusetts","228,996"
"Barnwell County, South Carolina","20,589"
"Barranquitas Municipio, Puerto Rico","28,983"
"Barren County, Kentucky","44,485"
"Barron County, Wisconsin","46,711"
"Barrow County, Georgia","83,505"
"Barry County, Michigan","62,423"
"Barry County, Missouri","34,534"
"Bartholomew County, Indiana","82,208"
"Barton County, Kansas","25,493"
"Barton County, Missouri","11,637"
"Bartow County, Georgia","108,901"
"Bastrop County, Texas","97,216"
"Bates County, Missouri","16,042"
"Bath County, Kentucky","12,750"
"Bath County, Virginia","4,209"
"Baxter County, Arkansas","41,627"
"Bay County, Florida","175,216"
"Bay County, Michigan","103,856"
"Bayamón Municipio, Puerto Rico","185,187"
"Bayfield County, Wisconsin","16,220"
"Baylor County, Texas","3,465"
"Beadle County, South Dakota","19,149"
"Bear Lake County, Idaho","6,372"
"Beaufort County, North Carolina","44,652"
"Beaufort County, South Carolina","187,117"
"Beauregard Parish, Louisiana","36,549"
"Beaver County, Oklahoma","5,049"
"Beaver County, Pennsylvania","168,215"
"Beaver County, Utah","7,072"
"Beaverhead County, Montana","9,371"
"Becker County, Minnesota","35,183"
"Beckham County, Oklahoma","22,410"
"Bedford County, Pennsylvania","47,577"
"Bedford County, Tennessee","50,237"
"Bedford County, Virginia","79,462"
"Bee County, Texas","31,047"
"Belknap County, New Hampshire","63,705"
"Bell County, Kentucky","24,097"
"Bell County, Texas","370,647"
"Belmont County, Ohio","66,497"
"Beltrami County, Minnesota","46,228"
"Ben Hill County, Georgia","17,194"
"Benewah County, Idaho","9,530"
"Bennett County, South Dakota","3,381"
"Bennington County, Vermont","37,347"
"Benson County, North Dakota","5,964"
"Bent County, Colorado","5,650"
"Benton County, Arkansas","284,333"
"Benton County, Indiana","8,719"
"Benton County, Iowa","25,575"
"Benton County, Minnesota","41,379"
"Benton County, Mississippi","7,646"
"Benton County, Missouri","19,394"
"Benton County, Oregon","95,184"
"Benton County, Tennessee","15,864"
"Benton County, Washington","206,873"
"Benzie County, Michigan","17,970"
"Bergen County, New Jersey","955,732"
"Berkeley County, South Carolina","229,861"
"Berkeley County, West Virginia","122,076"
"Berks County, Pennsylvania","428,849"
"Berkshire County, Massachusetts","129,026"
"Bernalillo County, New Mexico","676,444"
"Berrien County, Georgia","18,160"
"Berrien County, Michigan","154,316"
"Bertie County, North Carolina","17,934"
"Bethel Census Area, Alaska","18,666"
"Bexar County, Texas","2,009,324"
"Bibb County, Alabama","22,293"
"Bibb County, Georgia","157,346"
