Geography,Total:—Institutionalized population:—Nursing facilities/Skilled-nursing facilities— 
"Abbeville County, South Carolina",84
"Acadia Parish, Louisiana",480
"Accomack County, Virginia",155
"Ada County, Idaho","2,488"
"Adair County, Iowa",153
"Adair County, Kentucky",91
"Adair County, Missouri",194
"Adair County, Oklahoma",55
"Adams County, Colorado","1,547"
"Adams County, Idaho",0
"Adams County, Illinois",862
"Adams County, Indiana",346
"Adams County, Iowa",35
"Adams County, Mississippi",203
"Adams County, Nebraska",72
"Adams County, North Dakota",59
"Adams County, Ohio",199
"Adams County, Pennsylvania",606
"Adams County, Washington",49
"Adams County, Wisconsin",48
"Addison County, Vermont",223
"Adjuntas Municipio, Puerto Rico",33
"Aguada Municipio, Puerto Rico",151
"Aguadilla Municipio, Puerto Rico",378
"Aguas Buenas Municipio, Puerto Rico",49
"Aibonito Municipio, Puerto Rico",37
"Aiken County, South Carolina","1,040"
"Aitkin County, Minnesota",195
"Alachua County, Florida","1,214"
"Alamance County, North Carolina",601
"Alameda County, California","6,218"
"Alamosa County, Colorado",128
"Albany County, New York","2,048"
"Albany County, Wyoming",131
"Albemarle County, Virginia","1,201"
"Alcona County, Michigan",46
"Alcorn County, Mississippi",252
"Aleutians East Borough, Alaska",0
"Aleutians West Census Area, Alaska",0
"Alexander County, Illinois",58
"Alexander County, North Carolina",146
"Alexandria city, Virginia",521
"Alfalfa County, Oklahoma",0
"Alger County, Michigan",59
"Allamakee County, Iowa",183
"Allegan County, Michigan",554
"Allegany County, Maryland",759
"Allegany County, New York",466
"Alleghany County, North Carolina",68
"Alleghany County, Virginia",220
"Allegheny County, Pennsylvania","8,485"
"Allen County, Indiana","2,943"
"Allen County, Kansas",91
"Allen County, Kentucky",100
"Allen County, Ohio",966
"Allen Parish, Louisiana",56
"Allendale County, South Carolina",46
"Alpena County, Michigan",149
"Alpine County, California",0
"Amador County, California",51
"Amelia County, Virginia",83
"Amherst County, Virginia",111
"Amite County, Mississippi",62
"Añasco Municipio, Puerto Rico",144
"Anchorage Municipality, Alaska",874
"Anderson County, Kansas",24
"Anderson County, Kentucky",99
"Anderson County, South Carolina","1,006"
"Anderson County, Tennessee",446
"Anderson County, Texas",411
"Andrew County, Missouri",129
"Andrews County, Texas",59
"Androscoggin County, Maine","1,497"
"Angelina County, Texas",543
"Anne Arundel County, Maryland","2,119"
"Anoka County, Minnesota",851
"Anson County, North Carolina",218
"Antelope County, Nebraska",36
"Antrim County, Michigan",20
"Apache County, Arizona",80
"Appanoose County, Iowa",138
"Appling County, Georgia",79
"Appomattox County, Virginia",56
"Aransas County, Texas",169
"Arapahoe County, Colorado","2,540"
"Archer County, Texas",29
"Archuleta County, Colorado",49
"Arecibo Municipio, Puerto Rico",360
"Arenac County, Michigan",44
"Arkansas County, Arkansas",138
"Arlington County, Virginia",831
"Armstrong County, Pennsylvania",359
"Armstrong County, Texas",41
"Aroostook County, Maine",890
"Arroyo Municipio, Puerto Rico",48
"Arthur County, Nebraska",0
"Ascension Parish, Louisiana",258
"Ashe County, North Carolina",212
"Ashland County, Ohio",536
"Ashland County, Wisconsin",177
"Ashley County, Arkansas",109
"Ashtabula County, Ohio",927
"Asotin County, Washington",184
"Assumption Parish, Louisiana",63
"Atascosa County, Texas",323
"Atchison County, Kansas",184
"Atchison County, Missouri",68
"Athens County, Ohio",285
"Atkinson County, Georgia",0
"Atlantic County, New Jersey","1,280"
"Atoka County, Oklahoma",55
"Attala County, Mississippi",231
"Audrain County, Missouri",225
"Audubon County, Iowa",98
"Auglaize County, Ohio",433
"Augusta County, Virginia",207
"Aurora County, South Dakota",46
"Austin County, Texas",97
"Autauga County, Alabama",260
"Avery County, North Carolina",133
"Avoyelles Parish, Louisiana",597
"Baca County, Colorado",36
"Bacon County, Georgia",71
"Bailey County, Texas",50
"Baker County, Florida",389
"Baker County, Georgia",0
"Baker County, Oregon",0
"Baldwin County, Alabama","1,212"
"Baldwin County, Georgia",459
"Ballard County, Kentucky",53
"Baltimore city, Maryland","3,067"
"Baltimore County, Maryland","5,689"
"Bamberg County, South Carolina",81
"Bandera County, Texas",31
"Banks County, Georgia",0
"Banner County, Nebraska",0
"Bannock County, Idaho",312
"Baraga County, Michigan",44
"Barber County, Kansas",21
"Barbour County, Alabama",155
"Barbour County, West Virginia",103
"Barceloneta Municipio, Puerto Rico",34
"Barnes County, North Dakota",165
"Barnstable County, Massachusetts","1,875"
"Barnwell County, South Carolina",159
"Barranquitas Municipio, Puerto Rico",27
"Barren County, Kentucky",451
"Barron County, Wisconsin",420
"Barrow County, Georgia",141
"Barry County, Michigan",130
"Barry County, Missouri",192
"Bartholomew County, Indiana",495
"Barton County, Kansas",249
"Barton County, Missouri",0
"Bartow County, Georgia",320
"Bastrop County, Texas",469
"Bates County, Missouri",150
"Bath County, Kentucky",93
"Bath County, Virginia",40
"Baxter County, Arkansas",401
"Bay County, Florida",901
"Bay County, Michigan",486
"Bayamón Municipio, Puerto Rico",812
"Bayfield County, Wisconsin",65
"Baylor County, Texas",54
"Beadle County, South Dakota",216
"Bear Lake County, Idaho",53
"Beaufort County, North Carolina",261
"Beaufort County, South Carolina",515
"Beauregard Parish, Louisiana",158
"Beaver County, Oklahoma",45
"Beaver County, Pennsylvania","1,138"
"Beaver County, Utah",23
"Beaverhead County, Montana",80
"Becker County, Minnesota",301
"Beckham County, Oklahoma",133
"Bedford County, Pennsylvania",186
"Bedford County, Tennessee",142
"Bedford County, Virginia",377
"Bee County, Texas",130
"Belknap County, New Hampshire",658
"Bell County, Kentucky",165
"Bell County, Texas","1,440"
"Belmont County, Ohio",717
"Beltrami County, Minnesota",395
"Ben Hill County, Georgia",172
"Benewah County, Idaho",61
"Bennett County, South Dakota",42
"Bennington County, Vermont",477
"Benson County, North Dakota",10
"Bent County, Colorado",59
"Benton County, Arkansas",960
"Benton County, Indiana",44
"Benton County, Iowa",254
"Benton County, Minnesota",407
"Benton County, Mississippi",54
"Benton County, Missouri",173
"Benton County, Oregon",165
"Benton County, Tennessee",48
"Benton County, Washington",472
"Benzie County, Michigan",128
"Bergen County, New Jersey","3,408"
"Berkeley County, South Carolina",239
"Berkeley County, West Virginia",213
"Berks County, Pennsylvania","2,468"
"Berkshire County, Massachusetts","1,296"
"Bernalillo County, New Mexico","2,592"
"Berrien County, Georgia",90
"Berrien County, Michigan",801
"Bertie County, North Carolina",113
"Bethel Census Area, Alaska",0
"Bexar County, Texas","7,065"
"Bibb County, Alabama",235
"Bibb County, Georgia","1,178"
"Bienville Parish, Louisiana",274
"Big Horn County, Montana",66
"Big Horn County, Wyoming",169
"Big Stone County, Minnesota",104
"Billings County, North Dakota",0
"Bingham County, Idaho",213
"Black Hawk County, Iowa","1,079"
"Blackford County, Indiana",72
"Bladen County, North Carolina",160
"Blaine County, Idaho",101
"Blaine County, Montana",33
"Blaine County, Nebraska",0
"Blaine County, Oklahoma",66
"Blair County, Pennsylvania","1,462"
"Blanco County, Texas",40
"Bland County, Virginia",49
"Bleckley County, Georgia",112
"Bledsoe County, Tennessee",110
"Blount County, Alabama",320
"Blount County, Tennessee",580
"Blue Earth County, Minnesota",484
"Boise County, Idaho",0
"Bolivar County, Mississippi",434
"Bollinger County, Missouri",84
"Bon Homme County, South Dakota",138
"Bond County, Illinois",74
"Bonner County, Idaho",302
"Bonneville County, Idaho",513
