Geography,Total—HOUSEHOLDS—Average household size—Estimate,MoE
"Abbeville County, South Carolina",2.43,± 0.09
"Acadia Parish, Louisiana",2.65,± 0.06
"Accomack County, Virginia",2.26,± 0.08
"Ada County, Idaho",2.54,± 0.01
"Adair County, Iowa",2.27,± 0.07
"Adair County, Kentucky",2.59,± 0.09
"Adair County, Missouri",2.58,± 0.09
"Adair County, Oklahoma",2.84,± 0.05
"Adams County, Colorado",2.85,± 0.01
"Adams County, Idaho",2.6,± 0.16
"Adams County, Illinois",2.33,± 0.03
"Adams County, Indiana",2.85,± 0.06
"Adams County, Iowa",2.34,± 0.11
"Adams County, Mississippi",2.36,± 0.08
"Adams County, Nebraska",2.35,± 0.05
"Adams County, North Dakota",2.11,± 0.15
"Adams County, Ohio",2.67,± 0.09
"Adams County, Pennsylvania",2.51,± 0.03
"Adams County, Washington",3.21,± 0.08
"Adams County, Wisconsin",2.16,± 0.07
"Addison County, Vermont",2.38,± 0.04
"Adjuntas Municipio, Puerto Rico",3.19,± 0.18
"Aguada Municipio, Puerto Rico",2.93,± 0.11
"Aguadilla Municipio, Puerto Rico",2.48,± 0.08
"Aguas Buenas Municipio, Puerto Rico",2.7,± 0.12
"Aibonito Municipio, Puerto Rico",2.73,± 0.1
"Aiken County, South Carolina",2.46,± 0.03
"Aitkin County, Minnesota",2.3,± 0.05
"Alachua County, Florida",2.41,± 0.02
"Alamance County, North Carolina",2.48,± 0.03
"Alameda County, California",2.78,± 0.01
"Alamosa County, Colorado",2.39,± 0.07
"Albany County, New York",2.25,± 0.02
"Albany County, Wyoming",2.15,± 0.04
"Albemarle County, Virginia",2.36,± 0.03
"Alcona County, Michigan",2.09,± 0.07
"Alcorn County, Mississippi",2.43,± 0.07
"Aleutians East Borough, Alaska",2.41,± 0.18
"Aleutians West Census Area, Alaska",3.82,± 0.49
"Alexander County, Illinois",2.97,± 0.21
"Alexander County, North Carolina",2.56,± 0.08
"Alexandria city, Virginia",2.09,± 0.02
"Alfalfa County, Oklahoma",2.48,± 0.13
"Alger County, Michigan",2.39,± 0.12
"Allamakee County, Iowa",2.31,± 0.08
"Allegan County, Michigan",2.67,± 0.03
"Allegany County, Maryland",2.22,± 0.03
"Allegany County, New York",2.53,± 0.05
"Alleghany County, North Carolina",2.19,± 0.11
"Alleghany County, Virginia",2.34,± 0.07
"Allegheny County, Pennsylvania",2.22,± 0.01
"Allen County, Indiana",2.5,± 0.01
"Allen County, Kansas",2.43,± 0.1
"Allen County, Kentucky",2.63,± 0.08
"Allen County, Ohio",2.42,± 0.03
"Allen Parish, Louisiana",2.52,± 0.08
