Geography,Total—Total households—SELECTED HOUSEHOLDS BY TYPE—Householder living alone—65 years and over—Estimate,MoE
"Abbeville County, South Carolina",15.40%,± 2.8%
"Acadia Parish, Louisiana",12.10%,± 1.7%
"Accomack County, Virginia",17.30%,± 2.5%
"Ada County, Idaho",10%,± 0.6%
"Adair County, Iowa",14.60%,± 2.3%
"Adair County, Kentucky",16.90%,± 3.2%
"Adair County, Missouri",12.20%,± 2.2%
"Adair County, Oklahoma",13.80%,± 2%
"Adams County, Colorado",7.70%,± 0.5%
"Adams County, Idaho",16.70%,± 5.3%
"Adams County, Illinois",15.70%,± 1.1%
"Adams County, Indiana",12.30%,± 2%
"Adams County, Iowa",20.20%,± 4.4%
"Adams County, Mississippi",16.60%,± 2.5%
"Adams County, Nebraska",14.70%,± 1.8%
"Adams County, North Dakota",18.70%,± 3.9%
"Adams County, Ohio",15.20%,± 2.7%
"Adams County, Pennsylvania",12.80%,± 1%
"Adams County, Washington",9.30%,± 2.3%
"Adams County, Wisconsin",18.70%,± 1.8%
"Addison County, Vermont",13.80%,± 1.5%
"Adjuntas Municipio, Puerto Rico",13.50%,± 2.8%
"Aguada Municipio, Puerto Rico",14.70%,± 2.6%
"Aguadilla Municipio, Puerto Rico",15.50%,± 1.9%
"Aguas Buenas Municipio, Puerto Rico",9.70%,± 2.3%
"Aibonito Municipio, Puerto Rico",14.50%,± 2.6%
"Aiken County, South Carolina",11.80%,± 1%
"Aitkin County, Minnesota",20.90%,± 1.4%
"Alachua County, Florida",11.10%,± 0.7%
"Alamance County, North Carolina",12.80%,± 0.9%
"Alameda County, California",9.40%,± 0.3%
"Alamosa County, Colorado",9.60%,± 2.7%
"Albany County, New York",13.10%,± 0.6%
"Albany County, Wyoming",8.70%,± 1.7%
"Albemarle County, Virginia",14.50%,± 1.2%
"Alcona County, Michigan",19%,± 1.8%
"Alcorn County, Mississippi",14%,± 2.1%
"Aleutians East Borough, Alaska",12.70%,± 3.4%
"Aleutians West Census Area, Alaska",5.70%,± 2.6%
"Alexander County, Illinois",22.90%,± 3.9%
"Alexander County, North Carolina",14.80%,± 2.4%
"Alexandria city, Virginia",10.60%,± 0.8%
"Alfalfa County, Oklahoma",15.20%,± 3%
"Alger County, Michigan",15.90%,± 2.8%
"Allamakee County, Iowa",14.80%,± 2.1%
"Allegan County, Michigan",9.40%,± 1%
"Allegany County, Maryland",17%,± 1.5%
"Allegany County, New York",15.10%,± 1.3%
"Alleghany County, North Carolina",15.30%,± 3.3%
"Alleghany County, Virginia",21.30%,± 2.8%
"Allegheny County, Pennsylvania",15%,± 0.3%
"Allen County, Indiana",11.10%,± 0.6%
"Allen County, Kansas",14.70%,± 2.6%
"Allen County, Kentucky",10.30%,± 2.2%
"Allen County, Ohio",15.10%,± 1.2%
"Allen Parish, Louisiana",11.10%,± 3.1%
"Allendale County, South Carolina",19.10%,± 5.2%
"Alpena County, Michigan",15%,± 1.5%
"Alpine County, California",15.60%,± 7.6%
"Amador County, California",15.50%,± 2.2%
"Amelia County, Virginia",11.70%,± 4%
"Amherst County, Virginia",15%,± 2.3%
"Amite County, Mississippi",16.90%,± 3.8%
"Añasco Municipio, Puerto Rico",12.70%,± 2.3%
"Anchorage Municipality, Alaska",8%,± 0.7%
"Anderson County, Kansas",13.60%,± 4.1%
"Anderson County, Kentucky",11.90%,± 2.1%
"Anderson County, South Carolina",12.30%,± 0.9%
"Anderson County, Tennessee",13%,± 1%
"Anderson County, Texas",11%,± 1.8%
"Andrew County, Missouri",14.40%,± 2.5%
"Andrews County, Texas",7.30%,± 2.5%
"Androscoggin County, Maine",12.80%,± 1.1%
"Angelina County, Texas",10.60%,± 1.4%
"Anne Arundel County, Maryland",10.10%,± 0.5%
"Anoka County, Minnesota",9.90%,± 0.6%
"Anson County, North Carolina",17.80%,± 2.7%
"Antelope County, Nebraska",18.80%,± 3.2%
"Antrim County, Michigan",15.10%,± 1.4%
"Apache County, Arizona",12.60%,± 1.3%
"Appanoose County, Iowa",16.70%,± 2.2%
"Appling County, Georgia",10.90%,± 2.7%
"Appomattox County, Virginia",13.70%,± 1.8%
"Aransas County, Texas",13.60%,± 2.8%
"Arapahoe County, Colorado",9.20%,± 0.4%
"Archer County, Texas",13.70%,± 3.3%
"Archuleta County, Colorado",12.70%,± 2.7%
"Arecibo Municipio, Puerto Rico",15.70%,± 1.3%
"Arenac County, Michigan",16.40%,± 1.5%
"Arkansas County, Arkansas",13.30%,± 2.1%
"Arlington County, Virginia",8.30%,± 0.5%
"Armstrong County, Pennsylvania",14.60%,± 1%
"Armstrong County, Texas",10.10%,± 3.8%
"Aroostook County, Maine",17.70%,± 1.2%
"Arroyo Municipio, Puerto Rico",15.40%,± 2.7%
"Arthur County, Nebraska",19.70%,± 7.9%
"Ascension Parish, Louisiana",7.80%,± 1%
"Ashe County, North Carolina",15.60%,± 2%
"Ashland County, Ohio",12.10%,± 1.3%
"Ashland County, Wisconsin",17.50%,± 2%
"Ashley County, Arkansas",16.90%,± 2.7%
"Ashtabula County, Ohio",14.90%,± 1.2%
"Asotin County, Washington",16.10%,± 2.1%
"Assumption Parish, Louisiana",12.10%,± 3.1%
"Atascosa County, Texas",10.60%,± 1.8%
"Atchison County, Kansas",13.20%,± 3%
"Atchison County, Missouri",16.50%,± 2.3%
"Athens County, Ohio",12%,± 1.5%
"Atkinson County, Georgia",11.70%,± 2.6%
"Atlantic County, New Jersey",13.10%,± 0.8%
"Atoka County, Oklahoma",12.30%,± 1.8%
"Attala County, Mississippi",15.50%,± 2.4%
"Audrain County, Missouri",12%,± 1.7%
"Audubon County, Iowa",14.20%,± 2.9%
"Auglaize County, Ohio",13.10%,± 1.4%
"Augusta County, Virginia",13.50%,± 1.6%
"Aurora County, South Dakota",15.70%,± 3.1%
"Austin County, Texas",9.50%,± 1.9%
"Autauga County, Alabama",12.10%,± 1.5%
"Avery County, North Carolina",13.40%,± 2.7%
"Avoyelles Parish, Louisiana",13.50%,± 2%
"Baca County, Colorado",17.80%,± 3.2%
"Bacon County, Georgia",16.10%,± 3.4%
"Bailey County, Texas",13.30%,± 6.1%
"Baker County, Florida",10%,± 2.2%
"Baker County, Georgia",17%,± 7.5%
"Baker County, Oregon",17.60%,± 2.3%
"Baldwin County, Alabama",13.20%,± 1.1%
"Baldwin County, Georgia",11.30%,± 2.1%
"Ballard County, Kentucky",12.20%,± 2.4%
"Baltimore city, Maryland",13.50%,± 0.4%
"Baltimore County, Maryland",13.40%,± 0.4%
"Bamberg County, South Carolina",20.80%,± 4.3%
"Bandera County, Texas",16.10%,± 2.9%
"Banks County, Georgia",11.10%,± 2.5%
"Banner County, Nebraska",14.10%,± 8.3%
"Bannock County, Idaho",11.10%,± 1.1%
"Baraga County, Michigan",17.10%,± 2.4%
"Barber County, Kansas",15.60%,± 3.9%
"Barbour County, Alabama",16.60%,± 2%
"Barbour County, West Virginia",16.70%,± 4%
