Geography,Percent—Total population—AGE—Under 5 years—Estimate,MoE
"Abbeville County, South Carolina",4.80%,± 0.1%
"Acadia Parish, Louisiana",6.70%,± 0.2%
"Accomack County, Virginia",5.30%,± 0.1%
"Ada County, Idaho",5.30%,*****
"Adair County, Iowa",6.10%,± 0.4%
"Adair County, Kentucky",5%,± 0.5%
"Adair County, Missouri",5.50%,± 0.3%
"Adair County, Oklahoma",7%,± 0.1%
"Adams County, Colorado",6.60%,± 0.1%
"Adams County, Idaho",3.60%,± 0.3%
"Adams County, Illinois",6%,± 0.1%
"Adams County, Indiana",8.90%,± 0.2%
"Adams County, Iowa",5.40%,± 0.3%
"Adams County, Mississippi",6.30%,± 0.9%
"Adams County, Nebraska",6.40%,± 0.3%
"Adams County, North Dakota",6.50%,± 2.1%
"Adams County, Ohio",5.90%,± 0.1%
"Adams County, Pennsylvania",4.70%,± 0.1%
"Adams County, Washington",8.90%,± 0.1%
"Adams County, Wisconsin",3.10%,± 0.1%
"Addison County, Vermont",4%,± 0.1%
"Adjuntas Municipio, Puerto Rico",3.30%,*****
"Aguada Municipio, Puerto Rico",3.10%,*****
"Aguadilla Municipio, Puerto Rico",3.40%,*****
"Aguas Buenas Municipio, Puerto Rico",3.20%,*****
"Aibonito Municipio, Puerto Rico",3.40%,*****
"Aiken County, South Carolina",5.60%,± 0.1%
"Aitkin County, Minnesota",3.70%,± 0.1%
"Alachua County, Florida",4.80%,± 0.1%
"Alamance County, North Carolina",5.70%,± 0.1%
"Alameda County, California",5.40%,*****
"Alamosa County, Colorado",5.90%,± 0.1%
"Albany County, New York",4.80%,± 0.1%
"Albany County, Wyoming",4.30%,± 0.3%
"Albemarle County, Virginia",5%,± 0.1%
"Alcona County, Michigan",3.40%,± 0.2%
"Alcorn County, Mississippi",5.50%,± 0.6%
"Aleutians East Borough, Alaska",3.20%,± 0.7%
"Aleutians West Census Area, Alaska",4.20%,± 0.9%
"Alexander County, Illinois",4.90%,± 1%
"Alexander County, North Carolina",4.60%,± 0.3%
"Alexandria city, Virginia",6.80%,± 0.1%
"Alfalfa County, Oklahoma",4.50%,± 0.4%
"Alger County, Michigan",3.60%,± 0.5%
"Allamakee County, Iowa",6.80%,± 0.2%
"Allegan County, Michigan",5.80%,*****
"Allegany County, Maryland",4.50%,± 0.1%
"Allegany County, New York",5%,± 0.1%
"Alleghany County, North Carolina",4.10%,± 0.1%
"Alleghany County, Virginia",4.10%,± 0.3%
"Allegheny County, Pennsylvania",5.10%,± 0.1%
"Allen County, Indiana",6.80%,± 0.1%
"Allen County, Kansas",5.60%,± 0.4%
"Allen County, Kentucky",6.10%,± 0.2%
"Allen County, Ohio",6%,± 0.1%
"Allen Parish, Louisiana",6%,± 0.1%
