Geography,Percent—Total population—SELECTED AGE CATEGORIES—65 years and over—Estimate,MoE
"Abbeville County, South Carolina",22.10%,± 0.1%
"Acadia Parish, Louisiana",15.70%,± 0.1%
"Accomack County, Virginia",24.90%,± 0.4%
"Ada County, Idaho",15.30%,± 0.1%
"Adair County, Iowa",22.20%,± 0.1%
"Adair County, Kentucky",19.40%,± 0.5%
"Adair County, Missouri",14.90%,± 0.1%
"Adair County, Oklahoma",15.60%,± 0.3%
"Adams County, Colorado",10.80%,± 0.1%
"Adams County, Idaho",29.60%,± 0.3%
"Adams County, Illinois",20.10%,± 0.2%
"Adams County, Indiana",15.60%,± 0.2%
"Adams County, Iowa",23%,± 0.3%
"Adams County, Mississippi",20.30%,± 0.5%
"Adams County, Nebraska",18.10%,± 0.2%
"Adams County, North Dakota",27.70%,± 3.4%
"Adams County, Ohio",18.20%,± 0.3%
"Adams County, Pennsylvania",20.90%,± 0.1%
"Adams County, Washington",11.30%,± 0.2%
"Adams County, Wisconsin",30.50%,± 0.2%
"Addison County, Vermont",21.40%,± 0.1%
"Adjuntas Municipio, Puerto Rico",21.40%,*****
"Aguada Municipio, Puerto Rico",21.50%,*****
"Aguadilla Municipio, Puerto Rico",23%,*****
"Aguas Buenas Municipio, Puerto Rico",21.50%,*****
"Aibonito Municipio, Puerto Rico",23.10%,*****
"Aiken County, South Carolina",20.10%,± 0.1%
"Aitkin County, Minnesota",33.60%,± 0.1%
"Alachua County, Florida",14.70%,± 0.1%
"Alamance County, North Carolina",16.90%,± 0.1%
"Alameda County, California",14.60%,*****
"Alamosa County, Colorado",14.50%,± 0.3%
"Albany County, New York",17.50%,± 0.1%
"Albany County, Wyoming",12.50%,± 0.2%
"Albemarle County, Virginia",19.70%,± 0.1%
"Alcona County, Michigan",36.10%,± 0.2%
"Alcorn County, Mississippi",18.50%,± 0.1%
"Aleutians East Borough, Alaska",11.60%,± 2.6%
"Aleutians West Census Area, Alaska",6.30%,± 1.5%
"Alexander County, Illinois",23.50%,± 0.2%
"Alexander County, North Carolina",20.40%,± 0.3%
"Alexandria city, Virginia",12.30%,± 0.1%
"Alfalfa County, Oklahoma",18.90%,± 0.5%
"Alger County, Michigan",25%,± 0.4%
"Allamakee County, Iowa",22.70%,± 0.2%
"Allegan County, Michigan",17.40%,± 0.1%
"Allegany County, Maryland",20.80%,± 0.1%
"Allegany County, New York",19.30%,± 0.1%
"Alleghany County, North Carolina",28%,± 1%
"Alleghany County, Virginia",25.10%,± 0.5%
"Allegheny County, Pennsylvania",19.50%,± 0.1%
"Allen County, Indiana",15.10%,± 0.1%
"Allen County, Kansas",20.50%,± 0.5%
"Allen County, Kentucky",17.60%,± 0.2%
"Allen County, Ohio",18.40%,± 0.1%
"Allen Parish, Louisiana",15%,± 0.2%
"Allendale County, South Carolina",20.40%,± 0.1%
"Alpena County, Michigan",24%,± 0.2%
"Alpine County, California",25.50%,± 5.4%
"Amador County, California",26.90%,± 0.2%
"Amelia County, Virginia",20%,± 0.9%
"Amherst County, Virginia",21.20%,± 0.1%
"Amite County, Mississippi",24.60%,± 0.2%
"Añasco Municipio, Puerto Rico",22.10%,*****
"Anchorage Municipality, Alaska",12%,± 0.1%
"Anderson County, Kansas",20.80%,± 0.8%
"Anderson County, Kentucky",16.20%,± 0.2%
"Anderson County, South Carolina",18.10%,± 0.1%
"Anderson County, Tennessee",20.20%,± 0.1%
"Anderson County, Texas",14.80%,± 0.3%
"Andrew County, Missouri",19.90%,± 0.4%
"Andrews County, Texas",9.60%,± 0.4%
"Androscoggin County, Maine",18.20%,± 0.1%
"Angelina County, Texas",16.30%,± 0.1%
"Anne Arundel County, Maryland",15.40%,± 0.1%
"Anoka County, Minnesota",14.60%,± 0.1%
"Anson County, North Carolina",19.50%,± 0.4%
"Antelope County, Nebraska",23.70%,± 0.2%
"Antrim County, Michigan",27.90%,± 0.2%
"Apache County, Arizona",15.80%,± 0.1%
"Appanoose County, Iowa",23.50%,± 0.3%
"Appling County, Georgia",17.50%,± 0.1%
"Appomattox County, Virginia",20.50%,± 0.2%
"Aransas County, Texas",27.60%,± 1.1%
"Arapahoe County, Colorado",13.70%,± 0.1%
"Archer County, Texas",20.60%,± 0.5%
"Archuleta County, Colorado",27%,± 0.3%
"Arecibo Municipio, Puerto Rico",22.90%,*****
"Arenac County, Michigan",25.60%,± 0.2%
"Arkansas County, Arkansas",19.90%,± 0.2%
"Arlington County, Virginia",11.30%,± 0.1%
"Armstrong County, Pennsylvania",22.90%,± 0.1%
"Armstrong County, Texas",28.70%,± 3.2%
"Aroostook County, Maine",25.10%,± 0.1%
"Arroyo Municipio, Puerto Rico",21.30%,*****
"Arthur County, Nebraska",23.50%,± 6.5%
"Ascension Parish, Louisiana",12.40%,± 0.1%
"Ashe County, North Carolina",26.60%,± 0.5%
"Ashland County, Ohio",19.60%,± 0.2%
"Ashland County, Wisconsin",20.40%,± 0.2%
"Ashley County, Arkansas",21.10%,± 0.3%
"Ashtabula County, Ohio",19.60%,± 0.1%
"Asotin County, Washington",23.80%,± 0.4%
"Assumption Parish, Louisiana",19.40%,± 0.7%
"Atascosa County, Texas",14.80%,± 0.2%
"Atchison County, Kansas",17%,± 0.5%
"Atchison County, Missouri",25.30%,± 0.3%
"Athens County, Ohio",14.30%,± 0.1%
"Atkinson County, Georgia",13.30%,± 1.3%
"Atlantic County, New Jersey",18.80%,± 0.1%
"Atoka County, Oklahoma",18.60%,± 0.3%
"Attala County, Mississippi",19.20%,± 0.4%
"Audrain County, Missouri",18%,± 0.3%
"Audubon County, Iowa",24.70%,± 0.3%
"Auglaize County, Ohio",18.80%,± 0.2%
"Augusta County, Virginia",21.70%,± 0.1%
"Aurora County, South Dakota",19.30%,± 2%
"Austin County, Texas",20%,± 0.4%
"Autauga County, Alabama",15.60%,± 0.2%
"Avery County, North Carolina",22.70%,± 0.4%
"Avoyelles Parish, Louisiana",17.30%,± 0.2%
"Baca County, Colorado",23.90%,± 0.8%
"Bacon County, Georgia",16.90%,± 1.1%
"Bailey County, Texas",12.40%,± 2.8%
"Baker County, Florida",14.90%,± 0.6%
"Baker County, Georgia",26.50%,± 6.4%
"Baker County, Oregon",27.20%,± 0.5%
"Baldwin County, Alabama",21.20%,± 0.1%
"Baldwin County, Georgia",16.50%,± 0.2%
"Ballard County, Kentucky",22.30%,± 0.9%
"Baltimore city, Maryland",14.80%,± 0.1%
"Baltimore County, Maryland",17.60%,± 0.1%
"Bamberg County, South Carolina",22.60%,± 0.1%
"Bandera County, Texas",27.90%,± 0.2%
"Banks County, Georgia",16.90%,± 0.3%
"Banner County, Nebraska",30.30%,± 5.3%
"Bannock County, Idaho",14.70%,± 0.1%
"Baraga County, Michigan",22.90%,± 0.4%
"Barber County, Kansas",22.80%,± 1.7%
"Barbour County, Alabama",19.80%,± 0.1%
"Barbour County, West Virginia",20.80%,± 0.7%
"Barceloneta Municipio, Puerto Rico",20.60%,*****
"Barnes County, North Dakota",22.60%,± 0.3%
"Barnstable County, Massachusetts",31.60%,± 0.1%
"Barnwell County, South Carolina",18.70%,± 0.4%
"Barranquitas Municipio, Puerto Rico",17.90%,*****
"Barren County, Kentucky",17.80%,± 0.2%
"Barron County, Wisconsin",22.70%,± 0.3%
"Barrow County, Georgia",12.60%,± 0.1%
"Barry County, Michigan",18.80%,± 0.1%
"Barry County, Missouri",21.90%,± 0.3%
"Bartholomew County, Indiana",16.40%,± 0.2%
