Geography,Percent with a disability—Total civilian noninstitutionalized population—DISABILITY TYPE BY DETAILED AGE—With an ambulatory difficulty—Estimate,MoE
"Abbeville County, South Carolina",6.80%,± 1.1%
"Acadia Parish, Louisiana",9.90%,± 1.1%
"Accomack County, Virginia",9.30%,± 1.5%
"Ada County, Idaho",4.40%,± 0.3%
"Adair County, Iowa",8.50%,± 1.5%
"Adair County, Kentucky",10.20%,± 1.6%
"Adair County, Missouri",5.10%,± 1.1%
"Adair County, Oklahoma",12.90%,± 1.1%
"Adams County, Colorado",5%,± 0.3%
"Adams County, Idaho",10.20%,± 3%
"Adams County, Illinois",8.20%,± 0.9%
"Adams County, Indiana",6.10%,± 0.9%
"Adams County, Iowa",8.70%,± 1.7%
"Adams County, Mississippi",10.30%,± 1.4%
"Adams County, Nebraska",6.70%,± 0.8%
"Adams County, North Dakota",8.10%,± 2.7%
"Adams County, Ohio",12.60%,± 1.5%
"Adams County, Pennsylvania",7.20%,± 0.5%
"Adams County, Washington",6.70%,± 1.3%
"Adams County, Wisconsin",11.60%,± 1%
"Addison County, Vermont",6.70%,± 0.8%
"Adjuntas Municipio, Puerto Rico",8.90%,± 1.6%
"Aguada Municipio, Puerto Rico",19.70%,± 1.4%
"Aguadilla Municipio, Puerto Rico",13.90%,± 1.1%
"Aguas Buenas Municipio, Puerto Rico",18.70%,± 1.8%
"Aibonito Municipio, Puerto Rico",7.60%,± 1.3%
"Aiken County, South Carolina",9%,± 0.7%
"Aitkin County, Minnesota",9.90%,± 0.8%
"Alachua County, Florida",5.80%,± 0.4%
"Alamance County, North Carolina",7%,± 0.5%
"Alameda County, California",4.90%,± 0.1%
"Alamosa County, Colorado",8.40%,± 1.8%
"Albany County, New York",5.30%,± 0.4%
"Albany County, Wyoming",3.40%,± 0.6%
"Albemarle County, Virginia",4.60%,± 0.5%
"Alcona County, Michigan",12.70%,± 1.2%
"Alcorn County, Mississippi",13.50%,± 1.6%
"Aleutians East Borough, Alaska",5.60%,± 1.2%
"Aleutians West Census Area, Alaska",3.70%,± 1.6%
"Alexander County, Illinois",14.40%,± 2.5%
"Alexander County, North Carolina",8.90%,± 1.4%
"Alexandria city, Virginia",3.50%,± 0.4%
"Alfalfa County, Oklahoma",8.60%,± 1.8%
"Alger County, Michigan",8.30%,± 1.1%
"Allamakee County, Iowa",6%,± 1.2%
"Allegan County, Michigan",5.10%,± 0.4%
"Allegany County, Maryland",10.10%,± 0.9%
"Allegany County, New York",8.60%,± 0.6%
"Alleghany County, North Carolina",10.70%,± 2.2%
"Alleghany County, Virginia",8.90%,± 1.5%
"Allegheny County, Pennsylvania",7%,± 0.2%
"Allen County, Indiana",6.50%,± 0.3%
"Allen County, Kansas",8.40%,± 1.4%
"Allen County, Kentucky",10.10%,± 1.8%
"Allen County, Ohio",8.30%,± 0.6%
"Allen Parish, Louisiana",10.80%,± 1.8%
"Allendale County, South Carolina",14.50%,± 3.3%
"Alpena County, Michigan",9.10%,± 0.9%
"Alpine County, California",8.80%,± 4.2%
"Amador County, California",9.40%,± 1.3%
"Amelia County, Virginia",9.30%,± 2.3%
"Amherst County, Virginia",8.30%,± 1.1%
"Amite County, Mississippi",18.80%,± 3%
"Añasco Municipio, Puerto Rico",17.70%,± 1.4%
"Anchorage Municipality, Alaska",5%,± 0.3%
"Anderson County, Kansas",10.80%,± 2.8%
"Anderson County, Kentucky",10.60%,± 1.7%
"Anderson County, South Carolina",8.70%,± 0.6%
"Anderson County, Tennessee",11.30%,± 1%
"Anderson County, Texas",8.80%,± 1.1%
"Andrew County, Missouri",7.30%,± 1.3%
"Andrews County, Texas",4.70%,± 1.3%
"Androscoggin County, Maine",8.60%,± 0.8%
"Angelina County, Texas",10.40%,± 0.9%
"Anne Arundel County, Maryland",5.30%,± 0.3%
"Anoka County, Minnesota",4.40%,± 0.3%
"Anson County, North Carolina",11.70%,± 1.8%
"Antelope County, Nebraska",7%,± 1.2%
"Antrim County, Michigan",7.30%,± 0.8%
"Apache County, Arizona",7.80%,± 0.8%
"Appanoose County, Iowa",10.40%,± 1.4%
"Appling County, Georgia",7.70%,± 1.4%
"Appomattox County, Virginia",8%,± 1.7%
"Aransas County, Texas",8.60%,± 1.7%
"Arapahoe County, Colorado",4.80%,± 0.2%
"Archer County, Texas",10.90%,± 1.6%
"Archuleta County, Colorado",5.30%,± 1.8%
"Arecibo Municipio, Puerto Rico",12.20%,± 0.8%
"Arenac County, Michigan",10.40%,± 0.8%
"Arkansas County, Arkansas",12.60%,± 1.7%
"Arlington County, Virginia",3.10%,± 0.3%
"Armstrong County, Pennsylvania",9.50%,± 0.6%
"Armstrong County, Texas",5.90%,± 2.5%
"Aroostook County, Maine",11.20%,± 0.7%
"Arroyo Municipio, Puerto Rico",14.10%,± 2.5%
"Arthur County, Nebraska",4.20%,± 2.3%
"Ascension Parish, Louisiana",6.10%,± 0.9%
"Ashe County, North Carolina",10.70%,± 1.9%
"Ashland County, Ohio",7.10%,± 0.7%
"Ashland County, Wisconsin",6.60%,± 0.9%
"Ashley County, Arkansas",14.70%,± 2.4%
"Ashtabula County, Ohio",8.10%,± 0.7%
"Asotin County, Washington",10%,± 1.6%
"Assumption Parish, Louisiana",7.70%,± 1.5%
"Atascosa County, Texas",6.60%,± 1.1%
"Atchison County, Kansas",5.90%,± 1.4%
"Atchison County, Missouri",9.30%,± 1.4%
"Athens County, Ohio",7.20%,± 0.9%
"Atkinson County, Georgia",7.70%,± 1.4%
"Atlantic County, New Jersey",8.20%,± 0.5%
"Atoka County, Oklahoma",14.30%,± 1.3%
"Attala County, Mississippi",12%,± 1.6%
"Audrain County, Missouri",10.90%,± 1.3%
"Audubon County, Iowa",7.70%,± 2.1%
"Auglaize County, Ohio",6.30%,± 0.7%
"Augusta County, Virginia",7.60%,± 0.9%
"Aurora County, South Dakota",6.30%,± 1.4%
"Austin County, Texas",7.50%,± 1.5%
"Autauga County, Alabama",9.40%,± 0.8%
"Avery County, North Carolina",9.90%,± 1.8%
"Avoyelles Parish, Louisiana",11%,± 1.4%
"Baca County, Colorado",10%,± 2%
"Bacon County, Georgia",13.10%,± 3%
"Bailey County, Texas",8.40%,± 3.1%
"Baker County, Florida",10.40%,± 1.5%
"Baker County, Georgia",9.30%,± 2.9%
"Baker County, Oregon",12.50%,± 1.8%
"Baldwin County, Alabama",8%,± 0.6%
"Baldwin County, Georgia",7.90%,± 1.1%
"Ballard County, Kentucky",6.70%,± 1.4%
"Baltimore city, Maryland",9.20%,± 0.3%
"Baltimore County, Maryland",6.10%,± 0.2%
"Bamberg County, South Carolina",10.40%,± 2.3%
"Bandera County, Texas",8.60%,± 1.8%
"Banks County, Georgia",11.80%,± 1.8%
"Banner County, Nebraska",8.20%,± 3.9%
"Bannock County, Idaho",6.80%,± 0.6%
"Baraga County, Michigan",10.40%,± 1.4%
"Barber County, Kansas",9.90%,± 2.3%
"Barbour County, Alabama",10.30%,± 1.5%
"Barbour County, West Virginia",9.10%,± 1.9%
"Barceloneta Municipio, Puerto Rico",9.20%,± 2.1%
"Barnes County, North Dakota",5.60%,± 1.2%
"Barnstable County, Massachusetts",6.40%,± 0.4%
"Barnwell County, South Carolina",10.50%,± 1.4%
"Barranquitas Municipio, Puerto Rico",9.50%,± 1.5%
"Barren County, Kentucky",13.60%,± 1.4%
"Barron County, Wisconsin",6.80%,± 0.7%
"Barrow County, Georgia",7%,± 0.7%
"Barry County, Michigan",6%,± 0.7%
"Barry County, Missouri",9.40%,± 1.2%
"Bartholomew County, Indiana",7.20%,± 0.9%
"Barton County, Kansas",8.50%,± 1.2%
"Barton County, Missouri",12.40%,± 1.8%
"Bartow County, Georgia",6.90%,± 0.8%
"Bastrop County, Texas",6.60%,± 0.8%
"Bates County, Missouri",10%,± 1.3%
"Bath County, Kentucky",13.40%,± 2.3%
"Bath County, Virginia",10%,± 3.9%
"Baxter County, Arkansas",14.10%,± 1.7%
"Bay County, Florida",10.40%,± 0.6%
"Bay County, Michigan",8.20%,± 0.8%
"Bayamón Municipio, Puerto Rico",13.80%,± 0.6%
"Bayfield County, Wisconsin",7.70%,± 0.8%
"Baylor County, Texas",13.50%,± 3.3%
"Beadle County, South Dakota",6.60%,± 1.4%
"Bear Lake County, Idaho",8.10%,± 1.7%
"Beaufort County, North Carolina",10.10%,± 1.1%
"Beaufort County, South Carolina",6.80%,± 0.6%
"Beauregard Parish, Louisiana",9.20%,± 1.3%
"Beaver County, Oklahoma",9.50%,± 2.1%
"Beaver County, Pennsylvania",8.40%,± 0.5%
"Beaver County, Utah",5.70%,± 1.8%
"Beaverhead County, Montana",6.90%,± 2%
"Becker County, Minnesota",6.70%,± 0.7%
"Beckham County, Oklahoma",8.50%,± 1.8%
"Bedford County, Pennsylvania",8.20%,± 0.7%
"Bedford County, Tennessee",8.50%,± 1%
"Bedford County, Virginia",6.60%,± 0.6%
"Bee County, Texas",10.70%,± 1.6%
"Belknap County, New Hampshire",7.30%,± 0.9%
"Bell County, Kentucky",16.60%,± 2%
"Bell County, Texas",7.10%,± 0.4%
"Belmont County, Ohio",8.10%,± 0.8%
"Beltrami County, Minnesota",7.30%,± 0.7%
"Ben Hill County, Georgia",6.70%,± 1.3%
"Benewah County, Idaho",10.90%,± 2.1%
"Bennett County, South Dakota",7.70%,± 2.6%
"Bennington County, Vermont",8.60%,± 1%
"Benson County, North Dakota",6.40%,± 1.4%
"Bent County, Colorado",11.10%,± 2.7%
"Benton County, Arkansas",5.60%,± 0.3%
"Benton County, Indiana",9.40%,± 1.8%
"Benton County, Iowa",5.10%,± 0.7%
"Benton County, Minnesota",4.50%,± 0.6%
"Benton County, Mississippi",14.90%,± 2.8%
"Benton County, Missouri",12%,± 1.4%
"Benton County, Oregon",5.10%,± 0.5%
"Benton County, Tennessee",15.60%,± 2.3%
"Benton County, Washington",7.20%,± 0.6%
"Benzie County, Michigan",7%,± 1%
"Bergen County, New Jersey",4.50%,± 0.2%
"Berkeley County, South Carolina",6.70%,± 0.5%
"Berkeley County, West Virginia",7.40%,± 0.8%
"Berks County, Pennsylvania",6.80%,± 0.3%
"Berkshire County, Massachusetts",7%,± 0.6%
"Bernalillo County, New Mexico",7.70%,± 0.3%
"Berrien County, Georgia",10.60%,± 1.6%
"Berrien County, Michigan",7.20%,± 0.5%
"Bertie County, North Carolina",13.80%,± 2.1%
"Bethel Census Area, Alaska",4%,± 0.7%
"Bexar County, Texas",7.30%,± 0.2%
"Bibb County, Alabama",10%,± 2.2%
"Bibb County, Georgia",8.90%,± 0.7%
"Bienville Parish, Louisiana",12%,± 1.7%
"Big Horn County, Montana",6%,± 1.2%
"Big Horn County, Wyoming",7.90%,± 1.4%
"Big Stone County, Minnesota",6.90%,± 1.2%
"Billings County, North Dakota",1.30%,± 1.5%
