Geography,Total—AGE OF OWN CHILDREN—Households with own children of the householder under 18 years—Under 6 years and 6 to 17 years—Estimate,MoE
"Abbeville County, South Carolina",15.90%,± 5.8%
"Acadia Parish, Louisiana",24.10%,± 4.5%
"Accomack County, Virginia",21.30%,± 4.8%
"Ada County, Idaho",19%,± 1.6%
"Adair County, Iowa",19%,± 7.5%
"Adair County, Kentucky",26%,± 6.9%
"Adair County, Missouri",21.80%,± 6.4%
"Adair County, Oklahoma",23.50%,± 4.3%
"Adams County, Colorado",21.20%,± 1.4%
"Adams County, Idaho",13.40%,± 9.5%
"Adams County, Illinois",21.30%,± 3.5%
"Adams County, Indiana",24.30%,± 4.3%
"Adams County, Iowa",27.40%,± 9.6%
"Adams County, Mississippi",30.20%,± 8.8%
"Adams County, Nebraska",18.90%,± 3.4%
"Adams County, North Dakota",22%,± 10.4%
"Adams County, Ohio",18.70%,± 4.5%
"Adams County, Pennsylvania",16.50%,± 2.5%
"Adams County, Washington",36.90%,± 6.5%
"Adams County, Wisconsin",19.50%,± 6.1%
"Addison County, Vermont",17.60%,± 4.1%
"Adjuntas Municipio, Puerto Rico",4.40%,± 3.6%
"Aguada Municipio, Puerto Rico",11%,± 4.8%
"Aguadilla Municipio, Puerto Rico",15.10%,± 4.7%
"Aguas Buenas Municipio, Puerto Rico",8.20%,± 5.9%
"Aibonito Municipio, Puerto Rico",19.10%,± 7.2%
"Aiken County, South Carolina",17.80%,± 2.5%
"Aitkin County, Minnesota",14.60%,± 3.5%
"Alachua County, Florida",19.20%,± 2.7%
"Alamance County, North Carolina",17.90%,± 2.2%
"Alameda County, California",17.60%,± 0.7%
"Alamosa County, Colorado",26.80%,± 8.2%
"Albany County, New York",19.70%,± 2.2%
"Albany County, Wyoming",20.30%,± 6.4%
"Albemarle County, Virginia",15.70%,± 2.9%
"Alcona County, Michigan",17.50%,± 5.5%
"Alcorn County, Mississippi",11.40%,± 4.1%
"Aleutians East Borough, Alaska",25.50%,± 7.2%
"Aleutians West Census Area, Alaska",27.50%,± 7.3%
"Alexander County, Illinois",15.70%,± 8.6%
"Alexander County, North Carolina",20.20%,± 5.4%
"Alexandria city, Virginia",16.10%,± 2.1%
"Alfalfa County, Oklahoma",16.80%,± 5.9%
"Alger County, Michigan",14%,± 5.7%
"Allamakee County, Iowa",27.60%,± 5.9%
"Allegan County, Michigan",24.10%,± 2.8%
"Allegany County, Maryland",17.70%,± 3.4%
"Allegany County, New York",19.70%,± 2.9%
"Alleghany County, North Carolina",16.10%,± 7.6%
"Alleghany County, Virginia",11.60%,± 5.7%
"Allegheny County, Pennsylvania",17.10%,± 0.8%
"Allen County, Indiana",23%,± 1.5%
"Allen County, Kansas",17.60%,± 4.5%
"Allen County, Kentucky",22.70%,± 7%
"Allen County, Ohio",19.60%,± 2.6%
"Allen Parish, Louisiana",18.30%,± 5.8%
"Allendale County, South Carolina",25%,± 14.7%
"Alpena County, Michigan",19.50%,± 4%
"Alpine County, California",17.70%,± 19.2%
"Amador County, California",27.70%,± 8.6%
"Amelia County, Virginia",18.70%,± 9.2%
"Amherst County, Virginia",20.10%,± 5.7%
"Amite County, Mississippi",16.60%,± 9%
"Añasco Municipio, Puerto Rico",14.80%,± 7.2%
"Anchorage Municipality, Alaska",21%,± 2%
"Anderson County, Kansas",18.10%,± 10.1%
"Anderson County, Kentucky",18.50%,± 6.8%
"Anderson County, South Carolina",23%,± 3%
"Anderson County, Tennessee",18.30%,± 3.9%
"Anderson County, Texas",23.30%,± 5.5%
"Andrew County, Missouri",21.70%,± 6.5%
"Andrews County, Texas",34%,± 9%
"Androscoggin County, Maine",15.60%,± 2.3%
"Angelina County, Texas",19.60%,± 3.9%
"Anne Arundel County, Maryland",20%,± 1.5%
"Anoka County, Minnesota",19.50%,± 1%
"Anson County, North Carolina",14.10%,± 6.4%
"Antelope County, Nebraska",28.10%,± 6.7%
"Antrim County, Michigan",21.30%,± 4%
"Apache County, Arizona",28%,± 4.4%
"Appanoose County, Iowa",20.80%,± 7.7%
"Appling County, Georgia",20.90%,± 7%
"Appomattox County, Virginia",17.60%,± 7.4%
"Aransas County, Texas",30.60%,± 9%
"Arapahoe County, Colorado",18.70%,± 1.3%
"Archer County, Texas",19.30%,± 5.3%
"Archuleta County, Colorado",25.40%,± 12.6%
"Arecibo Municipio, Puerto Rico",15.70%,± 3.8%
"Arenac County, Michigan",15.50%,± 3.8%
"Arkansas County, Arkansas",35.30%,± 8.7%
