Geography,Total—Civilian employed population 16 years and over—Estimate,MoE
"Abbeville County, South Carolina","10,114",± 387
"Acadia Parish, Louisiana","22,653",± 971
"Accomack County, Virginia","14,408",± 581
"Ada County, Idaho","255,012","± 1,927"
"Adair County, Iowa","3,652",± 166
"Adair County, Kentucky","7,825",± 443
"Adair County, Missouri","10,207",± 483
"Adair County, Oklahoma","7,169",± 312
"Adams County, Colorado","275,757","± 2,338"
"Adams County, Idaho","1,746",± 128
"Adams County, Illinois","33,260",± 784
"Adams County, Indiana","15,384",± 470
"Adams County, Iowa","1,763",± 103
"Adams County, Mississippi","10,253",± 908
"Adams County, Nebraska","15,546",± 427
"Adams County, North Dakota","1,054",± 90
"Adams County, Ohio","10,489",± 526
"Adams County, Pennsylvania","51,985",± 885
"Adams County, Washington","8,305",± 322
"Adams County, Wisconsin","8,202",± 306
"Addison County, Vermont","19,788",± 384
"Adjuntas Municipio, Puerto Rico","4,875",± 369
"Aguada Municipio, Puerto Rico","11,389",± 783
"Aguadilla Municipio, Puerto Rico","15,130",± 903
"Aguas Buenas Municipio, Puerto Rico","8,452",± 601
"Aibonito Municipio, Puerto Rico","7,849",± 482
"Aiken County, South Carolina","74,124","± 1,208"
"Aitkin County, Minnesota","6,124",± 149
"Alachua County, Florida","133,225","± 2,000"
"Alamance County, North Carolina","82,298","± 1,309"
"Alameda County, California","870,099","± 3,631"
"Alamosa County, Colorado","7,897",± 411
"Albany County, New York","160,947","± 2,009"
"Albany County, Wyoming","21,096",± 644
"Albemarle County, Virginia","54,574","± 1,072"
"Alcona County, Michigan","3,540",± 170
"Alcorn County, Mississippi","14,372",± 718
"Aleutians East Borough, Alaska","2,305",± 87
"Aleutians West Census Area, Alaska","3,559",± 161
"Alexander County, Illinois","1,841",± 178
"Alexander County, North Carolina","16,607",± 634
"Alexandria city, Virginia","96,223","± 1,129"
"Alfalfa County, Oklahoma","2,113",± 95
"Alger County, Michigan","2,915",± 178
"Allamakee County, Iowa","6,868",± 269
"Allegan County, Michigan","57,047","± 1,104"
"Allegany County, Maryland","26,552",± 765
"Allegany County, New York","19,595",± 418
"Alleghany County, North Carolina","4,396",± 308
"Alleghany County, Virginia","6,060",± 334
"Allegheny County, Pennsylvania","640,039","± 3,496"
"Allen County, Indiana","189,834","± 1,888"
"Allen County, Kansas","5,674",± 257
"Allen County, Kentucky","8,890",± 442
"Allen County, Ohio","46,253",± 889
"Allen Parish, Louisiana","7,782",± 491
"Allendale County, South Carolina","2,635",± 228
"Alpena County, Michigan","12,174",± 416
"Alpine County, California",646,± 145
"Amador County, California","15,877",± 715
"Amelia County, Virginia","6,340",± 299
"Amherst County, Virginia","14,978",± 461
"Amite County, Mississippi","3,788",± 424
"Añasco Municipio, Puerto Rico","8,619",± 585
"Anchorage Municipality, Alaska","142,335","± 1,890"
"Anderson County, Kansas","3,514",± 267
"Anderson County, Kentucky","10,892",± 462
"Anderson County, South Carolina","92,914","± 1,746"
"Anderson County, Tennessee","32,947",± 876
"Anderson County, Texas","20,005",± 933
"Andrew County, Missouri","8,572",± 298
"Andrews County, Texas","9,264",± 329
"Androscoggin County, Maine","56,011","± 1,246"
