Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Education, legal, community service, arts, and media occupations:—Educational instruction, and library occupations—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Abbeville County, South Carolina",655,± 202,"10,114"
"Acadia Parish, Louisiana","1,035",± 212,"22,653"
"Accomack County, Virginia",636,± 205,"14,408"
"Ada County, Idaho","16,116","± 1,295","255,012"
"Adair County, Iowa",143,± 42,"3,652"
"Adair County, Kentucky",540,± 118,"7,825"
"Adair County, Missouri","1,173",± 244,"10,207"
"Adair County, Oklahoma",630,± 132,"7,169"
"Adams County, Colorado","11,794",± 899,"275,757"
"Adams County, Idaho",110,± 44,"1,746"
"Adams County, Illinois","1,865",± 305,"33,260"
"Adams County, Indiana",753,± 226,"15,384"
"Adams County, Iowa",100,± 29,"1,763"
"Adams County, Mississippi",777,± 214,"10,253"
"Adams County, Nebraska","1,015",± 200,"15,546"
"Adams County, North Dakota",55,± 27,"1,054"
"Adams County, Ohio",682,± 211,"10,489"
"Adams County, Pennsylvania","3,110",± 418,"51,985"
"Adams County, Washington",585,± 148,"8,305"
"Adams County, Wisconsin",367,± 83,"8,202"
"Addison County, Vermont","1,746",± 216,"19,788"
"Adjuntas Municipio, Puerto Rico",234,± 103,"4,875"
"Aguada Municipio, Puerto Rico",706,± 209,"11,389"
"Aguadilla Municipio, Puerto Rico","1,092",± 261,"15,130"
"Aguas Buenas Municipio, Puerto Rico",602,± 218,"8,452"
"Aibonito Municipio, Puerto Rico",557,± 175,"7,849"
"Aiken County, South Carolina","4,501",± 471,"74,124"
"Aitkin County, Minnesota",358,± 71,"6,124"
"Alachua County, Florida","13,689","± 1,041","133,225"
"Alamance County, North Carolina","4,742",± 621,"82,298"
"Alameda County, California","51,814","± 1,805","870,099"
"Alamosa County, Colorado",542,± 187,"7,897"
"Albany County, New York","11,863",± 949,"160,947"
"Albany County, Wyoming","3,194",± 500,"21,096"
"Albemarle County, Virginia","5,989",± 687,"54,574"
"Alcona County, Michigan",119,± 35,"3,540"
"Alcorn County, Mississippi",803,± 231,"14,372"
"Aleutians East Borough, Alaska",122,± 43,"2,305"
"Aleutians West Census Area, Alaska",85,± 38,"3,559"
"Alexander County, Illinois",148,± 100,"1,841"
"Alexander County, North Carolina","1,032",± 252,"16,607"
"Alexandria city, Virginia","6,039",± 657,"96,223"
"Alfalfa County, Oklahoma",184,± 67,"2,113"
"Alger County, Michigan",208,± 71,"2,915"
"Allamakee County, Iowa",381,± 121,"6,868"
"Allegan County, Michigan","2,475",± 316,"57,047"
"Allegany County, Maryland","1,624",± 232,"26,552"
"Allegany County, New York","2,213",± 249,"19,595"
"Alleghany County, North Carolina",290,± 131,"4,396"
"Alleghany County, Virginia",504,± 134,"6,060"
"Allegheny County, Pennsylvania","40,338","± 1,339","640,039"
"Allen County, Indiana","10,620",± 844,"189,834"
"Allen County, Kansas",429,± 123,"5,674"
"Allen County, Kentucky",339,± 128,"8,890"
"Allen County, Ohio","2,103",± 302,"46,253"
"Allen Parish, Louisiana",485,± 153,"7,782"
"Allendale County, South Carolina",275,± 146,"2,635"
"Alpena County, Michigan",592,± 134,"12,174"
"Alpine County, California",46,± 29,646
"Amador County, California",567,± 188,"15,877"
"Amelia County, Virginia",364,± 191,"6,340"
"Amherst County, Virginia",912,± 218,"14,978"
"Amite County, Mississippi",185,± 132,"3,788"
"Añasco Municipio, Puerto Rico",796,± 283,"8,619"
"Anchorage Municipality, Alaska","8,717",± 772,"142,335"
"Anderson County, Kansas",231,± 127,"3,514"
"Anderson County, Kentucky",598,± 195,"10,892"
"Anderson County, South Carolina","5,771",± 666,"92,914"
"Anderson County, Tennessee","1,672",± 303,"32,947"
"Anderson County, Texas","1,085",± 298,"20,005"
"Andrew County, Missouri",548,± 133,"8,572"
"Andrews County, Texas",677,± 184,"9,264"
"Androscoggin County, Maine","2,826",± 351,"56,011"
"Angelina County, Texas","2,612",± 470,"37,358"
"Anne Arundel County, Maryland","19,124","± 1,278","299,789"
"Anoka County, Minnesota","10,332",± 741,"194,364"
"Anson County, North Carolina",294,± 116,"8,731"
"Antelope County, Nebraska",172,± 44,"3,260"
"Antrim County, Michigan",614,± 120,"10,709"
"Apache County, Arizona","1,407",± 196,"18,242"
"Appanoose County, Iowa",227,± 76,"4,989"
"Appling County, Georgia",316,± 139,"7,394"
"Appomattox County, Virginia",344,± 116,"7,832"
"Aransas County, Texas",842,± 322,"9,291"
"Arapahoe County, Colorado","18,495","± 1,066","354,417"
"Archer County, Texas",301,± 82,"4,084"
"Archuleta County, Colorado",321,± 134,"5,974"
"Arecibo Municipio, Puerto Rico","1,471",± 281,"25,727"
"Arenac County, Michigan",198,± 49,"6,159"
"Arkansas County, Arkansas",538,± 197,"7,298"
"Arlington County, Virginia","8,957",± 680,"146,957"
"Armstrong County, Pennsylvania","1,580",± 265,"30,185"
"Armstrong County, Texas",47,± 32,818
"Aroostook County, Maine","1,767",± 223,"28,719"
"Arroyo Municipio, Puerto Rico",265,± 147,"3,877"
"Arthur County, Nebraska",22,± 10,223
"Ascension Parish, Louisiana","3,506",± 588,"62,579"
"Ashe County, North Carolina",644,± 183,"11,710"
"Ashland County, Ohio","1,307",± 252,"24,707"
"Ashland County, Wisconsin",363,± 80,"7,717"
"Ashley County, Arkansas",366,± 140,"6,568"
"Ashtabula County, Ohio","1,864",± 361,"42,136"
"Asotin County, Washington",535,± 124,"9,615"
"Assumption Parish, Louisiana",587,± 189,"8,579"
"Atascosa County, Texas",726,± 225,"20,548"
