Geography,"Percent—AGE BY EDUCATIONAL ATTAINMENT—Population 25 years and over—9th to 12th grade, no diploma—Estimate",MoE
"Abbeville County, South Carolina",10%,± 2.1%
"Acadia Parish, Louisiana",11.30%,± 1.4%
"Accomack County, Virginia",11.90%,± 1.8%
"Ada County, Idaho",3.10%,± 0.3%
"Adair County, Iowa",2.80%,± 0.8%
"Adair County, Kentucky",7.30%,± 1.8%
"Adair County, Missouri",5.50%,± 1.1%
"Adair County, Oklahoma",13.40%,± 1.3%
"Adams County, Colorado",8.30%,± 0.5%
"Adams County, Idaho",4%,± 2%
"Adams County, Illinois",5.10%,± 0.7%
"Adams County, Indiana",3.80%,± 1%
"Adams County, Iowa",3.10%,± 1.5%
"Adams County, Mississippi",11.40%,± 2%
"Adams County, Nebraska",4.60%,± 0.9%
"Adams County, North Dakota",4.60%,± 2%
"Adams County, Ohio",11%,± 2.1%
"Adams County, Pennsylvania",6.40%,± 0.6%
"Adams County, Washington",7.30%,± 2.4%
"Adams County, Wisconsin",9.20%,± 1%
"Addison County, Vermont",4.20%,± 0.8%
"Adjuntas Municipio, Puerto Rico",10.60%,± 2.2%
"Aguada Municipio, Puerto Rico",9.20%,± 1.7%
"Aguadilla Municipio, Puerto Rico",9.30%,± 1.2%
"Aguas Buenas Municipio, Puerto Rico",10.20%,± 1.9%
"Aibonito Municipio, Puerto Rico",7.50%,± 1.6%
"Aiken County, South Carolina",6.80%,± 0.8%
"Aitkin County, Minnesota",5.80%,± 0.7%
"Alachua County, Florida",4.40%,± 0.5%
"Alamance County, North Carolina",7%,± 0.7%
"Alameda County, California",4.80%,± 0.2%
"Alamosa County, Colorado",4.60%,± 1.9%
"Albany County, New York",4.50%,± 0.4%
"Albany County, Wyoming",2.30%,± 0.6%
"Albemarle County, Virginia",3.80%,± 0.5%
"Alcona County, Michigan",6.80%,± 0.9%
"Alcorn County, Mississippi",11.10%,± 1.7%
"Aleutians East Borough, Alaska",9.20%,± 4.2%
"Aleutians West Census Area, Alaska",4.20%,± 1.4%
"Alexander County, Illinois",8.90%,± 2.4%
"Alexander County, North Carolina",9.60%,± 1.6%
"Alexandria city, Virginia",2.80%,± 0.5%
"Alfalfa County, Oklahoma",8.90%,± 2.5%
"Alger County, Michigan",4.40%,± 1.1%
"Allamakee County, Iowa",4.80%,± 1.2%
"Allegan County, Michigan",5.90%,± 0.8%
"Allegany County, Maryland",7.30%,± 0.9%
"Allegany County, New York",5.10%,± 0.6%
"Alleghany County, North Carolina",13.20%,± 3.3%
"Alleghany County, Virginia",8.40%,± 2%
"Allegheny County, Pennsylvania",3.30%,± 0.2%
"Allen County, Indiana",5.40%,± 0.3%
"Allen County, Kansas",5.50%,± 1.8%
"Allen County, Kentucky",6.60%,± 1.5%
"Allen County, Ohio",6.10%,± 0.6%
"Allen Parish, Louisiana",15%,± 2.6%
"Allendale County, South Carolina",17.50%,± 4%
"Alpena County, Michigan",5.20%,± 0.8%
"Alpine County, California",2.60%,± 2.3%
"Amador County, California",6.90%,± 1%
"Amelia County, Virginia",8.40%,± 2.4%
"Amherst County, Virginia",8%,± 1.4%
"Amite County, Mississippi",10.80%,± 2.6%
"Añasco Municipio, Puerto Rico",7.80%,± 1.5%
"Anchorage Municipality, Alaska",3.70%,± 0.4%
"Anderson County, Kansas",4.70%,± 1.7%
"Anderson County, Kentucky",5.10%,± 1.2%
"Anderson County, South Carolina",9.40%,± 0.8%
"Anderson County, Tennessee",5.70%,± 0.8%
"Anderson County, Texas",9.70%,± 1.4%
"Andrew County, Missouri",3.50%,± 0.8%
"Andrews County, Texas",11.70%,± 3.3%
"Androscoggin County, Maine",4.70%,± 0.6%
"Angelina County, Texas",8.60%,± 0.9%
"Anne Arundel County, Maryland",4.20%,± 0.3%
"Anoka County, Minnesota",3.50%,± 0.3%
"Anson County, North Carolina",12.90%,± 2%
"Antelope County, Nebraska",4.50%,± 1.3%
"Antrim County, Michigan",4%,± 0.7%
"Apache County, Arizona",9%,± 0.8%
"Appanoose County, Iowa",3.90%,± 0.9%
"Appling County, Georgia",13.50%,± 3%
"Appomattox County, Virginia",6.30%,± 1.6%
"Aransas County, Texas",6%,± 1.6%
"Arapahoe County, Colorado",4.20%,± 0.3%
"Archer County, Texas",6.40%,± 2.1%
"Archuleta County, Colorado",4%,± 1.5%
"Arecibo Municipio, Puerto Rico",7.50%,± 0.9%
"Arenac County, Michigan",8.40%,± 0.8%
"Arkansas County, Arkansas",9.70%,± 1.9%
"Arlington County, Virginia",1.70%,± 0.3%
"Armstrong County, Pennsylvania",5.40%,± 0.5%
"Armstrong County, Texas",3.20%,± 2.9%
"Aroostook County, Maine",5.50%,± 0.6%
"Arroyo Municipio, Puerto Rico",10.30%,± 2.4%
"Arthur County, Nebraska",2.90%,± 2.3%
"Ascension Parish, Louisiana",7.50%,± 1%
"Ashe County, North Carolina",9.70%,± 1.7%
"Ashland County, Ohio",7.40%,± 1%
"Ashland County, Wisconsin",3.80%,± 0.8%
"Ashley County, Arkansas",8.60%,± 1.6%
"Ashtabula County, Ohio",9.20%,± 1.1%
"Asotin County, Washington",5.50%,± 1.3%
"Assumption Parish, Louisiana",12.90%,± 2.5%
"Atascosa County, Texas",11%,± 1.6%
"Atchison County, Kansas",4%,± 1.4%
"Atchison County, Missouri",6.30%,± 1.5%
"Athens County, Ohio",6.60%,± 1%
"Atkinson County, Georgia",12.50%,± 3.3%
"Atlantic County, New Jersey",6.80%,± 0.5%
"Atoka County, Oklahoma",13.70%,± 2%
"Attala County, Mississippi",10.60%,± 2.1%
"Audrain County, Missouri",7.60%,± 1.5%
"Audubon County, Iowa",6.50%,± 1.6%
"Auglaize County, Ohio",5.10%,± 0.9%
"Augusta County, Virginia",6.50%,± 0.8%
"Aurora County, South Dakota",4.10%,± 1.5%
"Austin County, Texas",6.20%,± 1.4%
"Autauga County, Alabama",7.90%,± 1.1%
