Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Healthcare practitioners and technical occupations:—Estimate",MoE,Total—Civilian employed population 16 years and over—Estimate
"Abbeville County, South Carolina",651,± 259,"10,114"
"Acadia Parish, Louisiana","1,514",± 278,"22,653"
"Accomack County, Virginia",396,± 183,"14,408"
"Ada County, Idaho","17,569","± 1,226","255,012"
"Adair County, Iowa",179,± 48,"3,652"
"Adair County, Kentucky",585,± 130,"7,825"
"Adair County, Missouri",704,± 198,"10,207"
"Adair County, Oklahoma",281,± 69,"7,169"
"Adams County, Colorado","10,975",± 894,"275,757"
"Adams County, Idaho",23,± 18,"1,746"
"Adams County, Illinois","2,354",± 347,"33,260"
"Adams County, Indiana",961,± 220,"15,384"
"Adams County, Iowa",134,± 53,"1,763"
"Adams County, Mississippi",842,± 231,"10,253"
"Adams County, Nebraska",894,± 163,"15,546"
"Adams County, North Dakota",77,± 31,"1,054"
"Adams County, Ohio",972,± 248,"10,489"
"Adams County, Pennsylvania","3,163",± 393,"51,985"
"Adams County, Washington",283,± 112,"8,305"
"Adams County, Wisconsin",290,± 67,"8,202"
"Addison County, Vermont","1,098",± 174,"19,788"
"Adjuntas Municipio, Puerto Rico",237,± 123,"4,875"
"Aguada Municipio, Puerto Rico",585,± 202,"11,389"
"Aguadilla Municipio, Puerto Rico",696,± 224,"15,130"
"Aguas Buenas Municipio, Puerto Rico",373,± 173,"8,452"
"Aibonito Municipio, Puerto Rico",334,± 146,"7,849"
"Aiken County, South Carolina","5,022",± 616,"74,124"
"Aitkin County, Minnesota",339,± 56,"6,124"
"Alachua County, Florida","13,399","± 1,030","133,225"
"Alamance County, North Carolina","4,896",± 592,"82,298"
"Alameda County, California","44,348","± 1,785","870,099"
"Alamosa County, Colorado",361,± 156,"7,897"
"Albany County, New York","12,494",± 998,"160,947"
"Albany County, Wyoming","1,336",± 299,"21,096"
"Albemarle County, Virginia","4,551",± 484,"54,574"
"Alcona County, Michigan",220,± 50,"3,540"
"Alcorn County, Mississippi","1,049",± 264,"14,372"
"Aleutians East Borough, Alaska",20,± 25,"2,305"
"Aleutians West Census Area, Alaska",13,± 9,"3,559"
"Alexander County, Illinois",96,± 34,"1,841"
"Alexander County, North Carolina",897,± 253,"16,607"
"Alexandria city, Virginia","3,595",± 495,"96,223"
"Alfalfa County, Oklahoma",66,± 26,"2,113"
"Alger County, Michigan",133,± 41,"2,915"
"Allamakee County, Iowa",384,± 117,"6,868"
"Allegan County, Michigan","2,902",± 357,"57,047"
"Allegany County, Maryland","1,778",± 259,"26,552"
"Allegany County, New York","1,043",± 149,"19,595"
"Alleghany County, North Carolina",296,± 97,"4,396"
"Alleghany County, Virginia",408,± 127,"6,060"
