Geography,Total—Total population—SUMMARY INDICATORS—Median age (years)—Estimate,MoE
"Abbeville County, South Carolina",44.5,± 0.7
"Acadia Parish, Louisiana",36.7,± 0.6
"Accomack County, Virginia",47.3,± 0.6
"Ada County, Idaho",38.1,± 0.2
"Adair County, Iowa",43,± 0.7
"Adair County, Kentucky",40.3,± 1.3
"Adair County, Missouri",29,± 1
"Adair County, Oklahoma",38.1,± 0.5
"Adams County, Colorado",34.4,± 0.1
"Adams County, Idaho",54.4,± 0.4
"Adams County, Illinois",41.3,± 0.4
"Adams County, Indiana",33.4,± 0.5
"Adams County, Iowa",46.3,± 1.3
"Adams County, Mississippi",41.5,± 1.1
"Adams County, Nebraska",38,± 0.7
"Adams County, North Dakota",46.9,± 6.7
"Adams County, Ohio",42.2,± 0.5
"Adams County, Pennsylvania",43.8,± 0.2
"Adams County, Washington",29,± 0.5
"Adams County, Wisconsin",55.1,± 0.2
"Addison County, Vermont",43.9,± 0.4
"Adjuntas Municipio, Puerto Rico",43.8,± 0.5
"Aguada Municipio, Puerto Rico",45.4,± 0.2
"Aguadilla Municipio, Puerto Rico",44,± 0.3
"Aguas Buenas Municipio, Puerto Rico",44.2,± 0.3
"Aibonito Municipio, Puerto Rico",45.8,± 0.4
"Aiken County, South Carolina",41.8,± 0.4
"Aitkin County, Minnesota",56.2,± 0.4
"Alachua County, Florida",31.7,± 0.2
"Alamance County, North Carolina",39.1,± 0.4
"Alameda County, California",38.4,± 0.2
"Alamosa County, Colorado",32.2,± 1.2
"Albany County, New York",38.1,± 0.3
"Albany County, Wyoming",28.3,± 0.4
"Albemarle County, Virginia",39.7,± 0.4
"Alcona County, Michigan",59.3,± 0.3
"Alcorn County, Mississippi",40.1,± 0.8
"Aleutians East Borough, Alaska",41.6,± 2.8
"Aleutians West Census Area, Alaska",39.2,± 1.6
"Alexander County, Illinois",44.9,± 0.7
"Alexander County, North Carolina",43.9,± 0.5
"Alexandria city, Virginia",37.4,± 0.2
"Alfalfa County, Oklahoma",43.6,± 0.8
"Alger County, Michigan",47.2,± 0.6
"Allamakee County, Iowa",43.1,± 0.7
"Allegan County, Michigan",40.4,± 0.4
"Allegany County, Maryland",41.9,± 0.4
"Allegany County, New York",38.9,± 0.5
"Alleghany County, North Carolina",50.6,± 0.7
"Alleghany County, Virginia",48,± 0.5
"Allegheny County, Pennsylvania",40.6,± 0.1
"Allen County, Indiana",36.1,± 0.2
"Allen County, Kansas",41.1,± 0.4
"Allen County, Kentucky",40.5,± 0.9
"Allen County, Ohio",39.8,± 0.3
"Allen Parish, Louisiana",38.5,± 0.6
"Allendale County, South Carolina",43.1,± 1.2
"Alpena County, Michigan",47.6,± 0.3
"Alpine County, California",43,± 10.5
"Amador County, California",49.6,± 0.4
"Amelia County, Virginia",45.1,± 0.8
"Amherst County, Virginia",43.9,± 0.6
"Amite County, Mississippi",48.2,± 1.6
"Añasco Municipio, Puerto Rico",45,± 0.1
"Anchorage Municipality, Alaska",34.5,± 0.1
"Anderson County, Kansas",39.7,± 3.2
"Anderson County, Kentucky",41.9,± 0.6
"Anderson County, South Carolina",40.6,± 0.3
"Anderson County, Tennessee",42.1,± 0.4
"Anderson County, Texas",39.3,± 0.4
"Andrew County, Missouri",41.5,± 0.5
"Andrews County, Texas",32.4,± 1.3
"Androscoggin County, Maine",40.8,± 0.4
"Angelina County, Texas",37.8,± 0.4
"Anne Arundel County, Maryland",38.8,± 0.3
"Anoka County, Minnesota",38.8,± 0.2
"Anson County, North Carolina",41.1,± 0.9
"Antelope County, Nebraska",42.5,± 0.9
"Antrim County, Michigan",51.5,± 0.2
"Apache County, Arizona",35.6,± 0.3
"Appanoose County, Iowa",45,± 1.4
"Appling County, Georgia",39.6,± 0.6
"Appomattox County, Virginia",43.1,± 0.8
"Aransas County, Texas",51,± 1.2
"Arapahoe County, Colorado",37.1,± 0.2
"Archer County, Texas",43.1,± 0.7
"Archuleta County, Colorado",50.8,± 0.9
"Arecibo Municipio, Puerto Rico",44.6,± 0.1
"Arenac County, Michigan",50,± 0.3
"Arkansas County, Arkansas",41.4,± 1.3
"Arlington County, Virginia",35.3,± 0.1
"Armstrong County, Pennsylvania",47,± 0.2
"Armstrong County, Texas",43.9,± 5.7
"Aroostook County, Maine",48.5,± 0.3
"Arroyo Municipio, Puerto Rico",41.9,± 1
"Arthur County, Nebraska",44.1,± 8
"Ascension Parish, Louisiana",36.2,± 0.4
"Ashe County, North Carolina",49.6,± 0.5
"Ashland County, Ohio",41.5,± 0.4
"Ashland County, Wisconsin",42.2,± 0.7
"Ashley County, Arkansas",43.1,± 0.6
"Ashtabula County, Ohio",42.6,± 0.4
"Asotin County, Washington",45.4,± 0.7
"Assumption Parish, Louisiana",41.9,± 1.9
"Atascosa County, Texas",35.8,± 0.3
"Atchison County, Kansas",36.1,± 0.8
"Atchison County, Missouri",48.1,± 0.5
"Athens County, Ohio",32.2,± 0.4
"Atkinson County, Georgia",35.5,± 0.9
"Atlantic County, New Jersey",42,± 0.3
"Atoka County, Oklahoma",40.6,± 0.8
"Attala County, Mississippi",39.1,± 1.3
"Audrain County, Missouri",40.4,± 1
"Audubon County, Iowa",48.2,± 0.5
"Auglaize County, Ohio",40.7,± 0.6
"Augusta County, Virginia",44.8,± 0.3
"Aurora County, South Dakota",41.4,± 2.1
"Austin County, Texas",41,± 0.9
"Autauga County, Alabama",39,± 0.7
"Avery County, North Carolina",46.5,± 0.8
"Avoyelles Parish, Louisiana",38.6,± 0.7
"Baca County, Colorado",42,± 1.2
"Bacon County, Georgia",38.1,± 1.2
"Bailey County, Texas",30.3,± 1.5
"Baker County, Florida",37.7,± 0.7
"Baker County, Georgia",47,± 4.4
"Baker County, Oregon",47.4,± 1
"Baldwin County, Alabama",43.7,± 0.3
"Baldwin County, Georgia",36.1,± 0.5
"Ballard County, Kentucky",44.7,± 1.1
"Baltimore city, Maryland",36,± 0.2
"Baltimore County, Maryland",39.5,± 0.2
"Bamberg County, South Carolina",40.8,± 1.5
"Bandera County, Texas",53.4,± 0.4
"Banks County, Georgia",42.3,± 0.9
"Banner County, Nebraska",54.1,± 7.9
"Bannock County, Idaho",34.7,± 0.1
"Baraga County, Michigan",46.5,± 0.6
"Barber County, Kansas",42.8,± 4.3
"Barbour County, Alabama",40.6,± 0.5
"Barbour County, West Virginia",42.6,± 1
"Barceloneta Municipio, Puerto Rico",42.7,± 0.9
"Barnes County, North Dakota",43.6,± 1.1
"Barnstable County, Massachusetts",54.5,± 0.2
"Barnwell County, South Carolina",40.9,± 0.9
"Barranquitas Municipio, Puerto Rico",38.9,± 0.7
"Barren County, Kentucky",40.2,± 0.5
"Barron County, Wisconsin",44.6,± 0.3
"Barrow County, Georgia",36.2,± 0.3
"Barry County, Michigan",42.2,± 0.4
"Barry County, Missouri",43.2,± 0.7
"Bartholomew County, Indiana",38,± 0.4
"Barton County, Kansas",39.2,± 1.1
"Barton County, Missouri",40.7,± 1.3
"Bartow County, Georgia",38.2,± 0.4
"Bastrop County, Texas",38,± 0.6
"Bates County, Missouri",40.7,± 0.5
"Bath County, Kentucky",39.5,± 1.9
"Bath County, Virginia",51.8,± 5.2
"Baxter County, Arkansas",52.1,± 0.5
"Bay County, Florida",41.2,± 0.3
"Bay County, Michigan",43.6,± 0.3
"Bayamón Municipio, Puerto Rico",43.7,± 0.2
"Bayfield County, Wisconsin",53.6,± 0.2
"Baylor County, Texas",46.7,± 3.8
"Beadle County, South Dakota",37.5,± 0.6
"Bear Lake County, Idaho",40,± 1
"Beaufort County, North Carolina",46.9,± 0.4
"Beaufort County, South Carolina",46.8,± 0.3
"Beauregard Parish, Louisiana",37.3,± 0.3
"Beaver County, Oklahoma",39.9,± 2.1
"Beaver County, Pennsylvania",44.9,± 0.1
"Beaver County, Utah",33.8,± 1.1
"Beaverhead County, Montana",42.3,± 1.1
"Becker County, Minnesota",42.5,± 0.3
"Beckham County, Oklahoma",36.3,± 0.9
"Bedford County, Pennsylvania",47.3,± 0.2
"Bedford County, Tennessee",37.9,± 0.8
"Bedford County, Virginia",46.8,± 0.4
"Bee County, Texas",35.6,± 0.4
"Belknap County, New Hampshire",47.8,± 0.3
"Bell County, Kentucky",41.5,± 1.2
"Bell County, Texas",31.7,± 0.2
"Belmont County, Ohio",44.1,± 0.3
"Beltrami County, Minnesota",35,± 0.2
"Ben Hill County, Georgia",38.7,± 0.9
"Benewah County, Idaho",45.9,± 0.4
"Bennett County, South Dakota",27,± 4.2
"Bennington County, Vermont",46.7,± 0.4
"Benson County, North Dakota",31,± 0.3
"Bent County, Colorado",40.7,± 1
"Benton County, Arkansas",35.7,± 0.1
"Benton County, Indiana",40.4,± 0.9
"Benton County, Iowa",43,± 0.6
"Benton County, Minnesota",36.2,± 0.4
"Benton County, Mississippi",41.7,± 2.1
"Benton County, Missouri",54.1,± 0.4
"Benton County, Oregon",33.5,± 0.2
"Benton County, Tennessee",47.9,± 0.9
"Benton County, Washington",36.1,± 0.2
"Benzie County, Michigan",50.4,± 0.5
"Bergen County, New Jersey",42,± 0.2
"Berkeley County, South Carolina",36.7,± 0.2
"Berkeley County, West Virginia",38.8,± 0.4
"Berks County, Pennsylvania",39.9,± 0.2
"Berkshire County, Massachusetts",47.5,± 0.3
"Bernalillo County, New Mexico",38.6,± 0.2
"Berrien County, Georgia",39.8,± 1.4
"Berrien County, Michigan",42.5,± 0.3
"Bertie County, North Carolina",45.9,± 0.5
"Bethel Census Area, Alaska",28.7,± 0.7
"Bexar County, Texas",34.2,± 0.1
"Bibb County, Alabama",40.3,± 0.9
"Bibb County, Georgia",36.5,± 0.3
"Bienville Parish, Louisiana",42.1,± 0.6
"Big Horn County, Montana",31.6,± 0.4
"Big Horn County, Wyoming",40.9,± 0.7
"Big Stone County, Minnesota",47.7,± 0.5
"Billings County, North Dakota",40.6,± 5.1
"Bingham County, Idaho",34.3,± 0.3
