Geography,"Total—Civilian employed population 16 years and over—Management, business, science, and arts occupations:—Estimate",MoE
"Abbeville County, South Carolina","3,247",± 419
"Acadia Parish, Louisiana","6,066",± 694
"Accomack County, Virginia","3,552",± 421
"Ada County, Idaho","120,458","± 2,480"
"Adair County, Iowa","1,217",± 140
"Adair County, Kentucky","2,590",± 327
"Adair County, Missouri","4,034",± 439
"Adair County, Oklahoma","1,983",± 221
"Adams County, Colorado","92,490","± 2,314"
"Adams County, Idaho",431,± 102
"Adams County, Illinois","11,603",± 642
"Adams County, Indiana","4,542",± 386
"Adams County, Iowa",710,± 95
"Adams County, Mississippi","3,205",± 586
"Adams County, Nebraska","4,887",± 357
"Adams County, North Dakota",437,± 70
"Adams County, Ohio","3,764",± 471
"Adams County, Pennsylvania","16,740",± 757
"Adams County, Washington","2,011",± 243
"Adams County, Wisconsin","1,866",± 148
"Addison County, Vermont","8,393",± 450
"Adjuntas Municipio, Puerto Rico","1,207",± 287
"Aguada Municipio, Puerto Rico","2,574",± 413
"Aguadilla Municipio, Puerto Rico","4,622",± 564
"Aguas Buenas Municipio, Puerto Rico","1,974",± 368
"Aibonito Municipio, Puerto Rico","1,990",± 316
"Aiken County, South Carolina","28,314","± 1,267"
"Aitkin County, Minnesota","1,874",± 115
"Alachua County, Florida","63,934","± 1,694"
"Alamance County, North Carolina","28,451","± 1,323"
"Alameda County, California","470,520","± 4,417"
"Alamosa County, Colorado","2,692",± 388
"Albany County, New York","78,916","± 1,964"
"Albany County, Wyoming","10,788",± 770
"Albemarle County, Virginia","31,741","± 1,067"
"Alcona County, Michigan","1,080",± 120
"Alcorn County, Mississippi","4,343",± 594
"Aleutians East Borough, Alaska",505,± 110
"Aleutians West Census Area, Alaska",573,± 112
"Alexander County, Illinois",429,± 132
"Alexander County, North Carolina","4,527",± 534
"Alexandria city, Virginia","60,203","± 1,560"
"Alfalfa County, Oklahoma",736,± 102
"Alger County, Michigan",842,± 115
"Allamakee County, Iowa","2,063",± 256
"Allegan County, Michigan","18,270",± 982
"Allegany County, Maryland","9,240",± 638
"Allegany County, New York","7,169",± 355
"Alleghany County, North Carolina","1,613",± 292
"Alleghany County, Virginia","1,800",± 248
"Allegheny County, Pennsylvania","316,625","± 3,734"
"Allen County, Indiana","71,571","± 1,968"
"Allen County, Kansas","1,728",± 238
"Allen County, Kentucky","2,812",± 363
"Allen County, Ohio","13,399",± 649
"Allen Parish, Louisiana","2,318",± 336
"Allendale County, South Carolina",797,± 183
"Alpena County, Michigan","3,793",± 385
"Alpine County, California",308,± 93
"Amador County, California","5,510",± 483
"Amelia County, Virginia","1,897",± 346
"Amherst County, Virginia","5,089",± 492
"Amite County, Mississippi",991,± 240
"Añasco Municipio, Puerto Rico","1,911",± 447
"Anchorage Municipality, Alaska","59,413","± 1,827"
"Anderson County, Kansas","1,131",± 239
"Anderson County, Kentucky","4,101",± 403
"Anderson County, South Carolina","34,061","± 1,718"
"Anderson County, Tennessee","12,044",± 913
"Anderson County, Texas","5,663",± 684
"Andrew County, Missouri","3,083",± 309
"Andrews County, Texas","2,766",± 451
"Androscoggin County, Maine","20,057","± 1,161"
"Angelina County, Texas","12,058","± 1,087"
"Anne Arundel County, Maryland","152,491","± 2,762"
"Anoka County, Minnesota","76,354","± 1,921"
"Anson County, North Carolina","1,839",± 302
"Antelope County, Nebraska","1,219",± 121
