Geography,"Natural resources, construction, and maintenance occupations—Civilian employed population 16 years and over—Estimate",MoE
"Abbeville County, South Carolina",10.70%,± 2%
"Acadia Parish, Louisiana",13.60%,± 2.3%
"Accomack County, Virginia",14%,± 2.5%
"Ada County, Idaho",8.50%,± 0.7%
"Adair County, Iowa",14.70%,± 3%
"Adair County, Kentucky",10.60%,± 2.3%
"Adair County, Missouri",9.50%,± 1.6%
"Adair County, Oklahoma",14.70%,± 2.4%
"Adams County, Colorado",13.30%,± 0.6%
"Adams County, Idaho",21.90%,± 5%
"Adams County, Illinois",8.40%,± 1.1%
"Adams County, Indiana",14.10%,± 2.1%
"Adams County, Iowa",4.80%,± 1.6%
"Adams County, Mississippi",10.70%,± 3.1%
"Adams County, Nebraska",10.70%,± 1.8%
"Adams County, North Dakota",19.40%,± 4.9%
"Adams County, Ohio",9.70%,± 1.8%
"Adams County, Pennsylvania",11.10%,± 0.9%
"Adams County, Washington",28.90%,± 4.7%
"Adams County, Wisconsin",11.40%,± 1.5%
"Addison County, Vermont",12.60%,± 1.4%
"Adjuntas Municipio, Puerto Rico",11.70%,± 4.3%
"Aguada Municipio, Puerto Rico",13.40%,± 3.3%
"Aguadilla Municipio, Puerto Rico",9.80%,± 2.2%
"Aguas Buenas Municipio, Puerto Rico",13.30%,± 3.5%
"Aibonito Municipio, Puerto Rico",12.80%,± 3.5%
"Aiken County, South Carolina",9.90%,± 1.1%
"Aitkin County, Minnesota",13.70%,± 1.4%
"Alachua County, Florida",5.30%,± 0.7%
"Alamance County, North Carolina",9.70%,± 0.8%
"Alameda County, California",5.70%,± 0.2%
"Alamosa County, Colorado",15.30%,± 3.9%
"Albany County, New York",4.50%,± 0.4%
"Albany County, Wyoming",10.30%,± 1.7%
"Albemarle County, Virginia",5.20%,± 0.7%
"Alcona County, Michigan",12.50%,± 2.1%
"Alcorn County, Mississippi",8.20%,± 1.7%
"Aleutians East Borough, Alaska",14.20%,± 4.8%
"Aleutians West Census Area, Alaska",12.50%,± 3.2%
"Alexander County, Illinois",6.50%,± 2.6%
"Alexander County, North Carolina",10.70%,± 2.2%
"Alexandria city, Virginia",4.50%,± 0.7%
"Alfalfa County, Oklahoma",17.30%,± 3.2%
"Alger County, Michigan",9.70%,± 2.2%
"Allamakee County, Iowa",18.10%,± 2.3%
"Allegan County, Michigan",11.30%,± 1%
"Allegany County, Maryland",8.60%,± 1.2%
"Allegany County, New York",11.30%,± 0.9%
"Alleghany County, North Carolina",14.20%,± 2.7%
"Alleghany County, Virginia",11.90%,± 2.5%
"Allegheny County, Pennsylvania",5.80%,± 0.3%
"Allen County, Indiana",6.80%,± 0.4%
"Allen County, Kansas",13.10%,± 2.9%
"Allen County, Kentucky",10.50%,± 2.5%
"Allen County, Ohio",9%,± 0.9%
"Allen Parish, Louisiana",14.20%,± 2.8%
"Allendale County, South Carolina",8.20%,± 4.1%
"Alpena County, Michigan",11.20%,± 1.6%
"Alpine County, California",7.30%,± 4.8%
"Amador County, California",12.30%,± 2.3%
"Amelia County, Virginia",21.30%,± 5%
"Amherst County, Virginia",11.40%,± 1.6%
"Amite County, Mississippi",13.70%,± 5.7%
"Añasco Municipio, Puerto Rico",9.40%,± 2.7%
"Anchorage Municipality, Alaska",8.10%,± 0.6%
"Anderson County, Kansas",22%,± 5%
"Anderson County, Kentucky",9.40%,± 2.2%
"Anderson County, South Carolina",8.70%,± 0.8%
"Anderson County, Tennessee",10.80%,± 1.2%
"Anderson County, Texas",14%,± 2.6%
"Andrew County, Missouri",12%,± 2.2%
"Andrews County, Texas",18%,± 4.3%
"Androscoggin County, Maine",10%,± 1%
"Angelina County, Texas",12.40%,± 1.6%
"Anne Arundel County, Maryland",7.90%,± 0.5%
"Anoka County, Minnesota",8.50%,± 0.5%
"Anson County, North Carolina",10.80%,± 2.2%
"Antelope County, Nebraska",19.20%,± 2.3%
"Antrim County, Michigan",13.50%,± 1.7%
"Apache County, Arizona",13.60%,± 1.3%
"Appanoose County, Iowa",11.50%,± 2.2%
"Appling County, Georgia",16.20%,± 3.5%
"Appomattox County, Virginia",12.60%,± 2.5%
"Aransas County, Texas",12.30%,± 3.8%
"Arapahoe County, Colorado",7.90%,± 0.4%
"Archer County, Texas",14.20%,± 2.7%
"Archuleta County, Colorado",15.90%,± 3.4%
"Arecibo Municipio, Puerto Rico",10.50%,± 1.6%
"Arenac County, Michigan",13%,± 1.5%
"Arkansas County, Arkansas",12.40%,± 2.6%
"Arlington County, Virginia",2.50%,± 0.3%
"Armstrong County, Pennsylvania",13.90%,± 1.1%
"Armstrong County, Texas",16.90%,± 5.5%
"Aroostook County, Maine",13.50%,± 1.2%
"Arroyo Municipio, Puerto Rico",4.50%,± 2.3%
"Arthur County, Nebraska",17.90%,± 7.1%
"Ascension Parish, Louisiana",10.10%,± 1.1%
"Ashe County, North Carolina",16.60%,± 2.8%
"Ashland County, Ohio",10%,± 1.3%
"Ashland County, Wisconsin",15.20%,± 2.1%
"Ashley County, Arkansas",12.30%,± 2.2%
"Ashtabula County, Ohio",12.30%,± 1.3%
"Asotin County, Washington",10.40%,± 2.3%
"Assumption Parish, Louisiana",15.70%,± 3.3%
"Atascosa County, Texas",19.10%,± 2.7%
"Atchison County, Kansas",10%,± 2.3%
"Atchison County, Missouri",12.80%,± 2.8%
"Athens County, Ohio",7.60%,± 1%
"Atkinson County, Georgia",17.40%,± 5.1%
"Atlantic County, New Jersey",7.70%,± 0.7%
"Atoka County, Oklahoma",15.90%,± 2.1%
"Attala County, Mississippi",10.90%,± 2.2%
"Audrain County, Missouri",10.60%,± 1.8%
"Audubon County, Iowa",15.50%,± 3.2%
"Auglaize County, Ohio",8.10%,± 1.2%
"Augusta County, Virginia",11.20%,± 1.4%
"Aurora County, South Dakota",14.40%,± 3%
"Austin County, Texas",14.20%,± 2.6%
"Autauga County, Alabama",10%,± 1.2%
"Avery County, North Carolina",13%,± 3.1%
"Avoyelles Parish, Louisiana",15.90%,± 2.6%
"Baca County, Colorado",17.10%,± 3.8%
"Bacon County, Georgia",20.90%,± 4.2%
"Bailey County, Texas",20.40%,± 10.4%
"Baker County, Florida",9.40%,± 2.7%
"Baker County, Georgia",11.90%,± 7%
"Baker County, Oregon",10.80%,± 2.8%
"Baldwin County, Alabama",9.90%,± 0.8%
"Baldwin County, Georgia",10%,± 2.3%
"Ballard County, Kentucky",14.80%,± 3.7%
"Baltimore city, Maryland",5%,± 0.4%
"Baltimore County, Maryland",6.30%,± 0.3%
"Bamberg County, South Carolina",10.70%,± 5%
"Bandera County, Texas",13.40%,± 2.7%
"Banks County, Georgia",12.50%,± 2.4%
"Banner County, Nebraska",15.50%,± 4.2%
"Bannock County, Idaho",9.10%,± 1%
"Baraga County, Michigan",13.60%,± 2.6%
"Barber County, Kansas",16.70%,± 4%
"Barbour County, Alabama",12.50%,± 2.2%
"Barbour County, West Virginia",18.10%,± 3.9%
"Barceloneta Municipio, Puerto Rico",9.90%,± 3.6%
"Barnes County, North Dakota",13.90%,± 2.6%
"Barnstable County, Massachusetts",10.80%,± 0.8%
"Barnwell County, South Carolina",9.50%,± 2.1%
"Barranquitas Municipio, Puerto Rico",14.90%,± 3.9%
"Barren County, Kentucky",10.60%,± 1.6%
"Barron County, Wisconsin",11.70%,± 1.1%
"Barrow County, Georgia",12.30%,± 1.2%
"Barry County, Michigan",13.10%,± 1.3%
"Barry County, Missouri",13.40%,± 2.3%
"Bartholomew County, Indiana",5.60%,± 0.8%
"Barton County, Kansas",11.40%,± 2.1%
"Barton County, Missouri",15%,± 3.4%
"Bartow County, Georgia",11%,± 1.2%
"Bastrop County, Texas",15.60%,± 1.8%
"Bates County, Missouri",18.90%,± 2.7%
"Bath County, Kentucky",7.60%,± 2.3%
"Bath County, Virginia",17.80%,± 6.5%
"Baxter County, Arkansas",9.10%,± 1.5%
"Bay County, Florida",10.80%,± 1%
"Bay County, Michigan",10.50%,± 0.9%
"Bayamón Municipio, Puerto Rico",7.50%,± 0.8%
"Bayfield County, Wisconsin",12.10%,± 1.3%
"Baylor County, Texas",16.50%,± 7.7%
"Beadle County, South Dakota",11.30%,± 2%
"Bear Lake County, Idaho",18.10%,± 3.5%
"Beaufort County, North Carolina",14.70%,± 1.9%
"Beaufort County, South Carolina",9.40%,± 1%
"Beauregard Parish, Louisiana",18.50%,± 2.4%
"Beaver County, Oklahoma",23.20%,± 4%
"Beaver County, Pennsylvania",10.20%,± 0.8%
"Beaver County, Utah",14.50%,± 3.9%
"Beaverhead County, Montana",14.60%,± 2.9%
"Becker County, Minnesota",11.80%,± 1%
"Beckham County, Oklahoma",20.80%,± 4.7%
"Bedford County, Pennsylvania",12.70%,± 1%
"Bedford County, Tennessee",14.10%,± 1.9%
"Bedford County, Virginia",9.70%,± 1.3%
"Bee County, Texas",12.30%,± 2.5%
"Belknap County, New Hampshire",9.90%,± 1.4%
"Bell County, Kentucky",7.80%,± 2.4%
"Bell County, Texas",10.40%,± 0.9%
"Belmont County, Ohio",12.80%,± 1.3%
"Beltrami County, Minnesota",9.50%,± 1.2%
"Ben Hill County, Georgia",10.90%,± 3.1%
"Benewah County, Idaho",19.60%,± 4%
"Bennett County, South Dakota",12.10%,± 4.9%
"Bennington County, Vermont",7.50%,± 1.2%
"Benson County, North Dakota",10%,± 2.1%
"Bent County, Colorado",15%,± 5.3%
"Benton County, Arkansas",9.40%,± 0.6%
"Benton County, Indiana",12.30%,± 2.5%
"Benton County, Iowa",14.80%,± 1.7%
"Benton County, Minnesota",10.30%,± 1.2%
"Benton County, Mississippi",15.60%,± 7.3%
"Benton County, Missouri",15.60%,± 2.9%
"Benton County, Oregon",5.90%,± 0.9%
"Benton County, Tennessee",10.50%,± 2.3%
"Benton County, Washington",12.20%,± 1%
"Benzie County, Michigan",9.20%,± 1.6%
"Bergen County, New Jersey",5.30%,± 0.3%
"Berkeley County, South Carolina",11.60%,± 1%
"Berkeley County, West Virginia",8.80%,± 1.3%
"Berks County, Pennsylvania",9%,± 0.6%
"Berkshire County, Massachusetts",8.10%,± 0.7%
"Bernalillo County, New Mexico",8.10%,± 0.4%
"Berrien County, Georgia",15.60%,± 3.2%
"Berrien County, Michigan",9.10%,± 0.7%
"Bertie County, North Carolina",12.10%,± 4.1%
"Bethel Census Area, Alaska",12.50%,± 5.3%
"Bexar County, Texas",9.50%,± 0.3%
"Bibb County, Alabama",16.40%,± 3.2%
"Bibb County, Georgia",7%,± 0.9%
"Bienville Parish, Louisiana",16.80%,± 3.4%
"Big Horn County, Montana",12%,± 3.1%
"Big Horn County, Wyoming",19.60%,± 2.9%
"Big Stone County, Minnesota",10.70%,± 1.9%
"Billings County, North Dakota",18%,± 6.5%
"Bingham County, Idaho",15.40%,± 1.8%
"Black Hawk County, Iowa",7.40%,± 0.7%
"Blackford County, Indiana",10.70%,± 2.9%
"Bladen County, North Carolina",13.80%,± 2.6%
"Blaine County, Idaho",14.80%,± 2.8%
"Blaine County, Montana",15%,± 3%
"Blaine County, Nebraska",30.10%,± 9.5%
"Blaine County, Oklahoma",16.40%,± 3.1%
"Blair County, Pennsylvania",9.50%,± 0.9%
"Blanco County, Texas",15.50%,± 3.9%
"Bland County, Virginia",14.40%,± 7%
"Bleckley County, Georgia",10.60%,± 3.1%
"Bledsoe County, Tennessee",23.10%,± 6.4%
"Blount County, Alabama",15.80%,± 1.8%
"Blount County, Tennessee",10.90%,± 1.2%
"Blue Earth County, Minnesota",7.50%,± 0.7%
"Boise County, Idaho",13.30%,± 3.1%
"Bolivar County, Mississippi",10.30%,± 2%
"Bollinger County, Missouri",20.70%,± 4.1%
"Bon Homme County, South Dakota",12.40%,± 2.8%
"Bond County, Illinois",12.90%,± 3.3%
"Bonner County, Idaho",13.40%,± 1.8%
"Bonneville County, Idaho",9.90%,± 1.1%
"Boone County, Arkansas",9.30%,± 1.9%
"Boone County, Illinois",9.40%,± 1.7%
"Boone County, Indiana",5.80%,± 0.9%
"Boone County, Iowa",12.30%,± 1.7%
"Boone County, Kentucky",8.40%,± 1.1%
"Boone County, Missouri",6.60%,± 0.7%
"Boone County, Nebraska",15.20%,± 2.9%
"Boone County, West Virginia",15.40%,± 3%
"Borden County, Texas",17.20%,± 10.3%
"Bosque County, Texas",15.90%,± 2.7%
"Bossier Parish, Louisiana",9.80%,± 1.2%
"Botetourt County, Virginia",8.70%,± 1.5%
"Bottineau County, North Dakota",20.70%,± 3.4%
"Boulder County, Colorado",5%,± 0.5%
"Boundary County, Idaho",18.50%,± 4.6%
"Bourbon County, Kansas",9.80%,± 2.3%
"Bourbon County, Kentucky",10.60%,± 2.3%
"Bowie County, Texas",9.60%,± 1.3%
"Bowman County, North Dakota",19.30%,± 4.1%
"Box Butte County, Nebraska",10.60%,± 3.1%
"Box Elder County, Utah",11.10%,± 1.3%
"Boyd County, Kentucky",9%,± 1.4%
"Boyd County, Nebraska",14.40%,± 3.2%
"Boyle County, Kentucky",8.70%,± 1.9%
"Bracken County, Kentucky",11.40%,± 2.7%
"Bradford County, Florida",10.40%,± 2.4%
"Bradford County, Pennsylvania",11.60%,± 0.8%
"Bradley County, Arkansas",12%,± 2.9%
"Bradley County, Tennessee",7.10%,± 1.1%
"Branch County, Michigan",10.90%,± 1.4%
"Brantley County, Georgia",15.40%,± 4.5%
"Braxton County, West Virginia",13.80%,± 4.4%
"Brazoria County, Texas",11.50%,± 0.8%
"Brazos County, Texas",8%,± 0.8%
"Breathitt County, Kentucky",11.70%,± 3.4%
"Breckinridge County, Kentucky",11.20%,± 2.5%
"Bremer County, Iowa",8.30%,± 1.3%
"Brevard County, Florida",8.50%,± 0.6%
"Brewster County, Texas",7.80%,± 3.4%
"Briscoe County, Texas",22.40%,± 9.9%
"Bristol Bay Borough, Alaska",16.90%,± 10.4%
"Bristol city, Virginia",6.80%,± 2.6%
"Bristol County, Massachusetts",9.80%,± 0.5%
"Bristol County, Rhode Island",6.10%,± 1.1%
"Broadwater County, Montana",16.10%,± 5%
"Bronx County, New York",6.20%,± 0.3%
"Brooke County, West Virginia",9.10%,± 2.5%
"Brookings County, South Dakota",9.50%,± 1.9%
"Brooks County, Georgia",14.30%,± 4%
"Brooks County, Texas",10.40%,± 5.5%
"Broome County, New York",6.50%,± 0.6%
"Broomfield County, Colorado",4.20%,± 0.6%
"Broward County, Florida",8.40%,± 0.3%
"Brown County, Illinois",13.50%,± 4.1%
"Brown County, Indiana",13.10%,± 2.7%
"Brown County, Kansas",9.50%,± 1.9%
"Brown County, Minnesota",10.10%,± 1.3%
"Brown County, Nebraska",14.70%,± 5%
"Brown County, Ohio",11.90%,± 1.8%
"Brown County, South Dakota",11.80%,± 1.7%
"Brown County, Texas",12%,± 1.8%
"Brown County, Wisconsin",7.90%,± 0.6%
"Brule County, South Dakota",12.80%,± 3.5%
"Brunswick County, North Carolina",11.70%,± 1.2%
"Brunswick County, Virginia",6.60%,± 1.7%
"Bryan County, Georgia",10%,± 2%
"Bryan County, Oklahoma",10.70%,± 1.4%
"Buchanan County, Iowa",11.70%,± 1.6%
"Buchanan County, Missouri",8.50%,± 1.1%
"Buchanan County, Virginia",22.70%,± 4.5%
"Buckingham County, Virginia",18.40%,± 3.2%
"Bucks County, Pennsylvania",7.50%,± 0.4%
"Buena Vista city, Virginia",7.90%,± 4%
"Buena Vista County, Iowa",10.10%,± 1.5%
"Buffalo County, Nebraska",9.30%,± 1.6%
"Buffalo County, South Dakota",14.20%,± 5.5%
"Buffalo County, Wisconsin",12.10%,± 1.4%
"Bullitt County, Kentucky",10.40%,± 1.1%
"Bulloch County, Georgia",12.40%,± 1.6%
"Bullock County, Alabama",16.90%,± 4.3%
"Buncombe County, North Carolina",8.50%,± 0.8%
"Bureau County, Illinois",10.30%,± 1.1%
"Burke County, Georgia",15.70%,± 2.6%
"Burke County, North Carolina",10.20%,± 1.7%
"Burke County, North Dakota",11.10%,± 3%
"Burleigh County, North Dakota",9.70%,± 1.2%
"Burleson County, Texas",18.90%,± 4.1%
"Burlington County, New Jersey",6.60%,± 0.4%
"Burnet County, Texas",15.30%,± 2.4%
"Burnett County, Wisconsin",10.30%,± 1%
"Burt County, Nebraska",17.90%,± 3.1%
"Butler County, Alabama",10.50%,± 2.2%
"Butler County, Iowa",12.40%,± 1.8%
"Butler County, Kansas",9.80%,± 1.2%
