Geography,Percent occupied housing units—Occupied housing units—VEHICLES AVAILABLE—No vehicle available—Estimate,MoE
"Abbeville County, South Carolina",6.50%,± 1.9%
"Acadia Parish, Louisiana",9.20%,± 1.8%
"Accomack County, Virginia",8%,± 1.8%
"Ada County, Idaho",3.50%,± 0.4%
"Adair County, Iowa",4.50%,± 1.4%
"Adair County, Kentucky",5.50%,± 2%
"Adair County, Missouri",7%,± 1.7%
"Adair County, Oklahoma",10.10%,± 2%
"Adams County, Colorado",4.60%,± 0.5%
"Adams County, Idaho",1.10%,± 1%
"Adams County, Illinois",7.20%,± 1.1%
"Adams County, Indiana",14%,± 2.2%
"Adams County, Iowa",4.40%,± 1.6%
"Adams County, Mississippi",8.60%,± 1.9%
"Adams County, Nebraska",5%,± 1.1%
"Adams County, North Dakota",7.10%,± 4.5%
"Adams County, Ohio",7.80%,± 2.2%
"Adams County, Pennsylvania",4.70%,± 0.6%
"Adams County, Washington",7.40%,± 2%
"Adams County, Wisconsin",5.10%,± 1.4%
"Addison County, Vermont",4.10%,± 1%
"Adjuntas Municipio, Puerto Rico",11.60%,± 2.8%
"Aguada Municipio, Puerto Rico",12%,± 1.6%
"Aguadilla Municipio, Puerto Rico",16.30%,± 1.8%
"Aguas Buenas Municipio, Puerto Rico",13.30%,± 2.6%
"Aibonito Municipio, Puerto Rico",13.20%,± 2.9%
"Aiken County, South Carolina",5.80%,± 0.8%
"Aitkin County, Minnesota",5.20%,± 0.9%
"Alachua County, Florida",7.10%,± 0.8%
"Alamance County, North Carolina",5%,± 0.7%
"Alameda County, California",9.30%,± 0.3%
"Alamosa County, Colorado",6.20%,± 2.3%
"Albany County, New York",12.50%,± 0.7%
"Albany County, Wyoming",4.90%,± 1.3%
"Albemarle County, Virginia",4.70%,± 0.8%
"Alcona County, Michigan",3.50%,± 0.9%
"Alcorn County, Mississippi",7.70%,± 1.8%
"Aleutians East Borough, Alaska",25%,± 4.8%
"Aleutians West Census Area, Alaska",9.90%,± 2.8%
"Alexander County, Illinois",10.60%,± 3.9%
"Alexander County, North Carolina",2.80%,± 1%
"Alexandria city, Virginia",11%,± 1.1%
"Alfalfa County, Oklahoma",1.90%,± 1.1%
"Alger County, Michigan",5.90%,± 2.2%
"Allamakee County, Iowa",4%,± 1.4%
"Allegan County, Michigan",3.10%,± 0.5%
"Allegany County, Maryland",9.60%,± 1.2%
"Allegany County, New York",7.30%,± 0.9%
"Alleghany County, North Carolina",5.60%,± 2.2%
"Alleghany County, Virginia",6.70%,± 2.1%
"Allegheny County, Pennsylvania",12.70%,± 0.4%
"Allen County, Indiana",6%,± 0.4%
"Allen County, Kansas",7.60%,± 2.3%
"Allen County, Kentucky",6.40%,± 1.7%
"Allen County, Ohio",7.50%,± 0.8%
"Allen Parish, Louisiana",8.20%,± 2.8%
"Allendale County, South Carolina",13.40%,± 4.5%
"Alpena County, Michigan",9%,± 1.4%
"Alpine County, California",3.40%,± 3%
"Amador County, California",5.40%,± 1.9%
