Geography,Service occupations—Civilian employed population 16 years and over—Estimate,MoE
"Abbeville County, South Carolina",13.30%,± 2.3%
"Acadia Parish, Louisiana",20%,± 2.9%
"Accomack County, Virginia",19.50%,± 2.6%
"Ada County, Idaho",14.30%,± 0.6%
"Adair County, Iowa",13.90%,± 2.6%
"Adair County, Kentucky",14.10%,± 2.5%
"Adair County, Missouri",15.70%,± 2.8%
"Adair County, Oklahoma",18%,± 2.3%
"Adams County, Colorado",16.60%,± 0.6%
"Adams County, Idaho",22.60%,± 6%
"Adams County, Illinois",18.40%,± 1.5%
"Adams County, Indiana",12.40%,± 1.9%
"Adams County, Iowa",17.80%,± 4.3%
"Adams County, Mississippi",23.10%,± 3.9%
"Adams County, Nebraska",21.10%,± 2.4%
"Adams County, North Dakota",13.50%,± 4.2%
"Adams County, Ohio",16%,± 2.9%
"Adams County, Pennsylvania",17.60%,± 1%
"Adams County, Washington",13.70%,± 2.6%
"Adams County, Wisconsin",21%,± 1.8%
"Addison County, Vermont",13.50%,± 1.1%
"Adjuntas Municipio, Puerto Rico",30.30%,± 6%
"Aguada Municipio, Puerto Rico",23.80%,± 3.9%
"Aguadilla Municipio, Puerto Rico",21.20%,± 3.4%
"Aguas Buenas Municipio, Puerto Rico",23.50%,± 5.2%
"Aibonito Municipio, Puerto Rico",22.40%,± 4.8%
"Aiken County, South Carolina",16.90%,± 1.6%
"Aitkin County, Minnesota",18.30%,± 1.5%
"Alachua County, Florida",18.40%,± 1.1%
"Alamance County, North Carolina",15.90%,± 1.1%
"Alameda County, California",13.80%,± 0.4%
"Alamosa County, Colorado",17.30%,± 3%
"Albany County, New York",16.40%,± 0.8%
"Albany County, Wyoming",14.90%,± 1.9%
"Albemarle County, Virginia",15.20%,± 1.2%
"Alcona County, Michigan",18.20%,± 2.7%
"Alcorn County, Mississippi",17.10%,± 3%
"Aleutians East Borough, Alaska",8.70%,± 2.9%
"Aleutians West Census Area, Alaska",14.60%,± 3.4%
"Alexander County, Illinois",20.10%,± 5.4%
"Alexander County, North Carolina",13.30%,± 2.4%
"Alexandria city, Virginia",13.80%,± 1.1%
"Alfalfa County, Oklahoma",12.40%,± 2.7%
"Alger County, Michigan",22.30%,± 4.6%
"Allamakee County, Iowa",12.90%,± 2.8%
"Allegan County, Michigan",14.90%,± 1.1%
"Allegany County, Maryland",21.40%,± 1.8%
"Allegany County, New York",18.20%,± 1.6%
"Alleghany County, North Carolina",17.50%,± 3.9%
"Alleghany County, Virginia",19.80%,± 3.5%
"Allegheny County, Pennsylvania",15.60%,± 0.4%
"Allen County, Indiana",15.40%,± 0.6%
"Allen County, Kansas",15.90%,± 2.9%
"Allen County, Kentucky",15.50%,± 3.2%
"Allen County, Ohio",17.80%,± 1.4%
"Allen Parish, Louisiana",22.50%,± 3.5%
"Allendale County, South Carolina",19.70%,± 6.4%
"Alpena County, Michigan",20.20%,± 2.3%
"Alpine County, California",9.90%,± 6.4%
"Amador County, California",23.60%,± 3.4%
"Amelia County, Virginia",14.90%,± 3.7%
"Amherst County, Virginia",16.90%,± 2.4%
"Amite County, Mississippi",16.10%,± 4.7%
"Añasco Municipio, Puerto Rico",25.70%,± 5.3%
"Anchorage Municipality, Alaska",18.10%,± 0.9%
"Anderson County, Kansas",19.30%,± 6%
"Anderson County, Kentucky",13%,± 2.3%
"Anderson County, South Carolina",15.30%,± 1.2%
"Anderson County, Tennessee",14.60%,± 1.4%
"Anderson County, Texas",21.30%,± 3.3%
"Andrew County, Missouri",12.40%,± 2.6%
"Andrews County, Texas",19.30%,± 3.9%
"Androscoggin County, Maine",17.20%,± 1.5%
"Angelina County, Texas",19.50%,± 1.9%
"Anne Arundel County, Maryland",13.60%,± 0.6%
"Anoka County, Minnesota",14.70%,± 0.5%
"Anson County, North Carolina",19%,± 3.3%
"Antelope County, Nebraska",13.60%,± 2.5%
"Antrim County, Michigan",17.30%,± 1.7%
"Apache County, Arizona",21.30%,± 1.9%
"Appanoose County, Iowa",14.50%,± 2.6%
"Appling County, Georgia",15.90%,± 3.9%
"Appomattox County, Virginia",14.70%,± 2.5%
"Aransas County, Texas",23.10%,± 5.3%
"Arapahoe County, Colorado",15.30%,± 0.4%
"Archer County, Texas",16.10%,± 3%
"Archuleta County, Colorado",23.40%,± 3.2%
"Arecibo Municipio, Puerto Rico",21%,± 2.3%
"Arenac County, Michigan",18%,± 1.9%
"Arkansas County, Arkansas",15.30%,± 3.2%
"Arlington County, Virginia",8.80%,± 0.6%
"Armstrong County, Pennsylvania",17.50%,± 1.4%
"Armstrong County, Texas",18.60%,± 5.5%
"Aroostook County, Maine",16.70%,± 1.2%
"Arroyo Municipio, Puerto Rico",24%,± 6.6%
"Arthur County, Nebraska",10.80%,± 5.7%
"Ascension Parish, Louisiana",12.60%,± 1.4%
"Ashe County, North Carolina",16.30%,± 3.3%
"Ashland County, Ohio",13.60%,± 1.5%
"Ashland County, Wisconsin",18.10%,± 2.2%
"Ashley County, Arkansas",19.40%,± 4%
"Ashtabula County, Ohio",18.40%,± 1.3%
"Asotin County, Washington",21.40%,± 3.1%
"Assumption Parish, Louisiana",11.40%,± 3%
"Atascosa County, Texas",17.80%,± 2.4%
"Atchison County, Kansas",21.10%,± 3.7%
"Atchison County, Missouri",20.50%,± 3.1%
"Athens County, Ohio",22.40%,± 1.8%
"Atkinson County, Georgia",14.30%,± 4.5%
"Atlantic County, New Jersey",25.80%,± 1.2%
"Atoka County, Oklahoma",18.80%,± 2.5%
"Attala County, Mississippi",19.50%,± 3.9%
"Audrain County, Missouri",18.90%,± 2.5%
"Audubon County, Iowa",15.50%,± 2.9%
"Auglaize County, Ohio",15.70%,± 1.6%
"Augusta County, Virginia",14.80%,± 1.7%
"Aurora County, South Dakota",13.70%,± 2.9%
"Austin County, Texas",15.20%,± 2.2%
"Autauga County, Alabama",14.20%,± 1.9%
"Avery County, North Carolina",24%,± 4.1%
"Avoyelles Parish, Louisiana",28.40%,± 3.7%
"Baca County, Colorado",14.90%,± 3.3%
"Bacon County, Georgia",15.60%,± 3.9%
"Bailey County, Texas",7%,± 2.8%
"Baker County, Florida",20.10%,± 4.1%
"Baker County, Georgia",14%,± 5.8%
"Baker County, Oregon",20.80%,± 4%
"Baldwin County, Alabama",17.10%,± 1.3%
"Baldwin County, Georgia",20.50%,± 2.9%
"Ballard County, Kentucky",14.20%,± 3.7%
"Baltimore city, Maryland",17.70%,± 0.6%
"Baltimore County, Maryland",15.40%,± 0.5%
"Bamberg County, South Carolina",15.40%,± 4.2%
"Bandera County, Texas",19.40%,± 4.2%
"Banks County, Georgia",15.30%,± 3.1%
"Banner County, Nebraska",8.60%,± 4.9%
