Geography,Total—Total households—UNITS IN STRUCTURE—2-or-more-unit structures—Estimate,MoE
"Abbeville County, South Carolina",10.70%,± 2.3%
"Acadia Parish, Louisiana",8.80%,± 1.4%
"Accomack County, Virginia",5%,± 1.5%
"Ada County, Idaho",16.90%,± 0.7%
"Adair County, Iowa",12.90%,± 2.8%
"Adair County, Kentucky",7.20%,± 2.2%
"Adair County, Missouri",19%,± 2.4%
"Adair County, Oklahoma",9.10%,± 1.8%
"Adams County, Colorado",22.30%,± 0.7%
"Adams County, Idaho",3.80%,± 1.6%
"Adams County, Illinois",15%,± 1.6%
"Adams County, Indiana",11%,± 2.1%
"Adams County, Iowa",5.70%,± 1.9%
"Adams County, Mississippi",12.90%,± 2.2%
"Adams County, Nebraska",16.80%,± 1.6%
"Adams County, North Dakota",16%,± 5.1%
"Adams County, Ohio",8.30%,± 1.8%
"Adams County, Pennsylvania",9.70%,± 0.9%
"Adams County, Washington",13.90%,± 3.7%
"Adams County, Wisconsin",5.40%,± 1.1%
"Addison County, Vermont",14.30%,± 1.6%
"Adjuntas Municipio, Puerto Rico",7.30%,± 1.9%
"Aguada Municipio, Puerto Rico",22%,± 2.7%
"Aguadilla Municipio, Puerto Rico",18.10%,± 1.6%
"Aguas Buenas Municipio, Puerto Rico",27.40%,± 4.2%
"Aibonito Municipio, Puerto Rico",6.90%,± 1.7%
"Aiken County, South Carolina",8.50%,± 0.9%
"Aitkin County, Minnesota",6.70%,± 1%
"Alachua County, Florida",35.20%,± 1.1%
"Alamance County, North Carolina",19.30%,± 1.2%
"Alameda County, California",36.90%,± 0.4%
"Alamosa County, Colorado",24.90%,± 4.3%
"Albany County, New York",42.80%,± 1%
"Albany County, Wyoming",32%,± 2.8%
"Albemarle County, Virginia",23.20%,± 1.5%
"Alcona County, Michigan",2%,± 0.6%
"Alcorn County, Mississippi",17.20%,± 2.9%
"Aleutians East Borough, Alaska",21.40%,± 4.8%
"Aleutians West Census Area, Alaska",68.60%,± 9%
"Alexander County, Illinois",10.80%,± 3.5%
"Alexander County, North Carolina",2.70%,± 0.9%
"Alexandria city, Virginia",63.60%,± 1.1%
"Alfalfa County, Oklahoma",3.70%,± 1.9%
"Alger County, Michigan",10%,± 2.4%
